,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.941176471,0,0,0.058823529,0,0.65,0.166666667,0.166666667,0.016666667,0.75,0,0.25,0,0,0.074074074,0.018518519,0,0.055555556,0.851851852,1,0,0.88,0.1,0.02,0
1,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,1,0,0,0,0,0.056603774,0,0,0.018867925,0.924528302,1,0.13559322,0.745762712,0.101694915,0,0.016949153
2,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0,0,0,0,0,0.074074074,0,0,0,0.925925926,1,0.118644068,0.745762712,0.101694915,0,0.033898305
3,0.95,0,0,0.05,0,0.619047619,0.174603175,0.19047619,0.015873016,0,0,0,0,0,0.019230769,0,0.019230769,0,0.961538462,1,0.037735849,0.830188679,0.113207547,0,0.018867925
4,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.105263158,0.035087719,0.01754386,0.01754386,0.824561404,1,0.019607843,0.862745098,0.117647059,0,0
5,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0.666666667,0,0,0.166666667,0.166666667,0.019230769,0.057692308,0.019230769,0.019230769,0.884615385,1,0.038461538,0.846153846,0.115384615,0,0
6,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.054545455,0,0.036363636,0,0.909090909,1,0.107142857,0.785714286,0.107142857,0,0
7,0.882352941,0,0,0.117647059,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.038461538,0.057692308,0,0.019230769,0.884615385,1,0.055555556,0.814814815,0.111111111,0,0.018518519
8,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.166666667,0,0,0,0.833333333,1,0,0.846153846,0.115384615,0,0.038461538
9,1,0,0,0,0,0.764705882,0.196078431,0.019607843,0.019607843,0,0,1,0,0,0.174603175,0,0.031746032,0.015873016,0.777777778,1,0.074074074,0.814814815,0.092592593,0.018518519,0
10,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.203125,0,0.015625,0,0.78125,1,0,0.862745098,0.117647059,0,0.019607843
11,1,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,1,0,0,0,0,0.21875,0,0,0.03125,0.75,1,0.019607843,0.862745098,0.117647059,0,0
12,1,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,0,0,0,0,0,0.212121212,0,0.03030303,0,0.757575758,1,0.019607843,0.862745098,0.117647059,0,0
13,0.933333333,0,0,0.066666667,0.017857143,0.678571429,0.196428571,0.107142857,0,0.8,0.2,0,0,0,0.087719298,0.087719298,0.035087719,0,0.789473684,1,0,0.88,0.12,0,0
