,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
126,0.894736842,0,0,0.105263158,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0,0.019607843,0.019607843,0.019607843,0.941176471,1,0.166666667,0.733333333,0.1,0,0
127,0.944444444,0,0,0.055555556,0,0.735849057,0.20754717,0.037735849,0.018867925,1,0,0,0,0,0.120689655,0.017241379,0.017241379,0.017241379,0.827586207,1,0.090909091,0.8,0.109090909,0,0
128,0.904761905,0,0.047619048,0.047619048,0,0.709090909,0.181818182,0.090909091,0.018181818,0,0,0,0,0,0.074074074,0,0,0,0.925925926,1,0.118644068,0.728813559,0.101694915,0.016949153,0.033898305
129,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0.888888889,0,0,0.111111111,0,0.019607843,0.117647059,0,0.039215686,0.823529412,1,0.107142857,0.785714286,0.107142857,0,0
130,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,0,0,0,0,0,0.107142857,0,0,0,0.892857143,1,0,0.846153846,0.115384615,0,0.038461538
131,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0,0,0,0,0,0.122807018,0,0,0,0.877192982,1,0,0.846153846,0.115384615,0,0.038461538
132,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,0,0,0,0,0,0.056603774,0,0,0,0.943396226,1,0.054545455,0.8,0.109090909,0,0.036363636
133,0.947368421,0.052631579,0,0,0.016393443,0.62295082,0.180327869,0.163934426,0.016393443,0,0,0,0,0,0.071428571,0,0.035714286,0,0.892857143,1,0.019230769,0.846153846,0.115384615,0,0.019230769
134,1,0,0,0,0,0.609375,0.171875,0.203125,0.015625,0,0,0,0,0,0,0,0.019607843,0,0.980392157,1,0.055555556,0.814814815,0.111111111,0,0.018518519
135,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.056603774,0,0,0.037735849,0.905660377,1,0.056603774,0.830188679,0.113207547,0,0
136,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0,0,0,0,0,0.118644068,0,0.033898305,0,0.847457627,1,0.074074074,0.814814815,0.111111111,0,0
137,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.152542373,0.016949153,0,0.016949153,0.813559322,1,0.037735849,0.830188679,0.113207547,0,0.018867925
138,0.947368421,0,0.052631579,0,0,0.661016949,0.169491525,0.152542373,0.016949153,1,0,0,0,0,0.107142857,0.017857143,0,0,0.875,1,0,0.830188679,0.094339623,0.018867925,0.056603774
139,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.072727273,0,0.018181818,0.018181818,0.890909091,1,0.038461538,0.846153846,0.115384615,0,0
140,0.95,0,0,0.05,0,0.629032258,0.177419355,0.177419355,0.016129032,0,0,0,0,0,0.054545455,0,0.036363636,0,0.909090909,1,0.019607843,0.862745098,0.117647059,0,0
141,1,0,0,0,0,0.619047619,0.174603175,0.19047619,0.015873016,0,0,0,0,0,0,0,0,0,1,1,0.071428571,0.785714286,0.107142857,0,0.035714286
142,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.038461538,0.057692308,0,0,0.903846154,1,0.071428571,0.785714286,0.107142857,0,0.035714286
143,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0.8,0,0,0.2,0,0,0.076923077,0.038461538,0,0.884615385,1,0.122807018,0.771929825,0.105263158,0,0
144,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0.5,0,0,0,0.5,0,0.019607843,0.019607843,0,0.960784314,1,0.089285714,0.785714286,0.107142857,0,0.017857143
145,0.95,0,0,0.05,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.038461538,0,0,0,0.961538462,1,0.103448276,0.75862069,0.103448276,0,0.034482759
146,0.95,0,0,0.05,0,0.661016949,0.186440678,0.13559322,0.016949153,0,0,0,0,0,0.118644068,0,0.033898305,0,0.847457627,1,0,0.88,0.12,0,0
147,0.95,0,0,0.05,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.056603774,0,0,0,0.943396226,1,0.147540984,0.721311475,0.098360656,0,0.032786885
148,0.95,0,0,0.05,0,0.696428571,0.196428571,0.089285714,0.017857143,0,0,0,0,0,0.055555556,0,0.018518519,0,0.925925926,1,0.120689655,0.75862069,0.103448276,0,0.017241379
