,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0.875,0,0,0.125,0,0,0.117647059,0.019607843,0.019607843,0.843137255,1,0.056603774,0.830188679,0.113207547,0,0
1,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,1,0,0,0,0,0.056603774,0.094339623,0,0,0.849056604,1,0.054545455,0.8,0.109090909,0,0.036363636
2,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.103448276,0,0.034482759,0,0.862068966,1,0.122807018,0.771929825,0.105263158,0,0
3,1,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,0,0,0,0,0,0.13559322,0,0.016949153,0,0.847457627,1,0.120689655,0.75862069,0.103448276,0,0.017241379
4,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0.8,0,0,0.2,0,0.018867925,0.150943396,0.037735849,0,0.79245283,1,0.019607843,0.862745098,0.117647059,0,0
5,0.928571429,0.071428571,0,0,0,0.666666667,0.192982456,0.122807018,0.01754386,0.75,0,0,0.25,0,0,0.117647059,0.019607843,0,0.862745098,1,0.037735849,0.811320755,0.113207547,0.018867925,0.018867925
6,0.894736842,0,0,0.105263158,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.089285714,0.017857143,0.017857143,0.017857143,0.857142857,1,0.038461538,0.846153846,0.115384615,0,0
7,0.9,0,0,0.1,0,0.696428571,0.196428571,0.089285714,0.017857143,1,0,0,0,0,0.038461538,0,0,0.019230769,0.942307692,1,0.120689655,0.75862069,0.103448276,0,0.017241379
8,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,1,0,0,0,0,0.056603774,0,0,0.037735849,0.905660377,1,0.180327869,0.721311475,0.098360656,0,0
9,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0,0,0,0,0,0.037735849,0,0.018867925,0,0.943396226,1,0.163934426,0.721311475,0.098360656,0,0.016393443
