"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))",
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,0
0.678571429,0.285714286,0.035714286,0,0,0.756097561,0.243902439,0,0,0,0,0,0,0,0.275362319,0,0,0.724637681,1,0,0.694915254,0.152542373,0.152542373,1
0.730769231,0.230769231,0.038461538,0,0,0.76744186,0.23255814,0,0,0,0,0,0,0,0.253731343,0,0,0.746268657,1,0,0.728813559,0.118644068,0.152542373,2
0.703703704,0.222222222,0.074074074,0,0,0.785714286,0.214285714,0,0,0,0,0,0,0,0.264705882,0,0,0.735294118,1,0,0.711864407,0.13559322,0.152542373,3
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,4
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,5
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,6
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,7
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,8
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,9
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,10
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,11
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,12
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,13
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,14
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.28,0,0.72,1,0,0.728813559,0.118644068,0.152542373,15
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,16
0.730769231,0.230769231,0.038461538,0,0,0.76744186,0.23255814,0,0,0,0,0,0,0,0.253731343,0,0,0.746268657,1,0,0.728813559,0.118644068,0.152542373,17
0.730769231,0.230769231,0.038461538,0,0,0.76744186,0.23255814,0,0,0,0,0,0,0,0.253731343,0,0,0.746268657,1,0,0.728813559,0.118644068,0.152542373,18
