,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.933333333,0.066666667,0,0,0.018518519,0.703703704,0.203703704,0.074074074,0,1,0,0,0,0,0.074074074,0.055555556,0,0.018518519,0.851851852,1,0.105263158,0.771929825,0.105263158,0,0.01754386
1,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0,0.02,0,0.04,0.94,1,0.137931034,0.75862069,0.103448276,0,0
2,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.107142857,0.053571429,0,0,0.839285714,1,0,0.846153846,0.115384615,0,0.038461538
3,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.038461538,0,0,0.019230769,0.942307692,1,0.072727273,0.8,0.109090909,0,0.018181818
4,1,0,0,0,0,0,0,0,0,0,0.639344262,0.180327869,0.180327869,0,0.071428571,0.785714286,0.035714286,0.107142857,0,1,0.038461538,0,0,0.961538462,0
5,0.95,0,0,0.05,0,0,0,0,0,0,0.629032258,0.177419355,0.177419355,0.016129032,0.054545455,0.8,0.036363636,0.109090909,0,1,0.019607843,0,0,0.980392157,0
6,0.947368421,0,0,0.052631579,1,0,0,0,0,0,0.609375,0.171875,0.21875,0,0.019607843,0.862745098,0,0.117647059,0,1,0.019230769,0,0.019230769,0.942307692,0.019230769
7,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.018867925,0,0.037735849,0,0.943396226,1,0.137931034,0.75862069,0.103448276,0,0
8,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,1,0,0,0,0,0.019230769,0,0.019230769,0.019230769,0.942307692,1,0.166666667,0.733333333,0.1,0,0
9,0.9,0,0,0.1,0,0.75,0.211538462,0.019230769,0.019230769,1,0,0,0,0,0.105263158,0.01754386,0.01754386,0,0.859649123,1,0.105263158,0.771929825,0.105263158,0,0.01754386
10,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.089285714,0,0.017857143,0,0.892857143,1,0.072727273,0.8,0.109090909,0,0.018181818
11,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0,0.019230769,0.038461538,0,0.942307692,1,0.152542373,0.745762712,0.101694915,0,0
12,0.947368421,0.052631579,0,0,0.016949153,0.644067797,0.186440678,0.152542373,0,0,0,0,0,0,0.038461538,0,0,0,0.961538462,1,0.103448276,0.75862069,0.103448276,0,0.034482759
13,1,0,0,0,0.5,0,0.5,0,0,0,0.722222222,0.185185185,0.074074074,0.018518519,0.177419355,0.709677419,0.016129032,0.080645161,0.016129032,1,0,0,0.039215686,0.941176471,0.019607843
14,1,0,0,0,0,0,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0.15,0.733333333,0.016666667,0.1,0,1,0,0,0,0.961538462,0.038461538
15,1,0,0,0,0,0,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0.206349206,0.698412698,0,0.095238095,0,1,0,0,0,0.943396226,0.056603774
16,1,0,0,0,1,0,0,0,0,0,0.672413793,0.189655172,0.137931034,0,0.120689655,0.75862069,0.017241379,0.103448276,0,1,0,0.04,0.02,0.94,0
17,1,0,0,0,0,0,0,0,0,0,0.709090909,0.2,0.090909091,0,0.166666667,0.733333333,0,0.1,0,1,0.018518519,0,0,0.925925926,0.055555556
18,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0.019607843,0.098039216,0,0.039215686,0.843137255,1,0.122807018,0.771929825,0.105263158,0,0
