,"('S', ('VP',))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('S', ('NP', 'VP'))","('S', ('VP', 'NP'))","('VP', ('V', 'NP'))","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
40,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
41,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
42,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
43,0.21428571428571427,0.0,0.2857142857142857,0.5,0.0,0.0,0.3,0.0,0.0,0.7,0.0,1.0,1.0
44,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,0.0,0.15,0.0,0.0,0.85,0.0,1.0,1.0
45,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
46,0.17857142857142858,0.0,0.2857142857142857,0.5357142857142857,0.0,0.0,0.25,0.0,0.0,0.75,0.0,1.0,1.0
47,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,0.0,0.15,0.0,0.0,0.85,0.0,1.0,1.0
48,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
49,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
50,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,0.0,0.15,0.0,0.0,0.85,0.0,1.0,1.0
51,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
52,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
53,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
54,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,0.0,0.15,0.0,0.0,0.85,0.0,1.0,1.0
55,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
56,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
57,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
58,0.3,0.0,0.0,0.7,0.0,0.0,0.21428571428571427,0.0,0.2857142857142857,0.5,0.0,1.0,1.0
59,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
60,0.75,0.0,0.0,0.25,0.0,0.0,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,1.0,1.0
61,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
62,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
63,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
64,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
65,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
66,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
67,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
68,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
69,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.25925925925925924,0.7407407407407407,0.125,0.875,1.0
70,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
71,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
72,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
73,0.3,0.0,0.0,0.7,0.0,0.0,0.21428571428571427,0.0,0.2857142857142857,0.5,0.0,1.0,1.0
74,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
75,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
76,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
77,0.6451612903225806,0.0967741935483871,0.25806451612903225,0.0,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
78,0.6451612903225806,0.0967741935483871,0.25806451612903225,0.0,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
79,0.85,0.0,0.0,0.15,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,1.0,1.0
80,0.7,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.2857142857142857,0.21428571428571427,0.0,1.0,1.0
81,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
82,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
83,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
84,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
85,0.6451612903225806,0.0967741935483871,0.25806451612903225,0.0,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
86,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
87,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
88,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
89,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
90,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
91,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
92,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
93,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
94,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
95,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
96,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
97,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
98,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
99,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
100,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
101,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
102,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
103,0.25,0.0,0.0,0.75,0.0,0.0,0.17857142857142858,0.0,0.2857142857142857,0.5357142857142857,0.0,1.0,1.0
104,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
105,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
106,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
107,0.25,0.0,0.0,0.75,0.0,0.0,0.17857142857142858,0.0,0.2857142857142857,0.5357142857142857,0.0,1.0,1.0
108,0.3,0.0,0.0,0.7,0.0,0.0,0.21428571428571427,0.0,0.2857142857142857,0.5,0.0,1.0,1.0
109,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
110,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
111,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
112,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
113,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
114,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
