,"('S', ('VP',))","('S', ('VP', 'NP'))","('S', ('S', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('VP', ('NP', 'V'))","('VP', ('VP', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('NP', 'np')","('NP', ('NP', 'NP'))","('V', 'v')"
53,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
54,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
55,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
56,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
57,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
58,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
62,0.6,0.4,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0,1.0
63,0.6,0.4,0.0,0.0,0.0,0.5384615384615384,0.0,0.23076923076923078,0.0,0.23076923076923078,1.0,0.0,1.0
64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
65,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
