,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.95,0,0.05,0,0,0,0,0,0,0,0.696428571,0.178571429,0.125,0,0.133333333,0.733333333,0.033333333,0.083333333,0.016666667,1,0.037735849,0,0,0.943396226,0.018867925
1,0.947368421,0.052631579,0,0,0,0.730769231,0.211538462,0.057692308,0,1,0,0,0,0,0.147540984,0.016393443,0.032786885,0,0.803278689,1,0.090909091,0.781818182,0.109090909,0.018181818,0
2,0.95,0,0,0.05,0,0.735849057,0.20754717,0.037735849,0.018867925,0,0,0,0,0,0.137931034,0,0,0,0.862068966,1,0.087719298,0.771929825,0.105263158,0,0.035087719
3,0.95,0,0,0.05,0,0,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.161290323,0.709677419,0.032258065,0.096774194,0,1,0,0,0,1,0
4,0.947368421,0,0,0.052631579,0,0,1,0,0,0.017857143,0.696428571,0.178571429,0.107142857,0,0.137931034,0.75862069,0,0.103448276,0,1,0.018867925,0.018867925,0,0.924528302,0.037735849
5,0.95,0,0,0.05,0,0,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0.118644068,0.745762712,0.033898305,0.101694915,0,1,0,0,0,1,0
6,0.95,0,0,0.05,0,0,0,0,0,0,0.629032258,0.177419355,0.177419355,0.016129032,0.071428571,0.785714286,0.035714286,0.107142857,0,1,0,0,0,1,0
7,0.904761905,0,0,0.095238095,0,0,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,0.071428571,0.785714286,0.035714286,0.107142857,0,1,0,0,0,1,0
8,0.95,0,0,0.05,0,0,0,0,0,0,0.609375,0.171875,0.21875,0,0.019230769,0.846153846,0.019230769,0.115384615,0,1,0.019230769,0,0,0.961538462,0.019230769
9,1,0,0,0,0,1,0,0,0,0.015384615,0.584615385,0.169230769,0.230769231,0,0,0.882352941,0.019607843,0.098039216,0,1,0.019230769,0,0.019230769,0.942307692,0.019230769
10,1,0,0,0,1,0,0,0,0,0,0.609375,0.171875,0.21875,0,0.038461538,0.846153846,0,0.115384615,0,1,0,0.019607843,0.019607843,0.941176471,0.019607843
11,1,0,0,0,0,0,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0.133333333,0.733333333,0.033333333,0.1,0,1,0,0,0,1,0
12,1,0,0,0,0,0,0,0,0,0,0.661016949,0.186440678,0.152542373,0,0.118644068,0.745762712,0.033898305,0.101694915,0,1,0.019607843,0,0,0.980392157,0
13,0.95,0,0,0.05,0,0,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.161290323,0.709677419,0.032258065,0.096774194,0,1,0,0,0,1,0
14,1,0,0,0,0,0,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.163934426,0.721311475,0.016393443,0.098360656,0,1,0,0,0,0.961538462,0.038461538
15,1,0,0,0,0,0,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0.21875,0.6875,0,0.09375,0,1,0,0,0,0.961538462,0.038461538
16,1,0,0,0,1,0,0,0,0,0,0.75,0.211538462,0.038461538,0,0.215384615,0.676923077,0.015384615,0.092307692,0,1,0,0.02,0.02,0.96,0
17,0.95,0.05,0,0,0,0,0,0,0,0,0.76,0.22,0,0.02,0.242424242,0.651515152,0,0.090909091,0.015151515,1,0,0,0,0.943396226,0.056603774
