,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.9,0,0,0.1,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0,0,0.019607843,0.019607843,0.960784314,1,0.137931034,0.75862069,0.103448276,0,0
1,0.944444444,0,0,0.055555556,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0,0.038461538,0.038461538,0,0.923076923,1,0.166666667,0.733333333,0.1,0,0
2,0.904761905,0,0,0.095238095,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0,0,0.038461538,0,0.961538462,1,0.137931034,0.75862069,0.103448276,0,0
3,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0,0,0,0,0,0.038461538,0,0,0,0.961538462,1,0.147540984,0.721311475,0.098360656,0,0.032786885
4,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0,0,0,0,0,0.072727273,0,0.018181818,0,0.909090909,1,0.163934426,0.721311475,0.098360656,0,0.016393443
5,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,1,0,0,0,0,0.038461538,0,0,0.019230769,0.942307692,1,0.15,0.733333333,0.1,0,0.016666667
6,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.087719298,0,0.035087719,0,0.877192982,1,0.137931034,0.75862069,0.103448276,0,0
7,0.947368421,0,0,0.052631579,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0.120689655,0.017241379,0.017241379,0,0.844827586,1,0.072727273,0.8,0.109090909,0,0.018181818
8,1,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,1,0,0,0,0,0.120689655,0,0.017241379,0.017241379,0.844827586,1,0.137931034,0.75862069,0.103448276,0,0
9,0.941176471,0,0,0.058823529,1,0,0,0,0,0,0.722222222,0.203703704,0.074074074,0,0.163934426,0.721311475,0.016393443,0.098360656,0,1,0,0.04,0.02,0.94,0
10,1,0,0,0,0.017857143,0.678571429,0.196428571,0.107142857,0,0.5,0.5,0,0,0,0.090909091,0.036363636,0,0,0.872727273,1,0.071428571,0.785714286,0.107142857,0,0.035714286
11,0.944444444,0,0,0.055555556,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0.107142857,0,0,0.035714286,0.857142857,1,0.107142857,0.785714286,0.107142857,0,0
12,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,0.75,0,0,0,0.25,0,0.058823529,0.019607843,0,0.921568627,1,0.120689655,0.75862069,0.103448276,0,0.017241379
13,0.95,0,0,0.05,0,0.696428571,0.196428571,0.089285714,0.017857143,0,0,0,0,0,0.056603774,0,0,0,0.943396226,1,0.118644068,0.745762712,0.101694915,0,0.033898305
14,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0,0.019230769,0.038461538,0,0.942307692,1,0.090909091,0.8,0.109090909,0,0
15,0.95,0,0,0.05,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.103448276,0,0.034482759,0,0.862068966,1,0.038461538,0.846153846,0.115384615,0,0
16,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,1,0,0,0,0,0.137931034,0,0,0.017241379,0.844827586,1,0.105263158,0.771929825,0.105263158,0,0.01754386
17,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,1,0,0,0,0,0.072727273,0.018181818,0.018181818,0,0.890909091,1,0.037735849,0.830188679,0.113207547,0,0.018867925
18,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.107142857,0,0,0,0.892857143,1,0.071428571,0.785714286,0.107142857,0,0.035714286
19,1,0,0,0,0,0,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0.122807018,0.771929825,0,0.105263158,0,1,0,0,0,0.961538462,0.038461538
20,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.118644068,0,0.033898305,0,0.847457627,1,0.056603774,0.830188679,0.113207547,0,0
21,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0,0,0,0,0,0.019607843,0,0,0,0.980392157,1,0.118644068,0.745762712,0.101694915,0,0.033898305
22,0.95,0,0,0.05,0,0.696428571,0.196428571,0.089285714,0.017857143,0,0,0,0,0,0.037735849,0,0.018867925,0,0.943396226,1,0.13559322,0.745762712,0.101694915,0,0.016949153
23,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.074074074,0.111111111,0,0.018518519,0.796296296,1,0.037735849,0.830188679,0.113207547,0,0.018867925
24,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.037037037,0,0.037037037,0,0.925925926,1,0.122807018,0.771929825,0.105263158,0,0
25,1,0,0,0,0,0,0,0,0,0,0.661016949,0.186440678,0.152542373,0,0.118644068,0.745762712,0.033898305,0.101694915,0,1,0.019607843,0,0,0.980392157,0
26,1,0,0,0,1,0,0,0,0,0,0.619047619,0.174603175,0.206349206,0,0.054545455,0.8,0.036363636,0.109090909,0,1,0,0.02,0,0.98,0
27,1,0,0,0,0,0,0,0,0,0,0.6,0.169230769,0.230769231,0,0,0.846153846,0.038461538,0.115384615,0,1,0.038461538,0,0,0.961538462,0
28,1,0,0,0,0,0,0,0,0,0,0.619047619,0.174603175,0.206349206,0,0.037735849,0.830188679,0.018867925,0.113207547,0,1,0.037735849,0,0,0.943396226,0.018867925
29,1,0,0,0,0,0,0,0,0,0,0.629032258,0.177419355,0.177419355,0.016129032,0.090909091,0.8,0,0.109090909,0,1,0,0,0,0.961538462,0.038461538
30,1,0,0,0,1,0,0,0,0,0,0.735849057,0.20754717,0.056603774,0,0.206349206,0.698412698,0,0.095238095,0,1,0,0.019230769,0,0.942307692,0.038461538
31,1,0,0,0,0,0,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,0.223880597,0.656716418,0.029850746,0.089552239,0,1,0,0,0,1,0
