,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.95,0,0,0.05,0,0.735849057,0.20754717,0.037735849,0.018867925,0,0,0,0,0,0.161290323,0,0.032258065,0,0.806451613,1,0.056603774,0.830188679,0.113207547,0,0
1,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.103448276,0,0.034482759,0,0.862068966,1,0.122807018,0.771929825,0.105263158,0,0
2,1,0,0,0,0,0.745098039,0.215686275,0.039215686,0,0.823529412,0.058823529,0,0,0.117647059,0,0.26,0,0.04,0.7,1,0.019607843,0.843137255,0.117647059,0.019607843,0
3,1,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,0.888888889,0,0,0,0.111111111,0.019607843,0.156862745,0,0,0.823529412,1,0.087719298,0.771929825,0.105263158,0,0.035087719
4,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0.888888889,0,0,0.111111111,0,0.019607843,0.137254902,0,0.019607843,0.823529412,1,0.019230769,0.846153846,0.115384615,0,0.019230769
5,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0.857142857,0,0,0.142857143,0,0.074074074,0.074074074,0,0.037037037,0.814814815,1,0.056603774,0.830188679,0.113207547,0,0
6,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.056603774,0.113207547,0,0.037735849,0.79245283,1,0,0.88,0.12,0,0
7,0.95,0,0,0.05,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.071428571,0,0.035714286,0,0.892857143,1,0.090909091,0.8,0.109090909,0,0
8,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.019230769,0.019230769,0.019230769,0,0.942307692,1,0.072727273,0.8,0.109090909,0,0.018181818
9,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0.846153846,0,0,0.153846154,0,0.038461538,0.192307692,0,0.019230769,0.75,1,0,0.862745098,0.117647059,0,0.019607843
10,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0,0,0,0,0,0.122807018,0,0,0,0.877192982,1,0,0.846153846,0.115384615,0,0.038461538
11,0.95,0,0,0.05,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.103448276,0,0.034482759,0,0.862068966,1,0.038461538,0.846153846,0.115384615,0,0
12,0.947368421,0,0,0.052631579,0,0.735849057,0.20754717,0.037735849,0.018867925,1,0,0,0,0,0.054545455,0.018181818,0.036363636,0,0.890909091,1,0.152542373,0.745762712,0.101694915,0,0
13,1,0,0,0,0,0.633333333,0.183333333,0.166666667,0.016666667,0.5,0.5,0,0,0,0,0,0.019607843,0.039215686,0.941176471,1,0.107142857,0.785714286,0.089285714,0.017857143,0
14,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,0,0,0,0,0,0,0,0.038461538,0,0.961538462,1,0.107142857,0.785714286,0.107142857,0,0
15,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0,0,0.019607843,0,0.980392157,1,0.15,0.733333333,0.1,0,0.016666667
16,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.089285714,0,0.017857143,0,0.892857143,1,0.089285714,0.785714286,0.107142857,0,0.017857143
17,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,1,0,0,0,0,0.090909091,0,0,0.036363636,0.872727273,1,0.056603774,0.830188679,0.113207547,0,0
18,0.95,0,0,0.05,0,0.661016949,0.186440678,0.13559322,0.016949153,0,0,0,0,0,0.055555556,0,0.018518519,0,0.925925926,1,0.072727273,0.8,0.109090909,0,0.018181818
19,1,0,0,0,1,0,0,0,0,0,0.78,0.22,0,0,0.21875,0.6875,0,0.09375,0,1,0.018518519,0.018518519,0,0.907407407,0.055555556
20,1,0,0,0,1,0,0,0,0,0,0.764705882,0.215686275,0.019607843,0,0.21875,0.6875,0,0.09375,0,1,0,0.018867925,0,0.924528302,0.056603774
21,1,0,0,0,0,0,0,0,0,0,0.619047619,0.174603175,0.19047619,0.015873016,0.056603774,0.830188679,0,0.113207547,0,1,0,0,0,0.943396226,0.056603774
22,1,0,0,0,0,0,0,0,0,0,0.609375,0.171875,0.21875,0,0.037735849,0.830188679,0.018867925,0.113207547,0,1,0.019230769,0,0,0.961538462,0.019230769
23,1,0,0,0,1,0,0,0,0,0,0.65,0.183333333,0.166666667,0,0.107142857,0.785714286,0,0.107142857,0,1,0,0.019230769,0,0.942307692,0.038461538
24,1,0,0,0,1,0,0,0,0,0,0.639344262,0.180327869,0.180327869,0,0.074074074,0.814814815,0,0.111111111,0,1,0,0.018867925,0,0.924528302,0.056603774
