,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.071428571,0,0.035714286,0,0.892857143,1,0.090909091,0.8,0.109090909,0,0
1,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.118644068,0,0.033898305,0,0.847457627,1,0.107142857,0.785714286,0.107142857,0,0
2,0.944444444,0.055555556,0,0,0.015873016,0.603174603,0.174603175,0.206349206,0,1,0,0,0,0,0.019607843,0,0,0.019607843,0.960784314,1,0.055555556,0.814814815,0.111111111,0,0.018518519
3,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,0,0,0,0,0,0.072727273,0,0.018181818,0,0.909090909,1,0.037735849,0.830188679,0.113207547,0,0.018867925
4,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.072727273,0,0.018181818,0.018181818,0.890909091,1,0.107142857,0.785714286,0.107142857,0,0
5,1,0,0,0,0.017241379,0.655172414,0.189655172,0.120689655,0.017241379,0.5,0.5,0,0,0,0.137931034,0.017241379,0,0.017241379,0.827586207,1,0.019607843,0.843137255,0.137254902,0,0
6,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.055555556,0.018518519,0.018518519,0,0.907407407,1,0.105263158,0.771929825,0.105263158,0,0.01754386
7,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0.6,0,0,0,0.4,0.037735849,0.056603774,0.018867925,0,0.886792453,1,0.120689655,0.75862069,0.103448276,0,0.017241379
8,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0.8,0,0,0,0.2,0.105263158,0.070175439,0.01754386,0,0.807017544,1,0.037735849,0.830188679,0.113207547,0,0.018867925
9,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0.6,0,0,0.4,0,0.071428571,0.053571429,0.035714286,0,0.839285714,1,0.074074074,0.814814815,0.111111111,0,0
10,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,0,0,0,0,0,0.107142857,0,0,0,0.892857143,1,0.018867925,0.830188679,0.113207547,0,0.037735849
11,1,0,0,0,0,0.65,0.183333333,0.15,0.016666667,1,0,0,0,0,0.055555556,0,0.018518519,0.018518519,0.907407407,1,0.074074074,0.814814815,0.111111111,0,0
12,0.95,0,0,0.05,0,0.619047619,0.174603175,0.19047619,0.015873016,0,0,0,0,0,0,0,0.038461538,0,0.961538462,1,0.056603774,0.830188679,0.113207547,0,0
13,0.944444444,0,0,0.055555556,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.018867925,0.037735849,0.037735849,0,0.905660377,1,0.038461538,0.846153846,0.115384615,0,0
14,0.95,0,0,0.05,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.071428571,0,0.035714286,0,0.892857143,1,0.137931034,0.75862069,0.103448276,0,0
15,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.072727273,0,0.018181818,0,0.909090909,1,0.15,0.733333333,0.1,0,0.016666667
16,0.95,0,0,0.05,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.037037037,0,0.037037037,0,0.925925926,1,0.122807018,0.771929825,0.105263158,0,0
17,0.904761905,0,0,0.095238095,0,0.629032258,0.177419355,0.177419355,0.016129032,0,0,0,0,0,0,0,0.019607843,0,0.980392157,1,0.055555556,0.814814815,0.111111111,0,0.018518519
18,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.054545455,0,0.036363636,0,0.909090909,1,0.122807018,0.771929825,0.105263158,0,0
19,0.95,0,0,0.05,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.055555556,0,0.018518519,0,0.925925926,1,0.15,0.733333333,0.1,0,0.016666667
20,0.95,0,0,0.05,0,0.722222222,0.203703704,0.055555556,0.018518519,0,0,0,0,0,0.133333333,0,0.033333333,0,0.833333333,1,0.074074074,0.814814815,0.111111111,0,0
21,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0.666666667,0,0,0,0.333333333,0.087719298,0.035087719,0.035087719,0,0.842105263,1,0.107142857,0.785714286,0.107142857,0,0
22,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.056603774,0.113207547,0,0,0.830188679,1,0.018867925,0.830188679,0.113207547,0,0.037735849
23,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.054545455,0.036363636,0.036363636,0,0.872727273,1,0.019607843,0.862745098,0.117647059,0,0
24,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.120689655,0.034482759,0.017241379,0,0.827586207,1,0.055555556,0.814814815,0.111111111,0,0.018518519
25,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0.122807018,0.105263158,0,0.01754386,0.754385965,1,0,0.862745098,0.117647059,0,0.019607843
26,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.037735849,0,0.018867925,0,0.943396226,1,0.120689655,0.75862069,0.103448276,0,0.017241379
27,0.95,0,0,0.05,0,0.709090909,0.2,0.072727273,0.018181818,0,0,0,0,0,0.072727273,0,0.018181818,0,0.909090909,1,0.120689655,0.75862069,0.103448276,0,0.017241379
28,0.947368421,0,0,0.052631579,0,0.629032258,0.177419355,0.177419355,0.016129032,1,0,0,0,0,0,0.02,0,0,0.98,1,0.054545455,0.8,0.109090909,0,0.036363636
29,1,0,0,0,0,0.609375,0.171875,0.203125,0.015625,1,0,0,0,0,0.019607843,0.019607843,0,0.019607843,0.941176471,1,0.019230769,0.846153846,0.115384615,0,0.019230769
30,1,0,0,0,0,0.619047619,0.174603175,0.19047619,0.015873016,1,0,0,0,0,0,0.019230769,0.038461538,0,0.942307692,1,0.056603774,0.830188679,0.113207547,0,0
31,0.941176471,0,0,0.058823529,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.038461538,0.019230769,0,0.038461538,0.903846154,1,0.107142857,0.785714286,0.107142857,0,0
32,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.103448276,0,0.034482759,0,0.862068966,1,0.074074074,0.814814815,0.111111111,0,0
33,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,1,0,0,0,0,0.055555556,0.018518519,0.018518519,0.018518519,0.888888889,1,0.038461538,0.846153846,0.115384615,0,0
34,1,0,0,0,0,0.65,0.166666667,0.166666667,0.016666667,0.4,0,0.2,0.4,0,0,0.057692308,0.038461538,0,0.903846154,1,0.038461538,0.826923077,0.115384615,0.019230769,0
35,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.152542373,0.033898305,0,0.033898305,0.779661017,1,0.019607843,0.862745098,0.117647059,0,0
36,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0.5,0,0,0.5,0,0.118644068,0.016949153,0.033898305,0,0.830508475,1,0.019607843,0.862745098,0.117647059,0,0
37,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.074074074,0.037037037,0,0,0.888888889,1,0.054545455,0.8,0.109090909,0,0.036363636
38,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,1,0,0,0,0,0.090909091,0.054545455,0,0.018181818,0.836363636,1,0.105263158,0.771929825,0.105263158,0,0.01754386
39,0.947368421,0,0,0.052631579,0,0.65,0.183333333,0.15,0.016666667,1,0,0,0,0,0.074074074,0.018518519,0,0,0.907407407,1,0.018867925,0.830188679,0.113207547,0,0.037735849
40,1,0,0,0,0,0.639344262,0.180327869,0.163934426,0.016393443,0,0,0,0,0,0.090909091,0,0,0,0.909090909,1,0.018867925,0.830188679,0.113207547,0,0.037735849
41,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.137931034,0,0,0,0.862068966,1,0.037037037,0.814814815,0.111111111,0,0.037037037
42,0.95,0,0,0.05,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.152542373,0,0,0,0.847457627,1,0,0.846153846,0.115384615,0,0.038461538
43,0.947368421,0,0,0.052631579,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.13559322,0,0.016949153,0.016949153,0.830508475,1,0,0.88,0.12,0,0
44,0.944444444,0,0,0.055555556,0,0.65,0.183333333,0.15,0.016666667,1,0,0,0,0,0.056603774,0.018867925,0,0.018867925,0.905660377,1,0.037735849,0.830188679,0.113207547,0,0.018867925
