,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.588235294,0.294117647,0.117647059,0,0,0.708333333,0.1875,0.083333333,0.020833333,0.818181818,0,0,0.090909091,0.090909091,0.018181818,0.163636364,0.072727273,0.745454545,1,0,0.781818182,0.127272727,0.090909091
1,0.5,0.428571429,0.071428571,0,0,0.733333333,0.222222222,0.044444444,0,0.857142857,0,0,0.142857143,0,0,0.214285714,0.107142857,0.678571429,1,0.018518519,0.796296296,0.12962963,0.055555556
2,0.708333333,0.208333333,0.041666667,0.041666667,0.018518519,0.62962963,0.185185185,0.148148148,0.018518519,1,0,0,0,0,0,0.016949153,0.152542373,0.830508475,1,0.074074074,0.833333333,0.092592593,0
3,0.6,0.32,0.08,0,0.040816327,0.632653061,0.183673469,0.142857143,0,1,0,0,0,0,0,0.036363636,0.090909091,0.872727273,1,0.142857143,0.666666667,0.126984127,0.063492063
4,0.470588235,0.294117647,0.058823529,0.176470588,0.02173913,0.739130435,0.217391304,0,0.02173913,1,0,0,0,0,0.019230769,0.192307692,0.019230769,0.769230769,1,0.017241379,0.775862069,0.086206897,0.120689655
5,0.666666667,0.25,0.041666667,0.041666667,0,0.673469388,0.204081633,0.12244898,0,1,0,0,0,0,0.055555556,0.055555556,0.018518519,0.87037037,1,0.080645161,0.693548387,0.112903226,0.112903226
6,0.611111111,0.333333333,0.055555556,0,0,0.70212766,0.212765957,0.085106383,0,0.8,0,0,0.2,0,0.017857143,0.142857143,0.089285714,0.75,1,0.035714286,0.767857143,0.125,0.071428571
7,0.470588235,0.352941176,0.117647059,0.058823529,0,0.733333333,0.2,0.066666667,0,0.846153846,0,0,0.076923077,0.076923077,0.017241379,0.189655172,0.120689655,0.672413793,1,0,0.807692308,0.153846154,0.038461538
8,0.703703704,0.222222222,0.037037037,0.037037037,0,0.75,0.227272727,0,0.022727273,0,0,0,0,0,0,0,0.107142857,0.892857143,1,0.220588235,0.632352941,0.102941176,0.044117647
9,0.5,0.428571429,0.071428571,0,0.042553191,0.70212766,0.212765957,0.042553191,0,0.833333333,0,0,0,0.166666667,0.019607843,0.196078431,0,0.784313725,1,0,0.762711864,0.084745763,0.152542373
