,"('S', ('VP',))","('S', ('S', 'NPA'))","('S', ('NPS', 'VP'))","('S', ('NPA', 'S'))","('VP', ('NPA', 'VP'))","('VP', ('V',))","('VP', ('VP', 'NPA'))","('VP', ('NPO', 'V'))","('NPS', ('NPS', 'NPA'))","('NPS', ('NPA', 'NPS'))","('NPS', 'np2')","('NPS', 'np1')","('NPS', 'np')","('NPO', ('NPO', 'NPA'))","('NPO', ('NPA', 'NPO'))","('NPO', 'np2')","('NPO', 'np1')","('NPO', 'np')","('NPA', ('NPA', 'NPA'))","('NPA', 'np2')","('NPA', 'np1')","('NPA', 'np')","('V', 'v')"
0,0.11864406779661017,0.01694915254237288,0.7288135593220338,0.13559322033898305,0.01694915254237288,0.847457627118644,0.13559322033898305,0.0,0.0,0.1568627450980392,0.19607843137254902,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.23076923076923078,0.7307692307692307,1.0
1,0.10909090909090909,0.0,0.8,0.09090909090909091,0.016666666666666666,0.8333333333333334,0.15,0.0,0.0,0.15384615384615385,0.19230769230769232,0.6346153846153846,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.6666666666666666,1.0
2,0.13559322033898305,0.13559322033898305,0.711864406779661,0.01694915254237288,0.019230769230769232,0.9423076923076923,0.019230769230769232,0.019230769230769232,0.0,0.25,0.17857142857142858,0.5535714285714286,0.017857142857142856,0.5,0.0,0.0,0.0,0.5,0.0,0.038461538461538464,0.3076923076923077,0.6538461538461539,1.0
3,0.13559322033898305,0.11864406779661017,0.711864406779661,0.03389830508474576,0.03773584905660377,0.9056603773584906,0.018867924528301886,0.03773584905660377,0.0,0.20754716981132076,0.16981132075471697,0.5849056603773585,0.03773584905660377,0.0,0.0,0.0,1.0,0.0,0.07407407407407407,0.07407407407407407,0.2222222222222222,0.6296296296296297,1.0
4,0.78125,0.125,0.0,0.09375,0.03773584905660377,0.11320754716981132,0.018867924528301886,0.8301886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.19230769230769232,0.6346153846153846,0.019230769230769232,0.0,0.04,0.24,0.72,1.0
5,0.8035714285714286,0.08928571428571429,0.08928571428571429,0.017857142857142856,0.1,0.08333333333333333,0.06666666666666667,0.75,0.0,0.0,0.0,0.0,1.0,0.02127659574468085,0.02127659574468085,0.2127659574468085,0.6808510638297872,0.06382978723404255,0.05,0.05,0.35,0.55,1.0
6,0.75,0.0,0.14285714285714285,0.10714285714285714,0.016666666666666666,0.11666666666666667,0.15,0.7166666666666667,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.022727272727272728,0.0,0.22727272727272727,0.75,0.0,0.0,0.05555555555555555,0.3333333333333333,0.6111111111111112,1.0
7,0.8135593220338984,0.1016949152542373,0.03389830508474576,0.05084745762711865,0.07017543859649122,0.10526315789473684,0.05263157894736842,0.7719298245614035,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.02040816326530612,0.08163265306122448,0.20408163265306123,0.6938775510204082,0.0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.7083333333333334,1.0
8,0.7543859649122807,0.10526315789473684,0.12280701754385964,0.017543859649122806,0.1016949152542373,0.15254237288135594,0.05084745762711865,0.6949152542372882,0.1,0.2,0.0,0.2,0.5,0.023809523809523808,0.0,0.21428571428571427,0.7619047619047619,0.0,0.045454545454545456,0.09090909090909091,0.22727272727272727,0.6363636363636364,1.0
9,0.8275862068965517,0.05172413793103448,0.034482758620689655,0.08620689655172414,0.125,0.125,0.09375,0.65625,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.044444444444444446,0.2222222222222222,0.7111111111111111,0.0,0.0,0.04,0.28,0.68,1.0
10,0.8928571428571429,0.08928571428571429,0.0,0.017857142857142856,0.14285714285714285,0.09523809523809523,0.06349206349206349,0.6984126984126984,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.08163265306122448,0.20408163265306123,0.673469387755102,0.02040816326530612,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.6923076923076923,1.0
11,0.8771929824561403,0.12280701754385964,0.0,0.0,0.14754098360655737,0.08196721311475409,0.03278688524590164,0.7377049180327869,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.2,0.68,0.02,0.04,0.04,0.2,0.72,1.0
12,0.9615384615384616,0.0,0.0,0.038461538461538464,0.11940298507462686,0.1044776119402985,0.13432835820895522,0.6417910447761194,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,0.20833333333333334,0.6875,0.0,0.07142857142857142,0.03571428571428571,0.21428571428571427,0.6785714285714286,1.0
13,0.8620689655172413,0.06896551724137931,0.0,0.06896551724137931,0.0847457627118644,0.0847457627118644,0.06779661016949153,0.7627118644067796,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.061224489795918366,0.20408163265306123,0.6938775510204082,0.02040816326530612,0.1111111111111111,0.037037037037037035,0.18518518518518517,0.6666666666666666,1.0
14,0.7246376811594203,0.10144927536231885,0.0,0.17391304347826086,0.0,0.11538461538461539,0.038461538461538464,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0425531914893617,0.2127659574468085,0.723404255319149,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.7307692307692307,1.0
15,0.8064516129032258,0.08064516129032258,0.0,0.11290322580645161,0.0,0.1111111111111111,0.07407407407407407,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.1346153846153846,0.19230769230769232,0.6538461538461539,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.7307692307692307,1.0
16,0.9074074074074074,0.0,0.018518518518518517,0.07407407407407407,0.0,0.08620689655172414,0.13793103448275862,0.7758620689655172,0.0,0.0,0.0,0.0,1.0,0.01818181818181818,0.16363636363636364,0.18181818181818182,0.6181818181818182,0.01818181818181818,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.7083333333333334,1.0
17,0.7833333333333333,0.11666666666666667,0.05,0.05,0.1206896551724138,0.1206896551724138,0.017241379310344827,0.7413793103448276,0.0,0.0,0.0,0.0,1.0,0.02127659574468085,0.06382978723404255,0.2127659574468085,0.7021276595744681,0.0,0.041666666666666664,0.041666666666666664,0.25,0.6666666666666666,1.0
18,0.7857142857142857,0.10714285714285714,0.10714285714285714,0.0,0.14516129032258066,0.0967741935483871,0.04838709677419355,0.7096774193548387,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.0,0.2222222222222222,0.7333333333333333,0.022222222222222223,0.0,0.05263157894736842,0.3157894736842105,0.631578947368421,1.0
19,0.09523809523809523,0.07936507936507936,0.6984126984126984,0.12698412698412698,0.01818181818181818,0.8909090909090909,0.07272727272727272,0.01818181818181818,0.0,0.12,0.2,0.68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.041666666666666664,0.20833333333333334,0.75,1.0
20,0.09090909090909091,0.06060606060606061,0.6666666666666666,0.18181818181818182,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.08333333333333333,0.20833333333333334,0.6875,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.24,0.72,1.0
21,0.09523809523809523,0.015873015873015872,0.6984126984126984,0.19047619047619047,0.017241379310344827,0.8448275862068966,0.1206896551724138,0.017241379310344827,0.0,0.022222222222222223,0.2,0.7555555555555555,0.022222222222222223,0.0,0.0,1.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.19230769230769232,0.6923076923076923,1.0
22,0.109375,0.015625,0.671875,0.203125,0.0,0.8448275862068966,0.13793103448275862,0.017241379310344827,0.022222222222222223,0.022222222222222223,0.2222222222222222,0.7333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.7307692307692307,1.0
23,0.08695652173913043,0.08695652173913043,0.6376811594202898,0.18840579710144928,0.018867924528301886,0.9433962264150944,0.03773584905660377,0.0,0.0,0.022222222222222223,0.2222222222222222,0.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.7037037037037037,1.0
24,0.09836065573770492,0.0,0.7213114754098361,0.18032786885245902,0.01694915254237288,0.847457627118644,0.13559322033898305,0.0,0.0,0.043478260869565216,0.21739130434782608,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.03571428571428571,0.17857142857142858,0.6785714285714286,1.0
25,0.12307692307692308,0.046153846153846156,0.6461538461538462,0.18461538461538463,0.0,0.8928571428571429,0.10714285714285714,0.0,0.02127659574468085,0.0851063829787234,0.2127659574468085,0.6808510638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.25,0.6785714285714286,1.0
