,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,1,0,0.056603774,0.056603774,0,0,0.886792453,1,0.178571429,0.035714286,0,0.714285714,0.071428571
1,0.916666667,0.083333333,0,0.1,0,0,0.9,1,0.188679245,0.018867925,0.037735849,0.716981132,0.037735849
2,0.916666667,0.083333333,0,0,0.019607843,0.019607843,0.960784314,1,0.116666667,0.15,0.016666667,0.7,0.016666667
3,1,0,0.038461538,0.192307692,0,0.019230769,0.75,1,0,0.105263158,0.035087719,0.842105263,0.01754386
4,0.916666667,0.083333333,0.090909091,0.090909091,0,0,0.818181818,1,0,0.105263158,0.052631579,0.824561404,0.01754386
5,0.916666667,0.083333333,0,0.16,0,0.04,0.8,1,0.094339623,0.056603774,0.037735849,0.811320755,0
6,1,0,0.071428571,0.071428571,0.035714286,0.035714286,0.785714286,1,0.176470588,0.019607843,0,0.803921569,0
7,1,0,0,0.075471698,0.056603774,0,0.867924528,1,0.049180328,0.180327869,0.016393443,0.754098361,0
8,0.88,0.12,0.019230769,0.211538462,0.019230769,0.019230769,0.730769231,1,0,0.055555556,0.018518519,0.907407407,0.018518519
9,1,0,0.072727273,0.109090909,0.018181818,0,0.8,1,0.111111111,0.037037037,0.018518519,0.796296296,0.037037037
10,1,0,0.090909091,0.145454545,0,0.054545455,0.709090909,1,0.018518519,0.074074074,0.018518519,0.888888889,0
11,1,0,0.089285714,0.196428571,0.017857143,0.017857143,0.678571429,1,0.019607843,0.019607843,0.039215686,0.921568627,0
12,1,0,0.074074074,0.12962963,0,0.055555556,0.740740741,1,0.017857143,0.107142857,0.017857143,0.857142857,0
13,0.956521739,0.043478261,0.038461538,0.096153846,0,0.019230769,0.846153846,1,0.109090909,0.072727273,0.036363636,0.763636364,0.018181818
14,0.916666667,0.083333333,0.019230769,0.096153846,0.019230769,0.038461538,0.826923077,1,0.173076923,0.019230769,0,0.788461538,0.019230769
15,0.88,0.12,0,0.02,0,0.08,0.9,1,0.185185185,0.074074074,0,0.740740741,0
16,1,0,0.090909091,0.109090909,0,0.054545455,0.745454545,1,0.14,0,0.02,0.84,0
17,0.956521739,0.043478261,0.180327869,0.081967213,0,0.049180328,0.68852459,1,0,0.019607843,0.019607843,0.960784314,0
18,1,0,0.122807018,0.070175439,0,0.052631579,0.754385965,1,0.017857143,0.107142857,0.017857143,0.857142857,0
19,0.956521739,0.043478261,0.090909091,0.163636364,0,0.018181818,0.727272727,1,0.037735849,0.018867925,0.018867925,0.886792453,0.037735849
20,1,0,0.122807018,0.052631579,0,0.052631579,0.771929825,1,0,0.137931034,0.017241379,0.844827586,0
21,0.956521739,0.043478261,0.055555556,0,0.018518519,0.037037037,0.888888889,1,0.274509804,0,0,0.705882353,0.019607843
22,0.956521739,0.043478261,0.090909091,0.145454545,0,0.054545455,0.709090909,1,0.057692308,0.019230769,0,0.903846154,0.019230769
23,1,0,0.052631579,0.035087719,0.070175439,0,0.842105263,1,0.211538462,0.038461538,0,0.75,0
24,0.956521739,0.043478261,0.037735849,0.056603774,0.018867925,0,0.886792453,1,0.235294118,0,0.039215686,0.705882353,0.019607843
25,1,0,0.107142857,0.089285714,0,0,0.803571429,1,0.115384615,0.019230769,0.057692308,0.788461538,0.019230769
26,0.956521739,0.043478261,0.019230769,0.057692308,0.019230769,0.019230769,0.884615385,1,0.142857143,0.089285714,0.017857143,0.732142857,0.017857143
27,0.956521739,0.043478261,0.074074074,0.111111111,0,0,0.814814815,1,0.113207547,0.018867925,0.037735849,0.79245283,0.037735849
28,0.956521739,0.043478261,0,0.176470588,0.019607843,0.019607843,0.784313725,1,0.153846154,0,0,0.807692308,0.038461538
29,0.916666667,0.083333333,0.054545455,0.181818182,0.036363636,0.018181818,0.709090909,1,0.039215686,0.019607843,0.019607843,0.921568627,0
30,0.956521739,0.043478261,0.074074074,0.148148148,0,0.074074074,0.703703704,1,0.1,0,0,0.9,0
31,1,0,0.071428571,0.125,0.035714286,0,0.767857143,1,0.117647059,0.019607843,0.039215686,0.823529412,0
32,0.88,0.12,0,0.215686275,0.019607843,0.039215686,0.725490196,1,0.018518519,0.055555556,0,0.907407407,0.018518519
33,0.956521739,0.043478261,0.018867925,0.188679245,0.037735849,0,0.754716981,1,0.017857143,0.089285714,0.017857143,0.857142857,0.017857143
34,1,0,0.071428571,0.196428571,0.035714286,0,0.696428571,1,0.06,0,0.04,0.9,0
35,0.956521739,0.043478261,0.056603774,0.075471698,0,0.018867925,0.849056604,1,0.173076923,0.019230769,0.038461538,0.75,0.019230769
36,0.916666667,0.083333333,0.055555556,0.055555556,0.018518519,0,0.87037037,1,0.2,0,0.06,0.74,0
37,0.956521739,0.043478261,0.086206897,0.172413793,0.051724138,0.017241379,0.672413793,1,0,0.038461538,0,0.961538462,0
38,1,0,0.158730159,0.063492063,0.047619048,0.015873016,0.714285714,1,0.018867925,0.056603774,0,0.924528302,0
39,1,0,0.089285714,0.142857143,0.017857143,0.017857143,0.732142857,1,0.078431373,0.019607843,0.039215686,0.862745098,0
40,1,0,0.107142857,0.125,0,0.017857143,0.75,1,0.1,0,0.06,0.84,0
41,0.956521739,0.043478261,0.074074074,0.055555556,0,0,0.87037037,1,0.089285714,0.089285714,0.053571429,0.75,0.017857143
42,1,0,0,0.019607843,0.019607843,0,0.960784314,1,0.288461538,0.038461538,0.057692308,0.615384615,0
43,1,0,0,0.02,0,0,0.98,1,0.13559322,0.152542373,0.06779661,0.644067797,0
44,0.956521739,0.043478261,0.038461538,0.115384615,0,0.057692308,0.788461538,1,0.071428571,0.089285714,0,0.821428571,0.017857143
45,0.956521739,0.043478261,0,0.058823529,0.019607843,0.039215686,0.882352941,1,0.049180328,0.180327869,0.016393443,0.754098361,0
