,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.956521739,0.043478261,0,0.098039216,0.019607843,0.019607843,0.862745098,1,0.05,0.15,0.016666667,0.766666667,0.016666667
1,1,0,0.193548387,0,0,0,0.806451613,1,0.115384615,0,0.038461538,0.807692308,0.038461538
2,0.916666667,0.083333333,0.107142857,0.089285714,0,0.017857143,0.785714286,1,0.056603774,0.037735849,0.037735849,0.849056604,0.018867925
3,0.956521739,0.043478261,0.038461538,0.192307692,0,0.038461538,0.730769231,1,0.037037037,0.055555556,0.018518519,0.87037037,0.018518519
4,0.956521739,0.043478261,0.018867925,0.075471698,0.037735849,0.018867925,0.849056604,1,0.24,0,0.02,0.74,0
5,1,0,0.018867925,0.169811321,0.037735849,0.018867925,0.754716981,1,0.115384615,0.038461538,0.019230769,0.826923077,0
6,0.916666667,0.083333333,0.105263158,0.087719298,0.01754386,0,0.789473684,1,0.057692308,0.038461538,0.057692308,0.846153846,0
7,1,0,0.122807018,0.122807018,0,0,0.754385965,1,0.035714286,0.035714286,0,0.857142857,0.071428571
8,0.916666667,0.083333333,0,0.113207547,0.056603774,0,0.830188679,1,0.090909091,0.090909091,0.018181818,0.8,0
9,1,0,0.056603774,0.20754717,0,0,0.735849057,1,0.018181818,0.054545455,0.036363636,0.854545455,0.036363636
10,1,0,0.089285714,0.142857143,0.017857143,0.017857143,0.732142857,1,0.018181818,0.072727273,0.018181818,0.872727273,0.018181818
11,0.956521739,0.043478261,0,0.153846154,0.038461538,0.019230769,0.788461538,1,0.092592593,0.074074074,0.018518519,0.814814815,0
12,1,0,0.019607843,0.196078431,0,0,0.784313725,1,0.111111111,0.018518519,0.018518519,0.796296296,0.055555556
13,0.956521739,0.043478261,0.056603774,0.150943396,0,0.018867925,0.773584906,1,0.037037037,0.074074074,0.055555556,0.833333333,0
14,0.956521739,0.043478261,0.053571429,0.160714286,0.053571429,0,0.732142857,1,0.078431373,0.019607843,0.019607843,0.882352941,0
15,0.916666667,0.083333333,0.090909091,0.054545455,0,0.018181818,0.836363636,1,0.16,0,0.06,0.78,0
16,0.956521739,0.043478261,0.019607843,0,0,0.078431373,0.901960784,1,0.047619048,0.206349206,0,0.746031746,0
17,1,0,0.055555556,0,0.018518519,0.037037037,0.888888889,1,0.015625,0.21875,0.015625,0.75,0
18,0.956521739,0.043478261,0.019607843,0.137254902,0,0.019607843,0.823529412,1,0.051724138,0.103448276,0.017241379,0.793103448,0.034482759
19,0.956521739,0.043478261,0,0.16,0,0.08,0.76,1,0.053571429,0.107142857,0,0.839285714,0
20,0.956521739,0.043478261,0.054545455,0.036363636,0.036363636,0.018181818,0.854545455,1,0.145454545,0.072727273,0,0.763636364,0.018181818
21,0.956521739,0.043478261,0.037735849,0.094339623,0.018867925,0.018867925,0.830188679,1,0.148148148,0.037037037,0,0.777777778,0.037037037
22,1,0,0.019230769,0.057692308,0.019230769,0.038461538,0.865384615,1,0.274509804,0,0,0.705882353,0.019607843
23,0.916666667,0.083333333,0,0.057692308,0.038461538,0,0.903846154,1,0.122807018,0.105263158,0.01754386,0.736842105,0.01754386
24,1,0,0.037735849,0,0.018867925,0.037735849,0.905660377,1,0.175438596,0.105263158,0,0.701754386,0.01754386
25,1,0,0.089285714,0.089285714,0.017857143,0,0.803571429,1,0.016949153,0.118644068,0.016949153,0.813559322,0.033898305
26,0.916666667,0.083333333,0,0.02,0,0.06,0.92,1,0.160714286,0.107142857,0.017857143,0.714285714,0
27,0.916666667,0.083333333,0.052631579,0,0.070175439,0,0.877192982,1,0.26,0,0,0.74,0
28,0.88,0.12,0.018867925,0,0.037735849,0.037735849,0.905660377,1,0.20754717,0.056603774,0,0.735849057,0
29,0.956521739,0.043478261,0.072727273,0,0.018181818,0,0.909090909,1,0.222222222,0.018518519,0,0.703703704,0.055555556
30,0.916666667,0.083333333,0.084745763,0.016949153,0.06779661,0,0.830508475,1,0.2,0,0,0.8,0
31,1,0,0.055555556,0.111111111,0.018518519,0.055555556,0.759259259,1,0.156862745,0.019607843,0,0.823529412,0
32,0.956521739,0.043478261,0.072727273,0.181818182,0.018181818,0.036363636,0.690909091,1,0,0.056603774,0.018867925,0.924528302,0
33,0.956521739,0.043478261,0,0,0,0,1,1,0.15,0.133333333,0.033333333,0.65,0.033333333
34,0.956521739,0.043478261,0.055555556,0,0.018518519,0.018518519,0.907407407,1,0.222222222,0.037037037,0,0.703703704,0.037037037
35,1,0,0.038461538,0.038461538,0,0,0.923076923,1,0.203703704,0.055555556,0.055555556,0.666666667,0.018518519
36,1,0,0.019607843,0.098039216,0,0.078431373,0.803921569,1,0.068965517,0.137931034,0,0.793103448,0
37,1,0,0.037735849,0.018867925,0.018867925,0,0.924528302,1,0.181818182,0.090909091,0.054545455,0.672727273,0
38,1,0,0,0.02,0,0,0.98,1,0.196428571,0.107142857,0.071428571,0.625,0
39,0.956521739,0.043478261,0.056603774,0.188679245,0,0,0.754716981,1,0.038461538,0.038461538,0.076923077,0.846153846,0
40,0.956521739,0.043478261,0.037735849,0.20754717,0.018867925,0.037735849,0.698113208,1,0,0.072727273,0,0.909090909,0.018181818
41,0.916666667,0.083333333,0.055555556,0.148148148,0.018518519,0,0.777777778,1,0.1,0,0.06,0.84,0
42,1,0,0.054545455,0.018181818,0.036363636,0,0.890909091,1,0.118644068,0.118644068,0,0.728813559,0.033898305
43,1,0,0.038461538,0.057692308,0,0,0.903846154,1,0.196428571,0.035714286,0,0.696428571,0.071428571
44,1,0,0,0.056603774,0.056603774,0,0.886792453,1,0.118644068,0.13559322,0,0.728813559,0.016949153
45,0.916666667,0.083333333,0,0.188679245,0.056603774,0,0.754716981,1,0.017857143,0.089285714,0,0.875,0.017857143
46,0.956521739,0.043478261,0,0.25,0.038461538,0.038461538,0.673076923,1,0,0.074074074,0,0.925925926,0
47,0.956521739,0.043478261,0.037735849,0.150943396,0.018867925,0,0.79245283,1,0.117647059,0.019607843,0.058823529,0.803921569,0
48,0.956521739,0.043478261,0.090909091,0.090909091,0,0.036363636,0.781818182,1,0.01754386,0.105263158,0.01754386,0.842105263,0.01754386
49,1,0,0.071428571,0.089285714,0.035714286,0,0.803571429,1,0.132075472,0.037735849,0.018867925,0.79245283,0.018867925
50,1,0,0.072727273,0.090909091,0.018181818,0.036363636,0.781818182,1,0.132075472,0.037735849,0,0.811320755,0.018867925
51,0.916666667,0.083333333,0,0.16,0,0,0.84,1,0.01754386,0.122807018,0.070175439,0.789473684,0
52,1,0,0.019607843,0.117647059,0,0.019607843,0.843137255,1,0.173076923,0.038461538,0.057692308,0.730769231,0
53,0.88,0.12,0.038461538,0.019230769,0,0.038461538,0.903846154,1,0.24,0,0.04,0.72,0
54,0.956521739,0.043478261,0.056603774,0.20754717,0,0.056603774,0.679245283,1,0.019230769,0.038461538,0.019230769,0.923076923,0
55,1,0,0.090909091,0.109090909,0,0.018181818,0.781818182,1,0.055555556,0.074074074,0.055555556,0.814814815,0
56,0.956521739,0.043478261,0.21875,0.015625,0,0.03125,0.734375,1,0.038461538,0,0,0.923076923,0.038461538
57,0.956521739,0.043478261,0.055555556,0.222222222,0.018518519,0.018518519,0.685185185,1,0.038461538,0,0,0.923076923,0.038461538
58,0.916666667,0.083333333,0.019607843,0.215686275,0,0.019607843,0.745098039,1,0.018518519,0.055555556,0.037037037,0.87037037,0.018518519
59,1,0,0.056603774,0.150943396,0,0,0.79245283,1,0.094339623,0.037735849,0.056603774,0.79245283,0.018867925
60,1,0,0.038461538,0.115384615,0,0,0.846153846,1,0.050847458,0.118644068,0.033898305,0.762711864,0.033898305
61,0.956521739,0.043478261,0.037735849,0.018867925,0.018867925,0,0.924528302,1,0.274509804,0,0.039215686,0.666666667,0.019607843
62,0.916666667,0.083333333,0.055555556,0.074074074,0.018518519,0.055555556,0.796296296,1,0.18,0,0,0.82,0
63,0.956521739,0.043478261,0.056603774,0.075471698,0,0.037735849,0.830188679,1,0.089285714,0.089285714,0.017857143,0.785714286,0.017857143
64,1,0,0.056603774,0.169811321,0,0,0.773584906,1,0.113207547,0,0.018867925,0.811320755,0.056603774
65,0.916666667,0.083333333,0.019607843,0.274509804,0,0.039215686,0.666666667,1,0,0.019230769,0.019230769,0.942307692,0.019230769
66,0.956521739,0.043478261,0,0.113207547,0.056603774,0,0.830188679,1,0.215686275,0,0,0.764705882,0.019607843
67,1,0,0.147540984,0,0.032786885,0.016393443,0.803278689,1,0.132075472,0.037735849,0,0.811320755,0.018867925
68,1,0,0.019607843,0.137254902,0,0,0.843137255,1,0.125,0.053571429,0.017857143,0.75,0.053571429
69,1,0,0.105263158,0.087719298,0.01754386,0.035087719,0.754385965,1,0.055555556,0.074074074,0.018518519,0.851851852,0
70,1,0,0,0.019607843,0.019607843,0,0.960784314,1,0.114754098,0.163934426,0.032786885,0.672131148,0.016393443
71,0.916666667,0.083333333,0,0.1,0,0.02,0.88,1,0.188679245,0.018867925,0.018867925,0.735849057,0.037735849
72,1,0,0,0.153846154,0.038461538,0,0.807692308,1,0.127272727,0.054545455,0,0.781818182,0.036363636
73,0.956521739,0.043478261,0.074074074,0.166666667,0,0.037037037,0.722222222,1,0.038461538,0.038461538,0.038461538,0.884615385,0
74,0.956521739,0.043478261,0.019230769,0.192307692,0.019230769,0,0.769230769,1,0,0.107142857,0.053571429,0.839285714,0
75,0.956521739,0.043478261,0.019230769,0.076923077,0.019230769,0,0.884615385,1,0.166666667,0.055555556,0.037037037,0.722222222,0.018518519
76,1,0,0.019607843,0.039215686,0,0,0.941176471,1,0.222222222,0.055555556,0.055555556,0.648148148,0.018518519
77,1,0,0,0.058823529,0.019607843,0,0.921568627,1,0.140350877,0.122807018,0.052631579,0.684210526,0
78,1,0,0.038461538,0.057692308,0,0.057692308,0.846153846,1,0.145454545,0.090909091,0.018181818,0.745454545,0
79,0.956521739,0.043478261,0.018867925,0.150943396,0.037735849,0,0.79245283,1,0.090909091,0.054545455,0,0.818181818,0.036363636
80,1,0,0,0.215686275,0.019607843,0.039215686,0.725490196,1,0.14,0,0.02,0.84,0
81,0.956521739,0.043478261,0.180327869,0.06557377,0,0.06557377,0.68852459,1,0,0.038461538,0,0.961538462,0
82,1,0,0.038461538,0.019230769,0,0,0.942307692,1,0.178571429,0.089285714,0.053571429,0.660714286,0.017857143
83,0.956521739,0.043478261,0.122807018,0.035087719,0,0.052631579,0.789473684,1,0.074074074,0.074074074,0.018518519,0.833333333,0
84,1,0,0.107142857,0.107142857,0,0.017857143,0.767857143,1,0.12,0,0.06,0.82,0
85,1,0,0.152542373,0.13559322,0,0.016949153,0.694915254,1,0,0.018518519,0,0.925925926,0.055555556
86,1,0,0.15,0.133333333,0.016666667,0.016666667,0.683333333,1,0,0.019607843,0.039215686,0.941176471,0
87,0.956521739,0.043478261,0,0.08,0,0.08,0.84,1,0.166666667,0.074074074,0,0.759259259,0
88,1,0,0.038461538,0.134615385,0,0.019230769,0.807692308,1,0.153846154,0.019230769,0.038461538,0.769230769,0.019230769
89,0.916666667,0.083333333,0,0.057692308,0.038461538,0,0.903846154,1,0.235294118,0.019607843,0.039215686,0.705882353,0
90,1,0,0.074074074,0.018518519,0,0.037037037,0.87037037,1,0.235294118,0.019607843,0.039215686,0.705882353,0
91,0.956521739,0.043478261,0.152542373,0.101694915,0,0.050847458,0.694915254,1,0.039215686,0,0,0.941176471,0.019607843
92,1,0,0,0,0,0.04,0.96,1,0.214285714,0.107142857,0.035714286,0.642857143,0
93,0.956521739,0.043478261,0.166666667,0.1,0,0.016666667,0.716666667,1,0.02,0,0.06,0.92,0
94,0.916666667,0.083333333,0.019607843,0.196078431,0,0.058823529,0.725490196,1,0.057692308,0.038461538,0.019230769,0.884615385,0
95,0.956521739,0.043478261,0.087719298,0.192982456,0.035087719,0,0.684210526,1,0.02,0,0.04,0.94,0
96,1,0,0.15,0.1,0.016666667,0.016666667,0.716666667,1,0,0.056603774,0.037735849,0.905660377,0
97,0.956521739,0.043478261,0.019230769,0.096153846,0.019230769,0,0.865384615,1,0.166666667,0.037037037,0.018518519,0.740740741,0.037037037
98,1,0,0.055555556,0.092592593,0.018518519,0,0.833333333,1,0.127272727,0.054545455,0.018181818,0.763636364,0.036363636
99,1,0,0.038461538,0.019230769,0,0.019230769,0.923076923,1,0.06557377,0.180327869,0.049180328,0.704918033,0
100,1,0,0,0.192307692,0.038461538,0,0.769230769,1,0.16,0,0.04,0.8,0
101,0.956521739,0.043478261,0,0.24,0,0.04,0.72,1,0.076923077,0.019230769,0.019230769,0.865384615,0.019230769
102,0.956521739,0.043478261,0.038461538,0.057692308,0,0.076923077,0.826923077,1,0.148148148,0.074074074,0,0.777777778,0
103,0.916666667,0.083333333,0.019607843,0.176470588,0,0.058823529,0.745098039,1,0.075471698,0.037735849,0,0.867924528,0.018867925
104,0.916666667,0.083333333,0.038461538,0.076923077,0,0.038461538,0.846153846,1,0.196078431,0,0.019607843,0.764705882,0.019607843
105,1,0,0.072727273,0.036363636,0.018181818,0.018181818,0.854545455,1,0.215686275,0.019607843,0.039215686,0.725490196,0
106,1,0,0.120689655,0.034482759,0.017241379,0.017241379,0.810344828,1,0.132075472,0.037735849,0.018867925,0.79245283,0.018867925
107,1,0,0.089285714,0.071428571,0.017857143,0,0.821428571,1,0.089285714,0.071428571,0.017857143,0.785714286,0.035714286
108,0.956521739,0.043478261,0.056603774,0.150943396,0,0.018867925,0.773584906,1,0.117647059,0,0.039215686,0.823529412,0.019607843
109,0.916666667,0.083333333,0.089285714,0.107142857,0.017857143,0.017857143,0.767857143,1,0.098039216,0,0.019607843,0.862745098,0.019607843
110,0.916666667,0.083333333,0.036363636,0.054545455,0.054545455,0,0.854545455,1,0.173076923,0.038461538,0.019230769,0.769230769,0
111,1,0,0.018867925,0.245283019,0.037735849,0,0.698113208,1,0,0.074074074,0.037037037,0.888888889,0
112,0.88,0.12,0.055555556,0.037037037,0.018518519,0,0.888888889,1,0.173076923,0.019230769,0.038461538,0.75,0.019230769
113,0.956521739,0.043478261,0.074074074,0.203703704,0,0.037037037,0.685185185,1,0,0.037735849,0.018867925,0.924528302,0.018867925
114,0.956521739,0.043478261,0.019230769,0.038461538,0.019230769,0.057692308,0.865384615,1,0.163636364,0.090909091,0,0.745454545,0
115,0.88,0.12,0,0.22,0,0.04,0.74,1,0.057692308,0.019230769,0.019230769,0.884615385,0.019230769
116,0.916666667,0.083333333,0.038461538,0.211538462,0,0.076923077,0.673076923,1,0,0.056603774,0,0.943396226,0
117,0.88,0.12,0,0,0,0,1,1,0.264150943,0.018867925,0.037735849,0.641509434,0.037735849
118,1,0,0.055555556,0.148148148,0.018518519,0,0.777777778,1,0.035714286,0.089285714,0.035714286,0.821428571,0.017857143
119,1,0,0.180327869,0.081967213,0,0.06557377,0.672131148,1,0.019607843,0.019607843,0,0.960784314,0
