"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))",
0.538461538,0.384615385,0.076923077,0,0.020833333,0.708333333,0.208333333,0.041666667,0.020833333,0.916666667,0,0,0,0.083333333,0,0.22,0,0.78,1,0,0.762711864,0.084745763,0.152542373,0
0.529411765,0.352941176,0.058823529,0.058823529,0.020833333,0.6875,0.208333333,0.041666667,0.041666667,1,0,0,0,0,0.033898305,0.152542373,0.118644068,0.694915254,1,0,0.846153846,0.115384615,0.038461538,1
0.45,0.4,0.05,0.1,0.023809524,0.714285714,0.238095238,0.023809524,0,0.9,0.1,0,0,0,0.035714286,0.178571429,0.071428571,0.714285714,1,0.06779661,0.694915254,0.152542373,0.084745763,2
0.739130435,0.217391304,0.043478261,0,0.019230769,0.653846154,0.192307692,0.115384615,0.019230769,1,0,0,0,0,0.116666667,0.016666667,0.05,0.816666667,1,0,0.803571429,0.089285714,0.107142857,3
0.681818182,0.227272727,0.045454545,0.045454545,0,0.75,0.227272727,0,0.022727273,0.8,0.2,0,0,0,0.13559322,0.084745763,0.016949153,0.762711864,1,0.033333333,0.716666667,0.116666667,0.133333333,4
0.692307692,0.230769231,0.038461538,0.038461538,0.020833333,0.6875,0.208333333,0.0625,0.020833333,0,0,0,0,0,0.19047619,0,0.015873016,0.793650794,1,0,0.771929825,0.105263158,0.122807018,5
0.730769231,0.230769231,0.038461538,0,0,0.673469388,0.204081633,0.102040816,0.020408163,0,0,0,0,0,0.126984127,0,0.079365079,0.793650794,1,0.052631579,0.754385965,0.122807018,0.070175439,6
0.730769231,0.192307692,0.038461538,0.038461538,0,0.739130435,0.217391304,0.02173913,0.02173913,0,0,0,0,0,0.171428571,0,0.114285714,0.714285714,1,0.019230769,0.846153846,0.115384615,0.019230769,7
0.588235294,0.294117647,0.058823529,0.058823529,0.020833333,0.708333333,0.208333333,0.041666667,0.020833333,0.888888889,0,0,0.111111111,0,0.038461538,0.153846154,0,0.807692308,1,0,0.762711864,0.084745763,0.152542373,8
0.529411765,0.352941176,0.058823529,0.058823529,0,0.733333333,0.222222222,0.022222222,0.022222222,0.769230769,0,0,0.076923077,0.153846154,0.017857143,0.178571429,0.089285714,0.714285714,1,0.018518519,0.796296296,0.12962963,0.055555556,9
