,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0.875,0,0,0,0.125,0,0.134615385,0.038461538,0,0.826923077,1,0.038461538,0.846153846,0.115384615,0,0
1,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,0.5,0,0,0.5,0,0.038461538,0.019230769,0,0,0.942307692,1,0.087719298,0.771929825,0.105263158,0,0.035087719
2,0.95,0,0,0.05,0,0.619047619,0.174603175,0.19047619,0.015873016,0,0,0,0,0,0.055555556,0,0.018518519,0,0.925925926,1,0,0.862745098,0.117647059,0,0.019607843
3,0.95,0,0,0.05,0,0.65,0.183333333,0.15,0.016666667,0,0,0,0,0,0.071428571,0,0.035714286,0,0.892857143,1,0.038461538,0.846153846,0.115384615,0,0
4,1,0,0,0,0.018181818,0.690909091,0.2,0.090909091,0,0.5,0.5,0,0,0,0.163934426,0.032786885,0.016393443,0,0.786885246,1,0,0.862745098,0.117647059,0,0.019607843
5,1,0,0,0,0,0.75,0.211538462,0.019230769,0.019230769,0,0,0,0,0,0.215384615,0,0.015384615,0,0.769230769,1,0.019230769,0.846153846,0.115384615,0,0.019230769
6,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0.137931034,0.017241379,0,0,0.844827586,1,0.071428571,0.785714286,0.107142857,0,0.035714286
7,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0,0,0,0,0,0.072727273,0,0.018181818,0,0.909090909,1,0.13559322,0.745762712,0.101694915,0,0.016949153
8,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,0,0,0,0,0,0.071428571,0,0.035714286,0,0.892857143,1,0.166666667,0.733333333,0.1,0,0
9,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0.875,0,0,0,0.125,0,0.137254902,0.019607843,0,0.843137255,1,0.072727273,0.8,0.109090909,0,0.018181818
