,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.896551724,0.103448276,0,0,0.019607843,0.450980392,0.529411765,1,0.740740741,0,0.018518519,0.166666667,0.074074074
1,0.975,0.025,0.101694915,0.050847458,0.050847458,0.288135593,0.508474576,1,0.610169492,0,0.033898305,0.203389831,0.152542373
2,0.939759036,0.060240964,0.01754386,0.087719298,0.105263158,0.333333333,0.456140351,1,0.735849057,0,0,0.20754717,0.056603774
3,0.951219512,0.048780488,0.016666667,0,0.15,0.3,0.533333333,1,0.666666667,0.105263158,0.01754386,0.192982456,0.01754386
4,0.917647059,0.082352941,0.033898305,0.06779661,0.118644068,0.288135593,0.491525424,1,0.730769231,0,0.019230769,0.211538462,0.038461538
5,0.975,0.025,0.075757576,0.045454545,0.166666667,0.227272727,0.484848485,1,0.543859649,0.122807018,0.070175439,0.263157895,0
6,0.928571429,0.071428571,0.086206897,0.068965517,0.051724138,0.431034483,0.362068966,1,0.545454545,0.072727273,0,0.363636364,0.018181818
7,0.987341772,0.012658228,0.089285714,0.035714286,0.017857143,0.339285714,0.517857143,1,0.610169492,0.050847458,0.084745763,0.152542373,0.101694915
8,1,0,0.037037037,0.092592593,0.037037037,0.388888889,0.444444444,1,0.631578947,0.070175439,0.087719298,0.157894737,0.052631579
9,0.951219512,0.048780488,0,0.078431373,0.019607843,0.450980392,0.450980392,1,0.678571429,0.035714286,0.035714286,0.178571429,0.071428571
10,0.987341772,0.012658228,0.070175439,0.140350877,0.052631579,0.263157895,0.473684211,1,0.53968254,0,0,0.253968254,0.206349206
11,0.939759036,0.060240964,0,0.117647059,0.019607843,0.196078431,0.666666667,1,0.567164179,0.014925373,0.014925373,0.164179104,0.23880597
12,0.917647059,0.082352941,0,0,0.090909091,0.254545455,0.654545455,1,0.677966102,0.06779661,0.050847458,0.118644068,0.084745763
13,0.896551724,0.103448276,0.036363636,0,0.054545455,0.418181818,0.490909091,1,0.784313725,0,0,0.196078431,0.019607843
14,0.928571429,0.071428571,0.05,0.016666667,0.116666667,0.333333333,0.483333333,1,0.764705882,0,0.019607843,0.196078431,0.019607843
15,0.928571429,0.071428571,0,0.016949153,0.152542373,0.322033898,0.508474576,1,0.722222222,0.055555556,0,0.203703704,0.018518519
16,0.928571429,0.071428571,0,0.13559322,0.152542373,0.271186441,0.440677966,1,0.6,0.018181818,0.018181818,0.290909091,0.072727273
17,0.962962963,0.037037037,0,0.107142857,0.107142857,0.196428571,0.589285714,1,0.606557377,0.032786885,0.06557377,0.147540984,0.147540984
18,0.975,0.025,0.037735849,0.018867925,0.018867925,0.20754717,0.716981132,1,0.514285714,0.085714286,0.071428571,0.128571429,0.2
