,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.68,0.2,0.04,0.08,0.018518519,0.611111111,0.185185185,0.166666667,0.018518519,0.333333333,0.333333333,0,0.333333333,0,0,0.035714286,0.107142857,0.857142857,1,0.037037037,0.814814815,0.111111111,0.037037037
1,0.619047619,0.285714286,0.047619048,0.047619048,0.020833333,0.6875,0.208333333,0.083333333,0,0.833333333,0,0,0.166666667,0,0.078125,0.078125,0.140625,0.703125,1,0,0.88,0.12,0
2,0.5,0.357142857,0.071428571,0.071428571,0.021276596,0.723404255,0.212765957,0.021276596,0.021276596,0.916666667,0,0,0.083333333,0,0,0.189655172,0.137931034,0.672413793,1,0,0.882352941,0.098039216,0.019607843
3,0.5,0.428571429,0.071428571,0,0.042553191,0.680851064,0.191489362,0.085106383,0,0.769230769,0.076923077,0.076923077,0,0.076923077,0,0.206896552,0.137931034,0.655172414,1,0,0.843137255,0.137254902,0.019607843
4,0.571428571,0.357142857,0.071428571,0,0,0.733333333,0.222222222,0.022222222,0.022222222,0.846153846,0.076923077,0,0.076923077,0,0.032786885,0.196721311,0.147540984,0.62295082,1,0,0.86,0.14,0
5,0.5625,0.3125,0.0625,0.0625,0,0.6875,0.208333333,0.083333333,0.020833333,0.909090909,0.090909091,0,0,0,0,0.20754717,0.056603774,0.735849057,1,0,0.767857143,0.125,0.107142857
6,0.5625,0.3125,0.0625,0.0625,0.020833333,0.708333333,0.208333333,0.041666667,0.020833333,0.9,0,0,0,0.1,0.018518519,0.166666667,0.055555556,0.759259259,1,0.017857143,0.803571429,0.089285714,0.089285714
7,0.76,0.2,0.04,0,0,0.611111111,0.185185185,0.185185185,0.018518519,0,0.5,0,0.5,0,0.05,0.016666667,0.116666667,0.816666667,1,0.018867925,0.811320755,0.132075472,0.037735849
8,0.76,0.2,0.04,0,0,0.708333333,0.208333333,0.0625,0.020833333,0,0,0,0,0,0,0,0.107142857,0.892857143,1,0.184615385,0.676923077,0.092307692,0.046153846
9,0.428571429,0.5,0.071428571,0,0,0.761904762,0.238095238,0,0,0.866666667,0,0,0.133333333,0,0.038461538,0.25,0,0.711538462,1,0.016666667,0.7,0.133333333,0.15
