,"('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')"
0,0.210526316,0.025641026,0,0,0.820512821,0.909090909,0.789473684,0.153846154,0.090909091
1,0.526315789,0,0.090909091,0,0.871794872,0.818181818,0.473684211,0.128205128,0.090909091
2,0.315789474,0,0,0.052631579,0.871794872,0.909090909,0.631578947,0.128205128,0.090909091
3,0.157894737,0,0,0.052631579,0.820512821,0.909090909,0.789473684,0.179487179,0.090909091
4,0.631578947,0,0,0,0.846153846,0.818181818,0.368421053,0.153846154,0.181818182
5,0.631578947,0,0,0,0.846153846,0.909090909,0.368421053,0.153846154,0.090909091
6,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
7,0,0,0.090909091,0.052631579,0.871794872,0.818181818,0.947368421,0.128205128,0.090909091
8,0,0,0,0.052631579,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
9,0.052631579,0,0,0.052631579,0.846153846,0.909090909,0.894736842,0.153846154,0.090909091
10,0.578947368,0.025641026,0.090909091,0,0.846153846,0.818181818,0.421052632,0.128205128,0.090909091
11,0.315789474,0,0,0,0.871794872,0.909090909,0.684210526,0.128205128,0.090909091
12,0.526315789,0,0,0,0.846153846,0.909090909,0.473684211,0.153846154,0.090909091
13,0.684210526,0.025641026,0,0.052631579,0.846153846,0.909090909,0.263157895,0.128205128,0.090909091
14,0.736842105,0,0,0,0.846153846,0.909090909,0.263157895,0.153846154,0.090909091
15,0.421052632,0,0,0.052631579,0.871794872,0.818181818,0.526315789,0.128205128,0.181818182
16,0.210526316,0,0.090909091,0.105263158,0.820512821,0.818181818,0.684210526,0.179487179,0.090909091
17,0.421052632,0.025641026,0,0,0.820512821,0.818181818,0.578947368,0.153846154,0.181818182
18,0.631578947,0,0.181818182,0,0.871794872,0.727272727,0.368421053,0.128205128,0.090909091
19,0.684210526,0,0,0,0.871794872,0.909090909,0.315789474,0.128205128,0.090909091
20,0.684210526,0,0,0,0.871794872,0.909090909,0.315789474,0.128205128,0.090909091
21,0.631578947,0,0,0,0.871794872,0.909090909,0.368421053,0.128205128,0.090909091
22,0.368421053,0,0,0.052631579,0.871794872,0.909090909,0.578947368,0.128205128,0.090909091
23,0.157894737,0,0.181818182,0.105263158,0.846153846,0.727272727,0.736842105,0.153846154,0.090909091
24,0.105263158,0.025641026,0,0.105263158,0.820512821,0.909090909,0.789473684,0.153846154,0.090909091
25,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
26,0.052631579,0,0,0,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
27,0.210526316,0,0,0.105263158,0.846153846,0.909090909,0.684210526,0.153846154,0.090909091
28,0.052631579,0,0,0.105263158,0.871794872,0.727272727,0.842105263,0.128205128,0.272727273
29,0.157894737,0.025641026,0,0.105263158,0.820512821,0.909090909,0.736842105,0.153846154,0.090909091
30,0.578947368,0,0,0,0.871794872,0.909090909,0.421052632,0.128205128,0.090909091
31,0.631578947,0,0,0,0.871794872,0.909090909,0.368421053,0.128205128,0.090909091
32,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
33,0.052631579,0,0,0.105263158,0.846153846,0.909090909,0.842105263,0.153846154,0.090909091
34,0.052631579,0,0,0,0.820512821,0.909090909,0.947368421,0.179487179,0.090909091
35,0.052631579,0.025641026,0,0,0.794871795,0.909090909,0.947368421,0.179487179,0.090909091
36,0.052631579,0,0,0,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
37,0.157894737,0,0.090909091,0.105263158,0.846153846,0.818181818,0.736842105,0.153846154,0.090909091
38,0.473684211,0.025641026,0.090909091,0,0.846153846,0.818181818,0.526315789,0.128205128,0.090909091
39,0.473684211,0,0,0,0.871794872,0.909090909,0.526315789,0.128205128,0.090909091
40,0.631578947,0,0.090909091,0,0.820512821,0.727272727,0.368421053,0.179487179,0.181818182
41,0.368421053,0.025641026,0,0.105263158,0.846153846,0.909090909,0.526315789,0.128205128,0.090909091
42,0.105263158,0,0,0.052631579,0.871794872,0.909090909,0.842105263,0.128205128,0.090909091
43,0.315789474,0,0.090909091,0,0.871794872,0.818181818,0.684210526,0.128205128,0.090909091
44,0.210526316,0,0,0.105263158,0.846153846,0.909090909,0.684210526,0.153846154,0.090909091
45,0.263157895,0,0,0,0.871794872,0.909090909,0.736842105,0.128205128,0.090909091
46,0.157894737,0,0,0.052631579,0.871794872,0.909090909,0.789473684,0.128205128,0.090909091
47,0.157894737,0,0.090909091,0.052631579,0.846153846,0.727272727,0.789473684,0.153846154,0.181818182
48,0.263157895,0,0,0.052631579,0.871794872,0.909090909,0.684210526,0.128205128,0.090909091
49,0.368421053,0,0,0,0.871794872,0.818181818,0.631578947,0.128205128,0.181818182
50,0.631578947,0,0,0.052631579,0.846153846,0.909090909,0.315789474,0.153846154,0.090909091
51,0,0,0,0.052631579,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
52,0.578947368,0.025641026,0,0.105263158,0.846153846,0.909090909,0.315789474,0.128205128,0.090909091
53,0.684210526,0,0,0,0.871794872,0.909090909,0.315789474,0.128205128,0.090909091
54,0.473684211,0.051282051,0,0.052631579,0.794871795,0.909090909,0.473684211,0.153846154,0.090909091
55,0.315789474,0,0,0.105263158,0.846153846,0.909090909,0.578947368,0.153846154,0.090909091
56,0,0,0,0,0.871794872,0.818181818,1,0.128205128,0.181818182
57,0.105263158,0.025641026,0,0.052631579,0.846153846,0.909090909,0.842105263,0.128205128,0.090909091
58,0,0,0,0,0.846153846,0.909090909,1,0.153846154,0.090909091
59,0.631578947,0.025641026,0,0,0.846153846,0.909090909,0.368421053,0.128205128,0.090909091
60,0.736842105,0,0,0,0.820512821,0.909090909,0.263157895,0.179487179,0.090909091
61,0.526315789,0,0,0,0.846153846,0.909090909,0.473684211,0.153846154,0.090909091
62,0.578947368,0,0,0,0.871794872,0.909090909,0.421052632,0.128205128,0.090909091
63,0.526315789,0,0,0,0.871794872,0.909090909,0.473684211,0.128205128,0.090909091
64,0.631578947,0.025641026,0.090909091,0,0.846153846,0.818181818,0.368421053,0.128205128,0.090909091
65,0.684210526,0,0.090909091,0,0.846153846,0.818181818,0.315789474,0.153846154,0.090909091
66,0.526315789,0,0,0.105263158,0.820512821,0.818181818,0.368421053,0.179487179,0.181818182
67,0.368421053,0,0,0,0.871794872,0.909090909,0.631578947,0.128205128,0.090909091
68,0.526315789,0,0,0,0.871794872,0.909090909,0.473684211,0.128205128,0.090909091
69,0.684210526,0,0,0,0.871794872,0.909090909,0.315789474,0.128205128,0.090909091
70,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
71,0.052631579,0,0,0,0.846153846,0.909090909,0.947368421,0.153846154,0.090909091
72,0.526315789,0,0,0,0.820512821,0.818181818,0.473684211,0.179487179,0.181818182
73,0,0,0,0.052631579,0.846153846,0.909090909,0.947368421,0.153846154,0.090909091
74,0.052631579,0,0,0.052631579,0.871794872,0.909090909,0.894736842,0.128205128,0.090909091
75,0.578947368,0.025641026,0,0.052631579,0.846153846,0.909090909,0.368421053,0.128205128,0.090909091
76,0.315789474,0.025641026,0,0.105263158,0.846153846,0.909090909,0.578947368,0.128205128,0.090909091
77,0.315789474,0,0,0,0.871794872,0.909090909,0.684210526,0.128205128,0.090909091
78,0.368421053,0.025641026,0,0,0.846153846,0.909090909,0.631578947,0.128205128,0.090909091
79,0.263157895,0,0,0,0.871794872,0.909090909,0.736842105,0.128205128,0.090909091
80,0.210526316,0.025641026,0,0,0.846153846,0.909090909,0.789473684,0.128205128,0.090909091
81,0.315789474,0,0,0,0.871794872,0.818181818,0.684210526,0.128205128,0.181818182
82,0.052631579,0,0.090909091,0.052631579,0.871794872,0.818181818,0.894736842,0.128205128,0.090909091
83,0,0,0,0.052631579,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
84,0.052631579,0,0,0.052631579,0.794871795,0.818181818,0.894736842,0.205128205,0.181818182
85,0,0,0,0.052631579,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
86,0,0,0,0,0.846153846,0.909090909,1,0.153846154,0.090909091
87,0,0,0,0.052631579,0.820512821,0.909090909,0.947368421,0.179487179,0.090909091
88,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
89,0.315789474,0.025641026,0,0.052631579,0.846153846,0.909090909,0.631578947,0.128205128,0.090909091
90,0.105263158,0.025641026,0.181818182,0,0.846153846,0.727272727,0.894736842,0.128205128,0.090909091
91,0.368421053,0,0,0.052631579,0.846153846,0.909090909,0.578947368,0.153846154,0.090909091
92,0.473684211,0,0,0,0.846153846,0.909090909,0.526315789,0.153846154,0.090909091
93,0.157894737,0,0,0,0.871794872,0.909090909,0.842105263,0.128205128,0.090909091
94,0.157894737,0,0,0.052631579,0.871794872,0.909090909,0.789473684,0.128205128,0.090909091
95,0,0,0,0.052631579,0.846153846,0.909090909,0.947368421,0.153846154,0.090909091
96,0.157894737,0.025641026,0,0,0.846153846,0.909090909,0.842105263,0.128205128,0.090909091
97,0.315789474,0.025641026,0,0.105263158,0.846153846,0.909090909,0.578947368,0.128205128,0.090909091
98,0.368421053,0,0,0,0.871794872,0.909090909,0.631578947,0.128205128,0.090909091
99,0.526315789,0.025641026,0,0.157894737,0.794871795,0.909090909,0.315789474,0.179487179,0.090909091
100,0.631578947,0,0,0.052631579,0.820512821,0.909090909,0.315789474,0.179487179,0.090909091
101,0.526315789,0,0,0.052631579,0.820512821,0.909090909,0.421052632,0.179487179,0.090909091
102,0.421052632,0,0,0.052631579,0.871794872,0.909090909,0.526315789,0.128205128,0.090909091
103,0.368421053,0,0,0,0.871794872,0.909090909,0.631578947,0.128205128,0.090909091
104,0.631578947,0,0,0,0.871794872,0.818181818,0.368421053,0.128205128,0.181818182
105,0.526315789,0,0,0.105263158,0.846153846,0.909090909,0.368421053,0.153846154,0.090909091
106,0.473684211,0.025641026,0.090909091,0.157894737,0.820512821,0.818181818,0.368421053,0.153846154,0.090909091
107,0.315789474,0,0,0.105263158,0.846153846,0.909090909,0.578947368,0.153846154,0.090909091
108,0.157894737,0,0,0,0.820512821,0.818181818,0.842105263,0.179487179,0.181818182
109,0.052631579,0.025641026,0.090909091,0.052631579,0.794871795,0.818181818,0.894736842,0.179487179,0.090909091
110,0.052631579,0,0,0.105263158,0.846153846,0.909090909,0.842105263,0.153846154,0.090909091
111,0.105263158,0,0,0.105263158,0.846153846,0.909090909,0.789473684,0.153846154,0.090909091
112,0,0,0,0,0.794871795,0.909090909,1,0.205128205,0.090909091
113,0,0.025641026,0,0.105263158,0.820512821,0.909090909,0.894736842,0.153846154,0.090909091
114,0,0,0,0.052631579,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
115,0.052631579,0,0,0,0.846153846,0.818181818,0.947368421,0.153846154,0.181818182
116,0.210526316,0,0,0,0.871794872,0.909090909,0.789473684,0.128205128,0.090909091
117,0,0,0,0.052631579,0.846153846,0.909090909,0.947368421,0.153846154,0.090909091
118,0.473684211,0,0,0.052631579,0.846153846,0.909090909,0.473684211,0.153846154,0.090909091
119,0.526315789,0,0,0.052631579,0.794871795,0.818181818,0.421052632,0.205128205,0.181818182
120,0,0,0,0.105263158,0.846153846,0.909090909,0.894736842,0.153846154,0.090909091
121,0,0,0,0.052631579,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
122,0,0,0,0.052631579,0.846153846,0.909090909,0.947368421,0.153846154,0.090909091
123,0,0,0,0,0.846153846,0.727272727,1,0.153846154,0.272727273
124,0.684210526,0,0,0,0.846153846,0.909090909,0.315789474,0.153846154,0.090909091
125,0.684210526,0,0,0,0.846153846,0.909090909,0.315789474,0.153846154,0.090909091
126,0.578947368,0,0,0.105263158,0.820512821,0.909090909,0.315789474,0.179487179,0.090909091
127,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
128,0.052631579,0,0,0.052631579,0.871794872,0.909090909,0.894736842,0.128205128,0.090909091
129,0.210526316,0,0,0.052631579,0.871794872,0.909090909,0.736842105,0.128205128,0.090909091
130,0.368421053,0,0,0.052631579,0.871794872,0.909090909,0.578947368,0.128205128,0.090909091
131,0.368421053,0,0,0.052631579,0.871794872,0.818181818,0.578947368,0.128205128,0.181818182
132,0.052631579,0,0,0,0.871794872,0.909090909,0.947368421,0.128205128,0.090909091
133,0.263157895,0,0,0,0.871794872,0.818181818,0.736842105,0.128205128,0.181818182
134,0,0,0,0,0.846153846,0.909090909,1,0.153846154,0.090909091
135,0.315789474,0,0,0,0.871794872,0.909090909,0.684210526,0.128205128,0.090909091
136,0,0,0,0.052631579,0.871794872,0.727272727,0.947368421,0.128205128,0.272727273
137,0,0,0,0.105263158,0.846153846,0.909090909,0.894736842,0.153846154,0.090909091
138,0.052631579,0,0,0.105263158,0.820512821,0.909090909,0.842105263,0.179487179,0.090909091
139,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
140,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
141,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
142,0,0,0,0,0.871794872,0.909090909,1,0.128205128,0.090909091
143,0.631578947,0,0,0,0.846153846,0.909090909,0.368421053,0.153846154,0.090909091
