,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.72,0.2,0.04,0.04,0.020833333,0.708333333,0.208333333,0.041666667,0.020833333,0,0,0,0,0,0.122807018,0,0,0.877192982,1,0.079365079,0.714285714,0.079365079,0.126984127
1,0.666666667,0.259259259,0.037037037,0.037037037,0.021276596,0.680851064,0.212765957,0.063829787,0.021276596,0,0,0,0,0,0.053571429,0,0.053571429,0.892857143,1,0.153846154,0.661538462,0.107692308,0.076923077
2,0.590909091,0.272727273,0.090909091,0.045454545,0.039215686,0.647058824,0.176470588,0.098039216,0.039215686,1,0,0,0,0,0.063492063,0.063492063,0.142857143,0.73015873,1,0,0.88,0.12,0
3,0.470588235,0.411764706,0.058823529,0.058823529,0.042553191,0.680851064,0.212765957,0.042553191,0.021276596,0.9,0,0,0,0.1,0.037037037,0.166666667,0.037037037,0.759259259,1,0.01754386,0.771929825,0.105263158,0.105263158
4,0.588235294,0.352941176,0.058823529,0,0,0.75,0.227272727,0,0.022727273,0.75,0,0,0,0.25,0.063492063,0.142857143,0.142857143,0.650793651,1,0,0.86,0.14,0
5,0.65,0.25,0.05,0.05,0,0.755555556,0.222222222,0,0.022222222,0.75,0,0,0.125,0.125,0.086206897,0.103448276,0.051724138,0.75862069,1,0.035087719,0.771929825,0.105263158,0.087719298
6,0.466666667,0.4,0.066666667,0.066666667,0,0.76744186,0.23255814,0,0,0.923076923,0,0,0,0.076923077,0.054545455,0.218181818,0.036363636,0.690909091,1,0.01754386,0.754385965,0.122807018,0.105263158
7,0.708333333,0.25,0.041666667,0,0.044444444,0.733333333,0.222222222,0,0,0,0,0,0,0,0.147540984,0,0.032786885,0.819672131,1,0.095238095,0.714285714,0.079365079,0.111111111
8,0.5625,0.375,0.0625,0,0.042553191,0.70212766,0.212765957,0.042553191,0,0.888888889,0,0,0,0.111111111,0.037037037,0.148148148,0.037037037,0.777777778,1,0.033898305,0.762711864,0.084745763,0.118644068
9,0.5,0.333333333,0.055555556,0.111111111,0.022727273,0.75,0.227272727,0,0,0.9,0,0,0,0.1,0,0.173076923,0.038461538,0.788461538,1,0.081967213,0.721311475,0.098360656,0.098360656
10,0.533333333,0.4,0.066666667,0,0,0.761904762,0.238095238,0,0,0.785714286,0.071428571,0,0.071428571,0.071428571,0.06779661,0.203389831,0.084745763,0.644067797,1,0,0.777777778,0.148148148,0.074074074
11,0.461538462,0.461538462,0.076923077,0,0,0.76744186,0.23255814,0,0,0.928571429,0,0,0.071428571,0,0.05,0.216666667,0.116666667,0.616666667,1,0,0.826923077,0.134615385,0.038461538
12,0.5,0.416666667,0.083333333,0,0,0.755555556,0.222222222,0,0.022222222,0.928571429,0,0,0,0.071428571,0.018518519,0.240740741,0.055555556,0.685185185,1,0,0.785714286,0.107142857,0.107142857
13,0.529411765,0.294117647,0.058823529,0.117647059,0,0.723404255,0.212765957,0.042553191,0.021276596,1,0,0,0,0,0.018867925,0.188679245,0.037735849,0.754716981,1,0.01754386,0.771929825,0.105263158,0.105263158
14,0.571428571,0.357142857,0.071428571,0,0,0.70212766,0.212765957,0.085106383,0,0.916666667,0.083333333,0,0,0,0,0.226415094,0.056603774,0.716981132,1,0.01754386,0.754385965,0.122807018,0.105263158
15,0.5,0.357142857,0.071428571,0.071428571,0.022222222,0.733333333,0.222222222,0.022222222,0,0.916666667,0.083333333,0,0,0,0,0.222222222,0.074074074,0.703703704,1,0.052631579,0.771929825,0.105263158,0.070175439
16,0.5,0.357142857,0.071428571,0.071428571,0,0.772727273,0.204545455,0,0.022727273,0.923076923,0,0.076923077,0,0,0,0.236363636,0.090909091,0.672727273,1,0.053571429,0.767857143,0.125,0.053571429
17,0.4,0.466666667,0.066666667,0.066666667,0.023255814,0.744186047,0.23255814,0,0,0.923076923,0,0,0.076923077,0,0.06779661,0.203389831,0.084745763,0.644067797,1,0,0.811320755,0.132075472,0.056603774
18,0.529411765,0.352941176,0.058823529,0.058823529,0,0.727272727,0.227272727,0.022727273,0.022727273,0.833333333,0.083333333,0,0.083333333,0,0.034482759,0.189655172,0.103448276,0.672413793,1,0.037037037,0.777777778,0.148148148,0.037037037
19,0.416666667,0.5,0.083333333,0,0.022222222,0.733333333,0.222222222,0.022222222,0,0.928571429,0,0,0.071428571,0,0.016949153,0.220338983,0.13559322,0.627118644,1,0,0.862745098,0.117647059,0.019607843
20,0.529411765,0.411764706,0.058823529,0,0.043478261,0.695652174,0.217391304,0.043478261,0,0.888888889,0,0,0,0.111111111,0.089285714,0.142857143,0.017857143,0.75,1,0,0.75862069,0.103448276,0.137931034
21,0.615384615,0.307692308,0.038461538,0.038461538,0.041666667,0.645833333,0.208333333,0.104166667,0,1,0,0,0,0,0.180327869,0.016393443,0,0.803278689,1,0,0.74137931,0.120689655,0.137931034
22,0.72,0.2,0.04,0.04,0.019607843,0.666666667,0.196078431,0.098039216,0.019607843,0,0,0,0,0,0.142857143,0,0.063492063,0.793650794,1,0,0.833333333,0.092592593,0.074074074
23,0.678571429,0.214285714,0.035714286,0.071428571,0,0.647058824,0.196078431,0.156862745,0,0,0,0,0,0,0.112903226,0,0.080645161,0.806451613,1,0.018518519,0.796296296,0.12962963,0.055555556
24,0.727272727,0.227272727,0.045454545,0,0.018181818,0.618181818,0.181818182,0.163636364,0.018181818,1,0,0,0,0,0.038461538,0.038461538,0,0.923076923,1,0.016666667,0.75,0.083333333,0.15
25,0.652173913,0.260869565,0.043478261,0.043478261,0.037037037,0.611111111,0.185185185,0.166666667,0,1,0,0,0,0,0.036363636,0.036363636,0.054545455,0.872727273,1,0.01754386,0.789473684,0.087719298,0.105263158
