,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.971830986,0.028169014,0.037735849,0.094339623,0.018867925,0.188679245,0.660377358,1,0.655172414,0.051724138,0.051724138,0.155172414,0.086206897
1,0.932432432,0.067567568,0.019607843,0.803921569,0,0.019607843,0.156862745,1,0.078431373,0,0.31372549,0.588235294,0.019607843
2,0.945205479,0.054794521,0.15,0.566666667,0.016666667,0.016666667,0.25,1,0.078431373,0,0.294117647,0.607843137,0.019607843
3,0.958333333,0.041666667,0.1,0.633333333,0.066666667,0.05,0.15,1,0.038461538,0.019230769,0.211538462,0.711538462,0.019230769
4,0.971830986,0.028169014,0.05,0.683333333,0.116666667,0.05,0.1,1,0.05,0,0,0.783333333,0.166666667
5,0.945205479,0.054794521,0.032258065,0.661290323,0.161290323,0.048387097,0.096774194,1,0.038461538,0.019230769,0.096153846,0.826923077,0.019230769
6,0.958333333,0.041666667,0.014492754,0.579710145,0.260869565,0.014492754,0.130434783,1,0.1,0,0.02,0.88,0
7,0.932432432,0.067567568,0,0.615384615,0.230769231,0.015384615,0.138461538,1,0.037735849,0.056603774,0.056603774,0.849056604,0
8,0.907894737,0.092105263,0,0.609375,0.21875,0,0.171875,1,0.12,0,0.06,0.82,0
9,0.971830986,0.028169014,0.044776119,0.582089552,0.208955224,0.044776119,0.119402985,1,0.076923077,0.019230769,0.038461538,0.846153846,0.019230769
10,0.945205479,0.054794521,0.106060606,0.575757576,0.136363636,0.015151515,0.166666667,1,0.017857143,0,0.053571429,0.821428571,0.107142857
11,0.985714286,0.014285714,0.018181818,0.654545455,0.072727273,0.036363636,0.218181818,1,0.127272727,0.072727273,0.236363636,0.545454545,0.018181818
12,0.958333333,0.041666667,0,0.655172414,0.137931034,0.034482759,0.172413793,1,0.109090909,0.054545455,0.127272727,0.672727273,0.036363636
13,0.985714286,0.014285714,0.016949153,0.661016949,0.13559322,0,0.186440678,1,0.070175439,0.087719298,0.157894737,0.649122807,0.035087719
14,0.985714286,0.014285714,0.03030303,0.606060606,0.212121212,0.03030303,0.121212121,1,0.12,0,0.08,0.8,0
15,0.932432432,0.067567568,0.074626866,0.552238806,0.179104478,0.029850746,0.164179104,1,0,0.036363636,0.054545455,0.854545455,0.054545455
16,0.92,0.08,0.03125,0.625,0.1875,0.046875,0.109375,1,0.038461538,0,0.038461538,0.884615385,0.038461538
17,1,0,0.1,0.633333333,0.066666667,0.066666667,0.133333333,1,0.015873016,0.063492063,0.047619048,0.73015873,0.142857143
18,1,0,0.1,0.616666667,0.066666667,0.1,0.116666667,1,0.092592593,0.018518519,0.12962963,0.703703704,0.055555556
19,0.971830986,0.028169014,0.051724138,0.637931034,0.086206897,0.017241379,0.206896552,1,0.016129032,0.112903226,0.129032258,0.661290323,0.080645161
20,0.985714286,0.014285714,0.104477612,0.552238806,0.149253731,0.089552239,0.104477612,1,0.078431373,0,0.058823529,0.843137255,0.019607843
21,0.971830986,0.028169014,0.078125,0.609375,0.140625,0.0625,0.109375,1,0,0.056603774,0.132075472,0.811320755,0
22,1,0,0.074074074,0.611111111,0,0.074074074,0.240740741,1,0.163636364,0.054545455,0.254545455,0.490909091,0.036363636
