,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.985714286,0.014285714,0.035087719,0.666666667,0.087719298,0.035087719,0.175438596,1,0.111111111,0.037037037,0.203703704,0.611111111,0.037037037
1,0.985714286,0.014285714,0.035087719,0.561403509,0.087719298,0.035087719,0.280701754,1,0.274509804,0,0.235294118,0.470588235,0.019607843
2,0.945205479,0.054794521,0.018867925,0.716981132,0.037735849,0.018867925,0.20754717,1,0.150943396,0,0.226415094,0.566037736,0.056603774
3,0.971830986,0.028169014,0.019607843,0.764705882,0,0.078431373,0.137254902,1,0.070175439,0.052631579,0.210526316,0.596491228,0.070175439
4,0.971830986,0.028169014,0.070175439,0.701754386,0.052631579,0,0.175438596,1,0.034482759,0.051724138,0.172413793,0.655172414,0.086206897
5,0.971830986,0.028169014,0.084745763,0.050847458,0.06779661,0.169491525,0.627118644,1,0.678571429,0.017857143,0.017857143,0.196428571,0.089285714
6,0.958333333,0.041666667,0.078125,0.015625,0.140625,0.140625,0.625,1,0.784313725,0.019607843,0.019607843,0.176470588,0
7,0.945205479,0.054794521,0.018518519,0.074074074,0.055555556,0.203703704,0.648148148,1,0.735849057,0.037735849,0.075471698,0.132075472,0.018867925
8,0.932432432,0.067567568,0.06557377,0.049180328,0.114754098,0.098360656,0.672131148,1,0.660714286,0.017857143,0.017857143,0.214285714,0.089285714
9,0.985714286,0.014285714,0.164179104,0.044776119,0.089552239,0.089552239,0.611940299,1,0.589285714,0.035714286,0.053571429,0.25,0.071428571
10,0.932432432,0.067567568,0.019230769,0.153846154,0.019230769,0.134615385,0.673076923,1,0.607142857,0.035714286,0.125,0.160714286,0.071428571
11,1,0,0.037037037,0.12962963,0.037037037,0.203703704,0.592592593,1,0.696428571,0.017857143,0.035714286,0.160714286,0.089285714
12,1,0,0.056603774,0.169811321,0,0.150943396,0.622641509,1,0.649122807,0,0.087719298,0.140350877,0.122807018
13,0.958333333,0.041666667,0.089285714,0.160714286,0.017857143,0.125,0.607142857,1,0.492063492,0.047619048,0,0.301587302,0.158730159
14,0.971830986,0.028169014,0,0.16,0,0.14,0.7,1,0.65,0.016666667,0.05,0.133333333,0.15
15,0.971830986,0.028169014,0,0.222222222,0.074074074,0.092592593,0.611111111,1,0.603448276,0,0.051724138,0.206896552,0.137931034
16,0.945205479,0.054794521,0.019230769,0.076923077,0.019230769,0.173076923,0.711538462,1,0.694915254,0,0,0.152542373,0.152542373
17,0.971830986,0.028169014,0,0.211538462,0.038461538,0.134615385,0.615384615,1,0.6,0,0.016666667,0.216666667,0.166666667
18,0.958333333,0.041666667,0.018181818,0.054545455,0.072727273,0.072727273,0.781818182,1,0.650793651,0.015873016,0,0.142857143,0.19047619
19,0.958333333,0.041666667,0.049180328,0.049180328,0.131147541,0.081967213,0.68852459,1,0.701754386,0,0,0.175438596,0.122807018
20,0.985714286,0.014285714,0.071428571,0.053571429,0.035714286,0.107142857,0.732142857,1,0.672131148,0,0.016393443,0.131147541,0.180327869
21,0.971830986,0.028169014,0,0.056603774,0.056603774,0.188679245,0.698113208,1,0.672413793,0.086206897,0.068965517,0.120689655,0.051724138
22,1,0,0.089285714,0,0.017857143,0.25,0.642857143,1,0.684210526,0.087719298,0.052631579,0.140350877,0.035087719
23,0.985714286,0.014285714,0.089285714,0.089285714,0.017857143,0.25,0.553571429,1,0.614035088,0.052631579,0.01754386,0.245614035,0.070175439
24,0.945205479,0.054794521,0.068965517,0.034482759,0.068965517,0.172413793,0.655172414,1,0.769230769,0,0.057692308,0.134615385,0.038461538
25,0.958333333,0.041666667,0.084745763,0.033898305,0.06779661,0.237288136,0.576271186,1,0.764705882,0,0.019607843,0.196078431,0.019607843
26,0.945205479,0.054794521,0.018181818,0.090909091,0.072727273,0.2,0.618181818,1,0.769230769,0,0.038461538,0.153846154,0.038461538
27,0.958333333,0.041666667,0.016666667,0.133333333,0.15,0.15,0.55,1,0.745098039,0,0,0.235294118,0.019607843
28,1,0,0.080645161,0.14516129,0.112903226,0.14516129,0.516129032,1,0.68627451,0,0.058823529,0.235294118,0.019607843
29,0.985714286,0.014285714,0.033898305,0.186440678,0.118644068,0.152542373,0.508474576,1,0.7,0,0.08,0.22,0
30,0.971830986,0.028169014,0.150684932,0.01369863,0.164383562,0.095890411,0.575342466,1,0.7,0,0.02,0.28,0
31,0.971830986,0.028169014,0.096774194,0.016129032,0.096774194,0.177419355,0.612903226,1,0.769230769,0.019230769,0.019230769,0.173076923,0.019230769
32,0.985714286,0.014285714,0,0.033333333,0.166666667,0.016666667,0.783333333,1,0.590909091,0.106060606,0,0.166666667,0.136363636
33,0.958333333,0.041666667,0.080645161,0.64516129,0.112903226,0,0.161290323,1,0.019230769,0,0.211538462,0.730769231,0.038461538
34,0.971830986,0.028169014,0.084745763,0.694915254,0.06779661,0,0.152542373,1,0.019607843,0.019607843,0.294117647,0.666666667,0
35,0.958333333,0.041666667,0.050847458,0.677966102,0.101694915,0.050847458,0.118644068,1,0.056603774,0.037735849,0.150943396,0.735849057,0.018867925
36,0.907894737,0.092105263,0,0.709090909,0.090909091,0.072727273,0.127272727,1,0.098039216,0,0.156862745,0.725490196,0.019607843
37,0.971830986,0.028169014,0.053571429,0.714285714,0.053571429,0.053571429,0.125,1,0.072727273,0,0.163636364,0.672727273,0.090909091
38,0.971830986,0.028169014,0.06779661,0.593220339,0.084745763,0.118644068,0.13559322,1,0.113207547,0.037735849,0.132075472,0.698113208,0.018867925
39,1,0,0.089285714,0.053571429,0.017857143,0.25,0.589285714,1,0.727272727,0.018181818,0.018181818,0.163636364,0.072727273
40,1,0,0.086206897,0.068965517,0.051724138,0.103448276,0.689655172,1,0.666666667,0.035087719,0.105263158,0.105263158,0.087719298
41,1,0,0.095238095,0.19047619,0.111111111,0.174603175,0.428571429,1,0.607843137,0,0.019607843,0.352941176,0.019607843
42,1,0,0,0.192982456,0.122807018,0.070175439,0.614035088,1,0.551724138,0.103448276,0.120689655,0.189655172,0.034482759
43,0.985714286,0.014285714,0,0.133333333,0.166666667,0.05,0.65,1,0.660714286,0.053571429,0.071428571,0.160714286,0.053571429
44,0.945205479,0.054794521,0,0.087719298,0.122807018,0.070175439,0.719298246,1,0.689655172,0.017241379,0.017241379,0.155172414,0.120689655
45,0.907894737,0.092105263,0,0,0.166666667,0.05,0.783333333,1,0.677966102,0.06779661,0,0.169491525,0.084745763
46,1,0,0,0.052631579,0.122807018,0.105263158,0.719298246,1,0.655737705,0.098360656,0.032786885,0.131147541,0.081967213
47,1,0,0.017241379,0.103448276,0.120689655,0.051724138,0.706896552,1,0.706896552,0.017241379,0.051724138,0.103448276,0.120689655
48,0.971830986,0.028169014,0.079365079,0.603174603,0.126984127,0.015873016,0.174603175,1,0.053571429,0.017857143,0.107142857,0.732142857,0.089285714
49,0.985714286,0.014285714,0.046875,0.1875,0.171875,0.046875,0.546875,1,0.459016393,0.098360656,0,0.360655738,0.081967213
50,1,0,0.044117647,0.308823529,0.220588235,0.014705882,0.411764706,1,0.305084746,0.118644068,0.033898305,0.508474576,0.033898305
51,0.985714286,0.014285714,0,0.745098039,0.019607843,0.058823529,0.176470588,1,0.152542373,0.016949153,0.13559322,0.559322034,0.13559322
52,0.971830986,0.028169014,0.033333333,0.616666667,0.133333333,0.05,0.166666667,1,0.150943396,0,0.113207547,0.679245283,0.056603774
53,0.971830986,0.028169014,0.035087719,0.684210526,0.087719298,0.052631579,0.140350877,1,0.090909091,0.018181818,0.145454545,0.672727273,0.072727273
54,0.932432432,0.067567568,0.019607843,0.666666667,0,0.098039216,0.215686275,1,0.127272727,0.072727273,0.218181818,0.563636364,0.018181818
55,0.932432432,0.067567568,0.01754386,0.719298246,0.105263158,0.01754386,0.140350877,1,0.056603774,0.018867925,0.169811321,0.716981132,0.037735849
56,0.896103896,0.103896104,0,0.690909091,0.090909091,0.072727273,0.145454545,1,0,0.070175439,0.122807018,0.754385965,0.052631579
57,0.907894737,0.092105263,0.035087719,0.666666667,0.087719298,0.035087719,0.175438596,1,0.036363636,0,0.145454545,0.727272727,0.090909091
58,0.945205479,0.054794521,0.016666667,0.65,0.15,0.016666667,0.166666667,1,0.034482759,0.051724138,0.086206897,0.74137931,0.086206897
59,0.945205479,0.054794521,0.046153846,0.492307692,0.184615385,0.076923077,0.2,1,0.087719298,0.087719298,0.01754386,0.771929825,0.035087719
60,0.945205479,0.054794521,0.034482759,0.637931034,0.103448276,0.086206897,0.137931034,1,0,0.107142857,0.160714286,0.732142857,0
61,0.958333333,0.041666667,0.018181818,0.745454545,0.072727273,0.036363636,0.127272727,1,0.036363636,0.036363636,0.2,0.672727273,0.054545455
62,1,0,0.015625,0.578125,0.203125,0.03125,0.171875,1,0.148148148,0.055555556,0.074074074,0.703703704,0.018518519
63,0.932432432,0.067567568,0.033898305,0.593220339,0.118644068,0.016949153,0.237288136,1,0.087719298,0.052631579,0.122807018,0.666666667,0.070175439
64,0.945205479,0.054794521,0.034482759,0.655172414,0.103448276,0.103448276,0.103448276,1,0.113207547,0,0.075471698,0.754716981,0.056603774
65,0.971830986,0.028169014,0.087719298,0.50877193,0.035087719,0.157894737,0.210526316,1,0.240740741,0,0.092592593,0.592592593,0.074074074
66,0.971830986,0.028169014,0.033898305,0.576271186,0.118644068,0.050847458,0.220338983,1,0.163636364,0.036363636,0.127272727,0.618181818,0.054545455
67,0.971830986,0.028169014,0.037037037,0.055555556,0.037037037,0.240740741,0.62962963,1,0.616666667,0.116666667,0,0.216666667,0.05
68,0.92,0.08,0.055555556,0,0.018518519,0.185185185,0.740740741,1,0.696428571,0.017857143,0.071428571,0.125,0.089285714
69,0.958333333,0.041666667,0.072727273,0.036363636,0.018181818,0.290909091,0.581818182,1,0.716981132,0.037735849,0.037735849,0.188679245,0.018867925
70,0.945205479,0.054794521,0,0.173076923,0.038461538,0.269230769,0.519230769,1,0.618181818,0.054545455,0.018181818,0.272727273,0.036363636
71,0.971830986,0.028169014,0,0.156862745,0.019607843,0.31372549,0.509803922,1,0.703703704,0.037037037,0,0.222222222,0.037037037
72,0.945205479,0.054794521,0.036363636,0.018181818,0.054545455,0.254545455,0.636363636,1,0.740740741,0.055555556,0.018518519,0.166666667,0.018518519
73,0.985714286,0.014285714,0.140625,0.578125,0.078125,0.03125,0.171875,1,0.018867925,0.018867925,0.20754717,0.716981132,0.037735849
