,"('S', ('VP',))","('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('VP', ('NP', 'VP'))","('VP', ('NP', 'V'))","('VP', ('V', 'NP'))","('NP', 'np')","('NP', ('NP', 'NP'))","('V', 'v')"
73,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
74,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
75,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
76,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
77,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
78,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
79,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
80,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
81,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
82,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
83,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
84,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
85,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
86,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
87,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
88,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
89,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
90,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
91,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
