,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
659,0.916666667,0.083333333,0.018867925,0.169811321,0.037735849,0.018867925,0.754716981,1,0.036363636,0.072727273,0,0.872727273,0.018181818
660,1,0,0,0.12,0,0.02,0.86,1,0.215686275,0.019607843,0.058823529,0.705882353,0
661,0.916666667,0.083333333,0,0.288461538,0.038461538,0.019230769,0.653846154,1,0.019607843,0,0,0.960784314,0.019607843
662,1,0,0.019230769,0.211538462,0.019230769,0,0.75,1,0.076923077,0.038461538,0.057692308,0.826923077,0
663,0.88,0.12,0.071428571,0.035714286,0.035714286,0.017857143,0.839285714,1,0.153846154,0.019230769,0,0.807692308,0.019230769
664,1,0,0.177419355,0,0.016129032,0.032258065,0.774193548,1,0.115384615,0.019230769,0,0.846153846,0.019230769
665,1,0,0.019607843,0.137254902,0,0,0.843137255,1,0.016393443,0.147540984,0.032786885,0.770491803,0.032786885
666,1,0,0.038461538,0.076923077,0,0.076923077,0.807692308,1,0.033333333,0.166666667,0,0.8,0
667,1,0,0.152542373,0.016949153,0,0.06779661,0.762711864,1,0.074074074,0.074074074,0,0.851851852,0
668,0.956521739,0.043478261,0.054545455,0.072727273,0.036363636,0.018181818,0.818181818,1,0.12962963,0.055555556,0,0.796296296,0.018518519
669,1,0,0.161290323,0,0.032258065,0.016129032,0.790322581,1,0.035714286,0.107142857,0.017857143,0.839285714,0
670,1,0,0.038461538,0.192307692,0,0.057692308,0.711538462,1,0.018181818,0.090909091,0.018181818,0.872727273,0
671,1,0,0.090909091,0.018181818,0,0.072727273,0.818181818,1,0.127272727,0.090909091,0,0.781818182,0
672,0.916666667,0.083333333,0.122807018,0.122807018,0,0,0.754385965,1,0.019607843,0.019607843,0.078431373,0.882352941,0
673,0.916666667,0.083333333,0.038461538,0.173076923,0,0.038461538,0.75,1,0.076923077,0.019230769,0.019230769,0.865384615,0.019230769
674,1,0,0.122807018,0.105263158,0,0.070175439,0.701754386,1,0.1,0,0,0.9,0
675,0.916666667,0.083333333,0.089285714,0.178571429,0.017857143,0,0.714285714,1,0,0.018518519,0,0.925925926,0.055555556
676,0.916666667,0.083333333,0,0.113207547,0.056603774,0.018867925,0.811320755,1,0.176470588,0.019607843,0,0.803921569,0
677,0.956521739,0.043478261,0.055555556,0.037037037,0.018518519,0.055555556,0.833333333,1,0.127272727,0.090909091,0,0.781818182,0
678,1,0,0.090909091,0.036363636,0,0.036363636,0.836363636,1,0.192307692,0.019230769,0.019230769,0.75,0.019230769
679,0.956521739,0.043478261,0,0.22,0,0,0.78,1,0.094339623,0.018867925,0.037735849,0.811320755,0.037735849
