,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.956521739,0.043478261,0.056603774,0,0,0.056603774,0.886792453,1,0.163636364,0.090909091,0.018181818,0.727272727,0
1,0.916666667,0.083333333,0.019230769,0.038461538,0.019230769,0,0.923076923,1,0.181818182,0.054545455,0.018181818,0.709090909,0.036363636
2,0.916666667,0.083333333,0.056603774,0.037735849,0,0.056603774,0.849056604,1,0.107142857,0.089285714,0,0.785714286,0.017857143
3,1,0,0.089285714,0,0.017857143,0.017857143,0.875,1,0.105263158,0.122807018,0.035087719,0.736842105,0
4,1,0,0,0.02,0,0.02,0.96,1,0.076923077,0.184615385,0,0.692307692,0.046153846
5,1,0,0.037735849,0.056603774,0.018867925,0.018867925,0.867924528,1,0.048387097,0.161290323,0,0.758064516,0.032258065
6,1,0,0,0.235294118,0.019607843,0.039215686,0.705882353,1,0.055555556,0.055555556,0,0.87037037,0.018518519
7,0.916666667,0.083333333,0.019230769,0.269230769,0.019230769,0.019230769,0.673076923,1,0.019607843,0,0.019607843,0.941176471,0.019607843
8,1,0,0.019230769,0.269230769,0.019230769,0,0.692307692,1,0.057692308,0,0.019230769,0.884615385,0.038461538
9,0.956521739,0.043478261,0,0.24,0,0,0.76,1,0.092592593,0,0,0.833333333,0.074074074
10,0.956521739,0.043478261,0.038461538,0.153846154,0,0.057692308,0.75,1,0.075471698,0.056603774,0.018867925,0.849056604,0
11,1,0,0.018867925,0.188679245,0.037735849,0.018867925,0.735849057,1,0.096153846,0.038461538,0.019230769,0.846153846,0
12,0.956521739,0.043478261,0.038461538,0.173076923,0,0.019230769,0.769230769,1,0.053571429,0.053571429,0,0.839285714,0.053571429
13,0.956521739,0.043478261,0,0.115384615,0.038461538,0,0.846153846,1,0.211538462,0,0,0.75,0.038461538
14,1,0,0,0.039215686,0.019607843,0.058823529,0.882352941,1,0.245283019,0.056603774,0,0.698113208,0
15,1,0,0,0.115384615,0.038461538,0.038461538,0.807692308,1,0.169811321,0.056603774,0,0.773584906,0
16,0.956521739,0.043478261,0.037735849,0.188679245,0.018867925,0.018867925,0.735849057,1,0.1,0,0.04,0.86,0
17,1,0,0.037735849,0.113207547,0.018867925,0.037735849,0.79245283,1,0.150943396,0.037735849,0,0.79245283,0.018867925
18,0.956521739,0.043478261,0.105263158,0.087719298,0.01754386,0.052631579,0.736842105,1,0.12,0,0,0.88,0
