,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,1,0,0.019607843,0.156862745,0,0.235294118,0.588235294,1,0.580645161,0.064516129,0,0.225806452,0.129032258
1,0.971830986,0.028169014,0.122807018,0.456140351,0,0,0.421052632,1,0.277777778,0,0.277777778,0.37037037,0.074074074
2,0.985714286,0.014285714,0.084745763,0.406779661,0.06779661,0,0.440677966,1,0.283333333,0.05,0.133333333,0.416666667,0.116666667
3,0.985714286,0.014285714,0.019607843,0.568627451,0,0.117647059,0.294117647,1,0.237288136,0.06779661,0.152542373,0.457627119,0.084745763
4,0.971830986,0.028169014,0,0.78,0,0,0.22,1,0.080645161,0.048387097,0.177419355,0.548387097,0.14516129
5,0.985714286,0.014285714,0.017857143,0.678571429,0.089285714,0.053571429,0.160714286,1,0.031746032,0.111111111,0.095238095,0.666666667,0.095238095
6,0.985714286,0.014285714,0.017241379,0.206896552,0.120689655,0.206896552,0.448275862,1,0.622641509,0.056603774,0,0.320754717,0
7,0.985714286,0.014285714,0.018518519,0.222222222,0.055555556,0.148148148,0.555555556,1,0.636363636,0,0.072727273,0.2,0.090909091
8,0.985714286,0.014285714,0,0.153846154,0.038461538,0.269230769,0.538461538,1,0.593220339,0.084745763,0,0.254237288,0.06779661
9,0.958333333,0.041666667,0,0.058823529,0.019607843,0.294117647,0.62745098,1,0.745454545,0.054545455,0.018181818,0.145454545,0.036363636
10,1,0,0.018867925,0.018867925,0.037735849,0.301886792,0.622641509,1,0.62295082,0.147540984,0,0.196721311,0.032786885
11,0.932432432,0.067567568,0,0.107142857,0.107142857,0.035714286,0.75,1,0.672413793,0.017241379,0.051724138,0.137931034,0.120689655
12,0.945205479,0.054794521,0.038461538,0.076923077,0,0.211538462,0.673076923,1,0.666666667,0.035087719,0.052631579,0.157894737,0.087719298
13,0.958333333,0.041666667,0,0.052631579,0.122807018,0.122807018,0.701754386,1,0.672413793,0.086206897,0.034482759,0.155172414,0.051724138
14,1,0,0.028985507,0.072463768,0.246376812,0,0.652173913,1,0.637931034,0.086206897,0,0.224137931,0.051724138
15,0.985714286,0.014285714,0.095238095,0.031746032,0.111111111,0.063492063,0.698412698,1,0.616666667,0.05,0.033333333,0.183333333,0.116666667
16,0.958333333,0.041666667,0.015873016,0.079365079,0.19047619,0.079365079,0.634920635,1,0.722222222,0.018518519,0,0.203703704,0.055555556
17,0.985714286,0.014285714,0,0.039215686,0.019607843,0.196078431,0.745098039,1,0.625,0.09375,0.015625,0.140625,0.125
18,0.958333333,0.041666667,0,0.039215686,0.019607843,0.254901961,0.68627451,1,0.701754386,0.087719298,0.052631579,0.122807018,0.035087719
