,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.945205479,0.054794521,0,0.692307692,0.038461538,0.076923077,0.192307692,1,0.137931034,0.017241379,0.120689655,0.603448276,0.120689655
1,0.945205479,0.054794521,0.090909091,0.072727273,0,0.290909091,0.545454545,1,0.660377358,0.056603774,0.037735849,0.245283019,0
2,0.971830986,0.028169014,0.086206897,0,0.051724138,0.224137931,0.637931034,1,0.773584906,0.037735849,0.037735849,0.132075472,0.018867925
3,0.932432432,0.067567568,0,0.08,0,0.16,0.76,1,0.606557377,0.081967213,0.06557377,0.147540984,0.098360656
4,0.971830986,0.028169014,0,0.055555556,0.074074074,0.203703704,0.666666667,1,0.701754386,0.105263158,0.035087719,0.140350877,0.01754386
5,0.971830986,0.028169014,0.101694915,0,0.050847458,0.169491525,0.677966102,1,0.661016949,0.033898305,0,0.186440678,0.118644068
6,0.958333333,0.041666667,0.056603774,0.056603774,0,0.150943396,0.735849057,1,0.65,0.016666667,0.05,0.133333333,0.15
7,0.971830986,0.028169014,0.074074074,0.055555556,0,0.148148148,0.722222222,1,0.546875,0.078125,0.046875,0.1875,0.140625
8,0.958333333,0.041666667,0,0,0.206349206,0.111111111,0.682539683,1,0.714285714,0.107142857,0,0.178571429,0
9,0.958333333,0.041666667,0.033333333,0.033333333,0.133333333,0.1,0.7,1,0.732142857,0.035714286,0.017857143,0.142857143,0.071428571
10,0.971830986,0.028169014,0,0.056603774,0.056603774,0.264150943,0.622641509,1,0.745454545,0.072727273,0.018181818,0.145454545,0.018181818
11,0.985714286,0.014285714,0.018181818,0.054545455,0.072727273,0.236363636,0.618181818,1,0.649122807,0.122807018,0.052631579,0.175438596,0
12,0.971830986,0.028169014,0,0.092592593,0.074074074,0.185185185,0.648148148,1,0.678571429,0.071428571,0.071428571,0.142857143,0.035714286
13,0.932432432,0.067567568,0,0.16,0,0.24,0.6,1,0.678571429,0,0,0.214285714,0.107142857
14,0.971830986,0.028169014,0,0.333333333,0.019607843,0.078431373,0.568627451,1,0.46031746,0.015873016,0.047619048,0.285714286,0.19047619
15,1,0,0.035714286,0.071428571,0.071428571,0.142857143,0.678571429,1,0.578125,0.09375,0,0.203125,0.125
16,0.958333333,0.041666667,0,0.078431373,0.019607843,0.156862745,0.745098039,1,0.545454545,0.106060606,0.015151515,0.196969697,0.136363636
17,1,0,0.055555556,0.092592593,0.018518519,0.055555556,0.777777778,1,0.553846154,0.076923077,0.092307692,0.123076923,0.153846154
18,0.985714286,0.014285714,0.05,0.016666667,0.116666667,0.016666667,0.8,1,0.625,0.0625,0.03125,0.125,0.15625
19,0.971830986,0.028169014,0.014925373,0.074626866,0.23880597,0,0.671641791,1,0.649122807,0.070175439,0.01754386,0.210526316,0.052631579
20,0.985714286,0.014285714,0.029850746,0.044776119,0.223880597,0.059701493,0.641791045,1,0.754716981,0.056603774,0.018867925,0.169811321,0
21,0.971830986,0.028169014,0.030769231,0.030769231,0.2,0.061538462,0.676923077,1,0.727272727,0.054545455,0.018181818,0.163636364,0.036363636
22,0.945205479,0.054794521,0.051724138,0.155172414,0.086206897,0,0.706896552,1,0.524590164,0.032786885,0.081967213,0.213114754,0.147540984
23,0.932432432,0.067567568,0.016666667,0.016666667,0.15,0.1,0.716666667,1,0.727272727,0.054545455,0.036363636,0.145454545,0.036363636
24,0.932432432,0.067567568,0,0,0.180327869,0.081967213,0.737704918,1,0.666666667,0.122807018,0.052631579,0.157894737,0
25,1,0,0.072727273,0.054545455,0.018181818,0.181818182,0.672727273,1,0.644067797,0.06779661,0.06779661,0.13559322,0.084745763
26,0.958333333,0.041666667,0.037735849,0.132075472,0.018867925,0.094339623,0.716981132,1,0.553846154,0.030769231,0,0.215384615,0.2
27,0.971830986,0.028169014,0.038461538,0.096153846,0,0.057692308,0.807692308,1,0.597014925,0,0,0.149253731,0.253731343
28,1,0,0.089285714,0.035714286,0.017857143,0.089285714,0.767857143,1,0.650793651,0.015873016,0.031746032,0.111111111,0.19047619
29,0.985714286,0.014285714,0.15,0.016666667,0.016666667,0.066666667,0.75,1,0.59375,0,0.015625,0.171875,0.21875
30,1,0,0.054545455,0,0.036363636,0.127272727,0.781818182,1,0.621212121,0.075757576,0,0.136363636,0.166666667
31,1,0,0.016393443,0,0.163934426,0.06557377,0.754098361,1,0.672131148,0.114754098,0.032786885,0.114754098,0.06557377
32,0.958333333,0.041666667,0.016949153,0.118644068,0.13559322,0.06779661,0.661016949,1,0.6,0.033333333,0,0.233333333,0.133333333
33,0.958333333,0.041666667,0.035714286,0.017857143,0.071428571,0.071428571,0.803571429,1,0.661290323,0.048387097,0.032258065,0.112903226,0.14516129
34,0.971830986,0.028169014,0.019607843,0.176470588,0,0.31372549,0.490196078,1,0.607142857,0.089285714,0.017857143,0.267857143,0.017857143
35,0.958333333,0.041666667,0.125,0.484375,0.09375,0.046875,0.25,1,0,0.137931034,0.172413793,0.689655172,0
36,0.971830986,0.028169014,0.051724138,0.655172414,0.086206897,0.034482759,0.172413793,1,0,0.107142857,0.232142857,0.660714286,0
37,0.92,0.08,0.086206897,0.637931034,0.051724138,0.068965517,0.155172414,1,0.019607843,0.019607843,0.235294118,0.725490196,0
38,0.945205479,0.054794521,0,0.692307692,0.038461538,0.019230769,0.25,1,0.160714286,0.035714286,0.196428571,0.535714286,0.071428571
39,0.945205479,0.054794521,0.056603774,0.660377358,0,0.056603774,0.226415094,1,0.111111111,0.015873016,0.063492063,0.619047619,0.19047619
40,0.958333333,0.041666667,0.037037037,0.092592593,0.037037037,0.203703704,0.62962963,1,0.709090909,0,0.036363636,0.163636364,0.090909091
41,0.945205479,0.054794521,0.050847458,0,0.101694915,0.118644068,0.728813559,1,0.548387097,0.14516129,0.048387097,0.209677419,0.048387097
42,0.932432432,0.067567568,0.01754386,0.157894737,0.105263158,0.105263158,0.614035088,1,0.559322034,0.033898305,0,0.288135593,0.118644068
43,0.985714286,0.014285714,0.037037037,0.055555556,0.037037037,0.166666667,0.703703704,1,0.553846154,0.107692308,0.015384615,0.2,0.123076923
44,0.971830986,0.028169014,0.072727273,0.054545455,0.018181818,0.290909091,0.563636364,1,0.754716981,0.018867925,0,0.188679245,0.037735849
45,0.958333333,0.041666667,0,0.173076923,0.038461538,0.307692308,0.480769231,1,0.679245283,0.037735849,0,0.264150943,0.018867925
46,0.945205479,0.054794521,0.089285714,0,0.017857143,0.196428571,0.696428571,1,0.701754386,0.01754386,0.01754386,0.157894737,0.105263158
47,0.896103896,0.103896104,0.018867925,0.037735849,0.037735849,0.075471698,0.830188679,1,0.64516129,0,0,0.161290323,0.193548387
48,0.896103896,0.103896104,0,0.019230769,0.038461538,0.230769231,0.711538462,1,0.745454545,0,0,0.163636364,0.090909091
49,0.958333333,0.041666667,0.019607843,0.039215686,0,0.235294118,0.705882353,1,0.666666667,0.066666667,0.016666667,0.15,0.1
50,0.971830986,0.028169014,0.052631579,0.649122807,0.070175439,0.01754386,0.210526316,1,0.015873016,0.095238095,0.126984127,0.650793651,0.111111111
51,0.958333333,0.041666667,0.06779661,0.033898305,0.084745763,0.152542373,0.661016949,1,0.754716981,0,0.056603774,0.132075472,0.056603774
52,0.92,0.08,0.037735849,0.018867925,0.018867925,0.20754717,0.716981132,1,0.719298246,0,0,0.157894737,0.122807018
53,0.985714286,0.014285714,0.018181818,0.072727273,0.072727273,0.218181818,0.618181818,1,0.714285714,0.053571429,0.017857143,0.160714286,0.053571429
54,1,0,0.033333333,0.166666667,0.133333333,0.116666667,0.55,1,0.672727273,0,0,0.236363636,0.090909091
55,1,0,0.036363636,0.163636364,0.054545455,0.090909091,0.654545455,1,0.571428571,0.031746032,0.015873016,0.206349206,0.174603175
56,1,0,0.072727273,0.109090909,0.018181818,0.072727273,0.727272727,1,0.639344262,0,0.06557377,0.114754098,0.180327869
57,1,0,0.032258065,0.161290323,0.161290323,0.096774194,0.548387097,1,0.578947368,0.070175439,0.01754386,0.280701754,0.052631579
58,0.971830986,0.028169014,0.166666667,0,0,0.033333333,0.8,1,0.537313433,0.029850746,0.029850746,0.179104478,0.223880597
59,0.92,0.08,0.074074074,0.018518519,0,0.092592593,0.814814815,1,0.639344262,0,0.049180328,0.131147541,0.180327869
60,0.958333333,0.041666667,0.033898305,0.694915254,0.118644068,0,0.152542373,1,0.033333333,0.016666667,0.066666667,0.733333333,0.15
61,1,0,0.13559322,0.677966102,0.016949153,0.016949153,0.152542373,1,0,0.016949153,0.169491525,0.677966102,0.13559322
62,1,0,0,0.672413793,0.137931034,0.017241379,0.172413793,1,0.052631579,0.122807018,0.192982456,0.631578947,0
63,1,0,0.017241379,0.706896552,0.120689655,0.034482759,0.120689655,1,0,0.122807018,0.192982456,0.684210526,0
64,1,0,0.01754386,0.578947368,0.105263158,0.01754386,0.280701754,1,0.015625,0.21875,0.203125,0.5625,0
65,0.985714286,0.014285714,0.01754386,0.596491228,0.105263158,0.01754386,0.263157895,1,0.125,0.107142857,0.232142857,0.535714286,0
66,0.985714286,0.014285714,0.016129032,0.612903226,0.177419355,0,0.193548387,1,0.087719298,0.070175439,0.105263158,0.684210526,0.052631579
67,0.945205479,0.054794521,0,0.692307692,0.038461538,0.115384615,0.153846154,1,0.148148148,0.037037037,0.166666667,0.611111111,0.037037037
68,1,0,0,0.68627451,0.019607843,0.078431373,0.215686275,1,0.107692308,0.107692308,0.107692308,0.553846154,0.123076923
69,0.985714286,0.014285714,0,0.714285714,0.107142857,0,0.178571429,1,0.032786885,0.098360656,0.147540984,0.639344262,0.081967213
70,0.985714286,0.014285714,0.05,0.533333333,0.116666667,0.083333333,0.216666667,1,0.080645161,0.129032258,0.064516129,0.661290323,0.064516129
71,0.958333333,0.041666667,0.15942029,0.043478261,0.115942029,0.072463768,0.608695652,1,0.6,0.036363636,0.018181818,0.290909091,0.054545455
72,0.92,0.08,0.032786885,0.032786885,0.147540984,0.081967213,0.704918033,1,0.716981132,0.056603774,0.075471698,0.150943396,0
73,0.971830986,0.028169014,0,0.118644068,0.152542373,0.186440678,0.542372881,1,0.730769231,0.038461538,0,0.230769231,0
74,0.971830986,0.028169014,0,0.103448276,0.137931034,0.155172414,0.603448276,1,0.754716981,0.037735849,0.018867925,0.169811321,0.018867925
75,0.958333333,0.041666667,0.052631579,0.087719298,0.070175439,0.245614035,0.543859649,1,0.764705882,0,0,0.215686275,0.019607843
76,0.907894737,0.092105263,0,0.037735849,0.056603774,0.264150943,0.641509434,1,0.803921569,0.019607843,0.019607843,0.156862745,0
77,0.92,0.08,0.054545455,0.054545455,0.036363636,0.272727273,0.581818182,1,0.764705882,0,0,0.215686275,0.019607843
78,0.971830986,0.028169014,0.096774194,0.596774194,0.096774194,0,0.209677419,1,0,0.060606061,0.03030303,0.727272727,0.181818182
79,1,0,0.018867925,0.754716981,0.037735849,0,0.188679245,1,0.063492063,0.063492063,0.142857143,0.587301587,0.142857143
80,0.971830986,0.028169014,0,0.709090909,0.090909091,0.036363636,0.163636364,1,0.015151515,0.106060606,0.060606061,0.681818182,0.136363636
81,0.985714286,0.014285714,0,0.716981132,0.056603774,0.056603774,0.169811321,1,0.079365079,0.079365079,0.095238095,0.619047619,0.126984127
82,0.945205479,0.054794521,0.034482759,0.637931034,0.103448276,0.051724138,0.172413793,1,0.016666667,0.1,0.1,0.716666667,0.066666667
83,0.958333333,0.041666667,0.049180328,0.655737705,0.131147541,0.016393443,0.147540984,1,0,0.071428571,0.142857143,0.75,0.035714286
84,0.971830986,0.028169014,0.051724138,0.689655172,0.086206897,0,0.172413793,1,0.016393443,0.06557377,0.114754098,0.68852459,0.114754098
85,0.985714286,0.014285714,0.117647059,0.529411765,0.147058824,0.073529412,0.132352941,1,0.056603774,0.018867925,0.056603774,0.830188679,0.037735849
86,0.907894737,0.092105263,0.066666667,0.583333333,0.1,0.116666667,0.133333333,1,0.094339623,0,0.037735849,0.811320755,0.056603774
87,0.932432432,0.067567568,0.074074074,0.759259259,0,0.018518519,0.148148148,1,0,0.018181818,0.236363636,0.672727273,0.072727273
88,1,0,0.086206897,0.672413793,0.051724138,0.051724138,0.137931034,1,0.01754386,0.070175439,0.192982456,0.666666667,0.052631579
89,0.92,0.08,0.035087719,0.719298246,0.087719298,0.052631579,0.105263158,1,0,0.018518519,0.148148148,0.777777778,0.055555556
90,0.971830986,0.028169014,0.125,0.53125,0.09375,0.09375,0.15625,1,0.070175439,0.01754386,0.035087719,0.771929825,0.105263158
91,0.945205479,0.054794521,0.066666667,0.666666667,0.1,0,0.166666667,1,0.034482759,0,0.086206897,0.74137931,0.137931034
92,0.958333333,0.041666667,0.06779661,0.694915254,0.084745763,0.033898305,0.118644068,1,0,0.016129032,0.032258065,0.774193548,0.177419355
93,0.985714286,0.014285714,0.064516129,0.629032258,0.129032258,0.016129032,0.161290323,1,0.06557377,0.016393443,0.016393443,0.737704918,0.163934426
94,0.971830986,0.028169014,0.016393443,0.655737705,0.163934426,0,0.163934426,1,0.101694915,0,0.016949153,0.728813559,0.152542373
95,0.932432432,0.067567568,0.050847458,0.694915254,0.101694915,0,0.152542373,1,0,0.015873016,0.015873016,0.777777778,0.19047619
96,0.945205479,0.054794521,0.098360656,0.590163934,0.081967213,0,0.229508197,1,0,0.064516129,0.096774194,0.709677419,0.129032258
97,0.932432432,0.067567568,0,0.62745098,0.019607843,0.078431373,0.274509804,1,0.188679245,0.056603774,0.264150943,0.490566038,0
98,1,0,0,0.666666667,0.074074074,0.074074074,0.185185185,1,0.048387097,0.161290323,0.161290323,0.596774194,0.032258065
99,0.971830986,0.028169014,0.017857143,0.714285714,0.089285714,0.035714286,0.142857143,1,0.034482759,0.068965517,0.155172414,0.672413793,0.068965517
100,1,0,0.038461538,0.134615385,0,0.173076923,0.653846154,1,0.603448276,0.086206897,0.137931034,0.120689655,0.051724138
101,0.945205479,0.054794521,0,0.740740741,0.074074074,0,0.185185185,1,0.070175439,0.035087719,0.175438596,0.631578947,0.087719298
102,0.932432432,0.067567568,0,0.82,0,0,0.18,1,0.016666667,0.05,0.2,0.616666667,0.116666667
103,0.945205479,0.054794521,0.019230769,0.730769231,0.019230769,0.019230769,0.211538462,1,0.148148148,0,0.222222222,0.555555556,0.074074074
104,0.985714286,0.014285714,0.018181818,0.690909091,0.072727273,0,0.218181818,1,0.084745763,0.06779661,0.186440678,0.576271186,0.084745763
105,0.971830986,0.028169014,0.049180328,0.557377049,0.131147541,0.131147541,0.131147541,1,0.103448276,0.068965517,0,0.75862069,0.068965517
106,0.971830986,0.028169014,0.031746032,0.619047619,0.174603175,0.063492063,0.111111111,1,0.113207547,0,0.037735849,0.79245283,0.056603774
107,0.945205479,0.054794521,0.016393443,0.639344262,0.163934426,0.032786885,0.147540984,1,0.074074074,0.018518519,0.092592593,0.759259259,0.055555556
108,0.932432432,0.067567568,0.016949153,0.644067797,0.13559322,0.050847458,0.152542373,1,0.018518519,0.074074074,0.166666667,0.740740741,0
109,0.92,0.08,0.016949153,0.694915254,0.13559322,0,0.152542373,1,0.018867925,0.037735849,0.169811321,0.754716981,0.018867925
110,0.932432432,0.067567568,0,0.644067797,0.152542373,0.050847458,0.152542373,1,0.035714286,0.089285714,0.107142857,0.75,0.017857143
111,0.958333333,0.041666667,0.049180328,0.639344262,0.131147541,0.049180328,0.131147541,1,0.057692308,0.019230769,0.153846154,0.75,0.019230769
112,0.985714286,0.014285714,0.047619048,0.587301587,0.158730159,0.031746032,0.174603175,1,0.016949153,0.118644068,0.101694915,0.728813559,0.033898305
113,0.971830986,0.028169014,0.019607843,0.784313725,0,0.058823529,0.137254902,1,0.05,0.066666667,0.166666667,0.616666667,0.1
114,0.945205479,0.054794521,0.019230769,0.711538462,0.019230769,0.038461538,0.211538462,1,0.098360656,0.049180328,0.114754098,0.606557377,0.131147541
115,0.971830986,0.028169014,0.032786885,0.639344262,0.147540984,0,0.180327869,1,0.107142857,0,0.089285714,0.696428571,0.107142857
116,0.985714286,0.014285714,0.076923077,0.584615385,0.153846154,0.015384615,0.169230769,1,0.068965517,0.017241379,0.034482759,0.75862069,0.120689655
117,0.985714286,0.014285714,0.114754098,0.573770492,0.06557377,0.032786885,0.213114754,1,0,0.092307692,0.076923077,0.692307692,0.138461538
118,0.985714286,0.014285714,0.129032258,0.612903226,0.064516129,0.032258065,0.161290323,1,0.016666667,0.033333333,0.083333333,0.733333333,0.133333333
119,1,0,0.017241379,0.655172414,0.120689655,0.051724138,0.155172414,1,0.140350877,0.035087719,0.087719298,0.649122807,0.087719298
120,0.985714286,0.014285714,0.035714286,0.589285714,0.071428571,0.017857143,0.285714286,1,0.203125,0,0.015625,0.5625,0.21875
121,0.958333333,0.041666667,0.107692308,0.569230769,0.123076923,0.046153846,0.153846154,1,0.074074074,0,0.055555556,0.796296296,0.074074074
122,1,0,0.119402985,0.567164179,0.134328358,0.029850746,0.149253731,1,0,0.056603774,0.169811321,0.773584906,0
123,1,0,0.049180328,0.655737705,0.131147541,0.032786885,0.131147541,1,0.036363636,0.072727273,0.163636364,0.709090909,0.018181818
124,0.971830986,0.028169014,0.037037037,0.703703704,0.037037037,0.055555556,0.166666667,1,0.092592593,0.055555556,0.240740741,0.592592593,0.018518519
125,0.958333333,0.041666667,0.018518519,0.740740741,0.055555556,0.037037037,0.148148148,1,0.098039216,0.019607843,0.274509804,0.607843137,0
126,0.985714286,0.014285714,0.019607843,0.803921569,0,0.019607843,0.156862745,1,0,0.096774194,0.209677419,0.596774194,0.096774194
127,0.932432432,0.067567568,0.018867925,0.773584906,0.037735849,0.018867925,0.150943396,1,0,0.046153846,0.061538462,0.707692308,0.184615385
128,0.945205479,0.054794521,0.019230769,0.692307692,0.019230769,0.057692308,0.211538462,1,0.089285714,0.071428571,0.232142857,0.571428571,0.035714286
129,0.985714286,0.014285714,0.019230769,0.711538462,0.019230769,0,0.25,1,0.15,0.016666667,0.166666667,0.516666667,0.15
130,1,0,0.071428571,0.714285714,0.035714286,0,0.178571429,1,0.071428571,0.017857143,0.232142857,0.589285714,0.089285714
131,1,0,0.133333333,0.633333333,0.033333333,0.05,0.15,1,0.053571429,0,0.160714286,0.678571429,0.107142857
132,0.971830986,0.028169014,0.019607843,0.784313725,0,0.039215686,0.156862745,1,0.070175439,0.035087719,0.228070175,0.578947368,0.087719298
133,0.945205479,0.054794521,0.054545455,0.727272727,0.036363636,0.036363636,0.145454545,1,0.038461538,0,0.269230769,0.653846154,0.038461538
134,0.971830986,0.028169014,0.01754386,0.701754386,0.105263158,0.01754386,0.157894737,1,0.018181818,0.090909091,0.236363636,0.654545455,0
135,0.945205479,0.054794521,0,0.773584906,0.056603774,0.037735849,0.132075472,1,0,0.087719298,0.210526316,0.666666667,0.035087719
136,1,0,0.09375,0.5625,0.125,0,0.21875,1,0.063492063,0.047619048,0.031746032,0.698412698,0.158730159
137,0.985714286,0.014285714,0.035714286,0.125,0.071428571,0.25,0.517857143,1,0.654545455,0.072727273,0,0.254545455,0.018181818
138,1,0,0.046153846,0.138461538,0.184615385,0.123076923,0.507692308,1,0.641509434,0.056603774,0,0.301886792,0
139,1,0,0.064516129,0.096774194,0.129032258,0.14516129,0.564516129,1,0.730769231,0.019230769,0.038461538,0.192307692,0.019230769
140,1,0,0.06557377,0.114754098,0.114754098,0.131147541,0.573770492,1,0.730769231,0,0.057692308,0.173076923,0.038461538
141,0.985714286,0.014285714,0.148648649,0.013513514,0.175675676,0.040540541,0.621621622,1,0.705882353,0.019607843,0.058823529,0.215686275,0
142,0.958333333,0.041666667,0.089552239,0.029850746,0.164179104,0.014925373,0.701492537,1,0.685185185,0.037037037,0.092592593,0.148148148,0.037037037
143,0.985714286,0.014285714,0.037735849,0.075471698,0.018867925,0.018867925,0.849056604,1,0.5,0.097222222,0.027777778,0.166666667,0.208333333
144,0.958333333,0.041666667,0.019230769,0.115384615,0.019230769,0.115384615,0.730769231,1,0.629032258,0.016129032,0.016129032,0.161290323,0.177419355
145,0.958333333,0.041666667,0.056603774,0.716981132,0,0.056603774,0.169811321,1,0.075471698,0.037735849,0.283018868,0.58490566,0.018867925
146,0.958333333,0.041666667,0.054545455,0.709090909,0.036363636,0.036363636,0.163636364,1,0.035087719,0.052631579,0.192982456,0.649122807,0.070175439
147,0.985714286,0.014285714,0.105263158,0.631578947,0.01754386,0.035087719,0.210526316,1,0.032786885,0.06557377,0.163934426,0.62295082,0.114754098
148,1,0,0.19047619,0.492063492,0.015873016,0.047619048,0.253968254,1,0.090909091,0.018181818,0.218181818,0.6,0.072727273
149,0.958333333,0.041666667,0,0.745454545,0.090909091,0,0.163636364,1,0.089285714,0,0.160714286,0.642857143,0.107142857
150,0.958333333,0.041666667,0,0.68,0,0.04,0.28,1,0.192982456,0.052631579,0.210526316,0.473684211,0.070175439
151,0.932432432,0.067567568,0,0.8,0,0.06,0.14,1,0.12962963,0,0.185185185,0.611111111,0.074074074
152,0.945205479,0.054794521,0,0.696428571,0.107142857,0.053571429,0.142857143,1,0.072727273,0.054545455,0.145454545,0.690909091,0.036363636
153,0.971830986,0.028169014,0.080645161,0.612903226,0.112903226,0.080645161,0.112903226,1,0.055555556,0.018518519,0.092592593,0.777777778,0.055555556
154,0.958333333,0.041666667,0.120689655,0.603448276,0.017241379,0.017241379,0.24137931,1,0.070175439,0.01754386,0.192982456,0.614035088,0.105263158
155,0.971830986,0.028169014,0.122807018,0.561403509,0,0.087719298,0.228070175,1,0.157894737,0,0.122807018,0.596491228,0.122807018
156,0.985714286,0.014285714,0.079365079,0.587301587,0.126984127,0.047619048,0.158730159,1,0.107142857,0,0.053571429,0.732142857,0.107142857
157,0.971830986,0.028169014,0,0.634920635,0.206349206,0.015873016,0.142857143,1,0.096153846,0.038461538,0.115384615,0.75,0
158,0.958333333,0.041666667,0.016666667,0.666666667,0.15,0.033333333,0.133333333,1,0.1,0,0.18,0.72,0
159,0.958333333,0.041666667,0.047619048,0.634920635,0.158730159,0.031746032,0.126984127,1,0.06,0,0.16,0.78,0
160,0.945205479,0.054794521,0.032786885,0.606557377,0.147540984,0.032786885,0.180327869,1,0.096153846,0.038461538,0.153846154,0.711538462,0
161,0.971830986,0.028169014,0.015151515,0.575757576,0.227272727,0.03030303,0.151515152,1,0.113207547,0.056603774,0.037735849,0.79245283,0
162,0.985714286,0.014285714,0.061538462,0.523076923,0.169230769,0.046153846,0.2,1,0.034482759,0.137931034,0.103448276,0.724137931,0
163,0.932432432,0.067567568,0.035714286,0.696428571,0.071428571,0.017857143,0.178571429,1,0.016949153,0.050847458,0.13559322,0.694915254,0.101694915
164,0.971830986,0.028169014,0.084745763,0.694915254,0.06779661,0.016949153,0.13559322,1,0.016129032,0,0.048387097,0.741935484,0.193548387
165,0.932432432,0.067567568,0.074074074,0.703703704,0,0,0.222222222,1,0.036363636,0.018181818,0.272727273,0.6,0.072727273
166,0.985714286,0.014285714,0.084745763,0.661016949,0.06779661,0.016949153,0.169491525,1,0.018518519,0.055555556,0.259259259,0.648148148,0.018518519
167,0.958333333,0.041666667,0,0.06,0,0.32,0.62,1,0.701754386,0.070175439,0,0.175438596,0.052631579
168,0.985714286,0.014285714,0.070175439,0.01754386,0.052631579,0.122807018,0.736842105,1,0.596774194,0.096774194,0.064516129,0.14516129,0.096774194
169,0.932432432,0.067567568,0.018867925,0.113207547,0.037735849,0.283018868,0.547169811,1,0.78,0,0.02,0.2,0
170,0.92,0.08,0.019230769,0.076923077,0.019230769,0.269230769,0.615384615,1,0.769230769,0,0.019230769,0.173076923,0.038461538
171,0.896103896,0.103896104,0,0.096153846,0.038461538,0.25,0.615384615,1,0.725490196,0.019607843,0.058823529,0.196078431,0
172,0.985714286,0.014285714,0.071428571,0.696428571,0.035714286,0.017857143,0.178571429,1,0.079365079,0,0.063492063,0.650793651,0.206349206
173,0.932432432,0.067567568,0.016666667,0.666666667,0.15,0.016666667,0.15,1,0.078431373,0,0.156862745,0.745098039,0.019607843
174,0.958333333,0.041666667,0.018518519,0.685185185,0.055555556,0.12962963,0.111111111,1,0.094339623,0.056603774,0.188679245,0.660377358,0
175,0.971830986,0.028169014,0.037735849,0.735849057,0.018867925,0.056603774,0.150943396,1,0.075471698,0.056603774,0.283018868,0.58490566,0
176,1,0,0.019230769,0.692307692,0.019230769,0.096153846,0.173076923,1,0.015625,0.171875,0.171875,0.59375,0.046875
177,0.985714286,0.014285714,0.086206897,0.637931034,0.051724138,0,0.224137931,1,0.036363636,0.090909091,0.290909091,0.581818182,0
178,1,0,0.06779661,0.661016949,0.084745763,0.016949153,0.169491525,1,0.098039216,0.019607843,0.274509804,0.607843137,0
179,0.884615385,0.115384615,0.016949153,0.677966102,0.13559322,0.06779661,0.101694915,1,0.019230769,0.019230769,0.076923077,0.865384615,0.019230769
180,0.92,0.08,0,0.684210526,0.122807018,0.035087719,0.157894737,1,0,0.086206897,0.120689655,0.74137931,0.051724138
181,0.985714286,0.014285714,0,0.661016949,0.152542373,0.033898305,0.152542373,1,0.113207547,0.056603774,0.169811321,0.660377358,0
182,0.907894737,0.092105263,0,0.639344262,0.180327869,0.032786885,0.147540984,1,0.053571429,0,0.017857143,0.821428571,0.107142857
