,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.88,0.12,0,0.019607843,0.019607843,0,0.960784314,1,0.28,0,0.06,0.66,0
1,1,0,0,0.2,0,0,0.8,1,0.109090909,0.036363636,0.018181818,0.781818182,0.054545455
2,1,0,0.019607843,0.156862745,0,0.039215686,0.784313725,1,0.016949153,0.13559322,0.016949153,0.813559322,0.016949153
3,0.916666667,0.083333333,0.019607843,0.078431373,0,0.039215686,0.862745098,1,0.148148148,0.055555556,0.018518519,0.759259259,0.018518519
4,1,0,0.038461538,0.038461538,0,0,0.923076923,1,0.226415094,0.037735849,0.056603774,0.660377358,0.018867925
5,0.956521739,0.043478261,0.090909091,0.018181818,0,0.072727273,0.818181818,1,0.173076923,0.038461538,0,0.788461538,0
6,0.916666667,0.083333333,0.019230769,0,0.019230769,0.038461538,0.923076923,1,0.160714286,0.107142857,0.017857143,0.714285714,0
7,1,0,0.038461538,0.173076923,0,0,0.788461538,1,0.094339623,0.037735849,0.056603774,0.79245283,0.018867925
8,1,0,0.074074074,0,0,0.037037037,0.888888889,1,0.2,0.054545455,0,0.709090909,0.036363636
9,1,0,0,0.06,0,0.08,0.86,1,0.120689655,0.137931034,0,0.74137931,0
10,1,0,0.019230769,0.173076923,0.019230769,0.019230769,0.769230769,1,0.132075472,0.018867925,0,0.811320755,0.037735849
11,0.916666667,0.083333333,0.019607843,0.156862745,0,0.058823529,0.764705882,1,0.036363636,0.090909091,0.018181818,0.854545455,0
12,1,0,0.037735849,0.113207547,0.018867925,0,0.830188679,1,0.033898305,0.13559322,0.033898305,0.779661017,0.016949153
13,0.956521739,0.043478261,0.018867925,0.056603774,0.037735849,0.018867925,0.867924528,1,0.016129032,0.193548387,0.016129032,0.774193548,0
14,0.916666667,0.083333333,0.018867925,0.226415094,0.037735849,0.018867925,0.698113208,1,0.039215686,0.019607843,0.019607843,0.921568627,0
15,0.956521739,0.043478261,0,0.196078431,0.019607843,0.019607843,0.764705882,1,0.036363636,0.090909091,0.036363636,0.836363636,0
16,0.956521739,0.043478261,0.019607843,0.137254902,0,0,0.843137255,1,0.127272727,0.036363636,0.018181818,0.763636364,0.054545455
17,1,0,0.056603774,0.20754717,0,0,0.735849057,1,0.057692308,0.019230769,0.057692308,0.846153846,0.019230769
18,0.956521739,0.043478261,0.055555556,0.203703704,0.018518519,0,0.722222222,1,0.018867925,0.037735849,0.037735849,0.886792453,0.018867925
19,1,0,0.074074074,0.148148148,0,0.018518519,0.759259259,1,0.075471698,0.037735849,0.037735849,0.830188679,0.018867925
20,0.956521739,0.043478261,0.206349206,0,0,0.063492063,0.73015873,1,0.08,0,0,0.92,0
21,1,0,0.054545455,0.072727273,0.036363636,0.036363636,0.8,1,0,0.180327869,0,0.819672131,0
22,1,0,0.090909091,0.054545455,0,0.054545455,0.8,1,0.153846154,0.038461538,0.019230769,0.788461538,0
23,0.956521739,0.043478261,0,0.230769231,0.038461538,0.019230769,0.711538462,1,0,0.090909091,0.018181818,0.890909091,0
24,0.916666667,0.083333333,0.074074074,0.166666667,0,0.037037037,0.722222222,1,0.06,0,0.04,0.9,0
25,0.916666667,0.083333333,0.074074074,0.185185185,0,0,0.740740741,1,0.04,0,0.08,0.88,0
26,0.88,0.12,0.018867925,0.188679245,0.037735849,0,0.754716981,1,0.08,0,0.04,0.88,0
27,0.956521739,0.043478261,0,0.076923077,0.038461538,0.019230769,0.865384615,1,0.235294118,0.019607843,0.019607843,0.725490196,0
28,1,0,0.054545455,0.163636364,0.036363636,0.018181818,0.727272727,1,0.12,0,0.02,0.86,0
29,1,0,0,0.08,0,0.04,0.88,1,0.137931034,0.103448276,0,0.724137931,0.034482759
30,1,0,0.177419355,0,0.016129032,0,0.806451613,1,0.053571429,0.071428571,0.017857143,0.821428571,0.035714286
31,0.88,0.12,0.018518519,0.092592593,0.055555556,0,0.833333333,1,0.016949153,0.13559322,0,0.830508475,0.016949153
32,1,0,0.038461538,0.173076923,0,0,0.788461538,1,0.017857143,0.107142857,0.071428571,0.803571429,0
33,1,0,0,0.1,0,0.02,0.88,1,0.049180328,0.163934426,0.032786885,0.737704918,0.016393443
34,1,0,0.019607843,0.078431373,0,0,0.901960784,1,0.118644068,0.101694915,0.016949153,0.711864407,0.050847458
35,0.956521739,0.043478261,0.038461538,0.096153846,0,0,0.865384615,1,0.192307692,0,0.038461538,0.730769231,0.038461538
36,1,0,0.056603774,0.056603774,0,0.018867925,0.867924528,1,0.181818182,0.036363636,0,0.727272727,0.054545455
37,1,0,0.089285714,0.125,0.017857143,0,0.767857143,1,0.098039216,0.019607843,0.058823529,0.823529412,0
38,1,0,0.056603774,0.113207547,0,0,0.830188679,1,0.169811321,0,0.018867925,0.754716981,0.056603774
39,0.88,0.12,0.038461538,0.153846154,0,0.038461538,0.769230769,1,0,0.090909091,0.036363636,0.872727273,0
40,1,0,0.120689655,0.155172414,0.017241379,0.034482759,0.672413793,1,0,0.038461538,0.019230769,0.942307692,0
41,1,0,0.161290323,0.080645161,0.032258065,0,0.725806452,1,0,0.055555556,0.018518519,0.907407407,0.018518519
42,1,0,0.120689655,0,0.017241379,0.051724138,0.810344828,1,0,0.180327869,0,0.819672131,0
43,1,0,0.13559322,0.118644068,0.016949153,0,0.728813559,1,0.038461538,0.019230769,0.038461538,0.884615385,0.019230769
44,0.956521739,0.043478261,0.120689655,0,0.017241379,0.017241379,0.844827586,1,0.153846154,0.038461538,0.038461538,0.769230769,0
45,0.88,0.12,0.019607843,0.058823529,0,0,0.921568627,1,0.22,0,0.08,0.7,0
46,1,0,0,0.1,0,0,0.9,1,0.125,0.107142857,0.071428571,0.696428571,0
47,1,0,0.037735849,0.018867925,0.018867925,0.037735849,0.886792453,1,0.120689655,0.137931034,0.017241379,0.724137931,0
48,0.956521739,0.043478261,0.103448276,0.086206897,0.034482759,0.034482759,0.74137931,1,0.018181818,0.090909091,0,0.890909091,0
49,0.956521739,0.043478261,0.019230769,0.134615385,0.019230769,0.019230769,0.807692308,1,0.18,0,0.04,0.78,0
50,0.956521739,0.043478261,0.147540984,0.016393443,0.032786885,0,0.803278689,1,0.137254902,0,0.019607843,0.823529412,0.019607843
51,0.916666667,0.083333333,0,0.02,0,0.06,0.92,1,0.160714286,0.107142857,0.017857143,0.714285714,0
52,1,0,0.120689655,0.051724138,0.017241379,0.017241379,0.793103448,1,0.090909091,0.054545455,0,0.818181818,0.036363636
53,1,0,0.056603774,0.094339623,0,0.018867925,0.830188679,1,0.196078431,0,0.039215686,0.745098039,0.019607843
54,1,0,0,0.14,0,0.02,0.84,1,0.089285714,0.107142857,0.053571429,0.75,0
55,1,0,0.019607843,0.058823529,0,0.078431373,0.843137255,1,0.20754717,0.056603774,0,0.735849057,0
56,1,0,0.038461538,0.192307692,0,0.038461538,0.730769231,1,0.075471698,0.037735849,0.018867925,0.849056604,0.018867925
57,0.956521739,0.043478261,0.105263158,0.140350877,0.01754386,0.01754386,0.719298246,1,0,0.056603774,0.037735849,0.905660377,0
58,0.916666667,0.083333333,0,0.058823529,0.019607843,0.019607843,0.901960784,1,0.25,0,0,0.711538462,0.038461538
59,1,0,0.019607843,0.039215686,0,0.058823529,0.882352941,1,0.140350877,0.122807018,0.01754386,0.719298246,0
60,1,0,0.107142857,0.053571429,0,0.035714286,0.803571429,1,0.156862745,0.019607843,0.039215686,0.784313725,0
61,0.956521739,0.043478261,0.056603774,0.018867925,0,0,0.924528302,1,0.222222222,0.018518519,0.018518519,0.685185185,0.055555556
62,0.916666667,0.083333333,0.038461538,0.057692308,0,0.057692308,0.846153846,1,0.192307692,0.019230769,0,0.769230769,0.019230769
63,0.916666667,0.083333333,0.019230769,0.057692308,0.019230769,0.057692308,0.846153846,1,0.107142857,0.107142857,0,0.785714286,0
64,0.956521739,0.043478261,0.055555556,0.055555556,0.018518519,0,0.87037037,1,0.087719298,0.105263158,0.035087719,0.754385965,0.01754386
65,1,0,0.120689655,0.017241379,0.017241379,0,0.844827586,1,0.192307692,0,0.019230769,0.75,0.038461538
66,1,0,0.056603774,0.018867925,0,0.018867925,0.905660377,1,0.245283019,0.018867925,0.018867925,0.679245283,0.037735849
67,0.916666667,0.083333333,0.019607843,0.039215686,0,0.039215686,0.901960784,1,0.254901961,0,0.019607843,0.705882353,0.019607843
68,1,0,0.038461538,0.038461538,0,0,0.923076923,1,0.25,0.019230769,0.057692308,0.653846154,0.019230769
69,1,0,0.019607843,0.176470588,0,0.039215686,0.764705882,1,0.053571429,0.089285714,0.017857143,0.821428571,0.017857143
70,1,0,0.019607843,0,0,0.058823529,0.921568627,1,0.218181818,0.090909091,0.018181818,0.672727273,0
71,0.916666667,0.083333333,0.105263158,0.105263158,0.01754386,0.01754386,0.754385965,1,0.076923077,0,0,0.884615385,0.038461538
72,1,0,0.055555556,0.12962963,0.018518519,0,0.796296296,1,0.017241379,0.120689655,0.034482759,0.810344828,0.017241379
73,0.88,0.12,0.107142857,0.089285714,0,0.017857143,0.785714286,1,0.08,0,0.06,0.86,0
74,0.956521739,0.043478261,0.037735849,0.075471698,0.018867925,0.037735849,0.830188679,1,0.107142857,0.089285714,0,0.785714286,0.017857143
75,0.916666667,0.083333333,0.036363636,0.090909091,0.054545455,0,0.818181818,1,0.18,0,0.02,0.8,0
76,0.916666667,0.083333333,0.038461538,0.019230769,0,0.019230769,0.923076923,1,0.235294118,0.019607843,0.058823529,0.68627451,0
77,0.956521739,0.043478261,0,0.117647059,0.019607843,0.019607843,0.843137255,1,0.188679245,0.018867925,0,0.754716981,0.037735849
78,0.956521739,0.043478261,0.137931034,0.068965517,0,0.017241379,0.775862069,1,0.078431373,0.019607843,0.058823529,0.843137255,0
79,1,0,0.107142857,0.071428571,0,0.017857143,0.803571429,1,0.16,0,0.06,0.78,0
80,0.916666667,0.083333333,0,0.22,0,0,0.78,1,0.096153846,0,0.038461538,0.826923077,0.038461538
81,1,0,0.038461538,0.173076923,0,0.019230769,0.769230769,1,0.053571429,0.071428571,0.017857143,0.821428571,0.035714286
82,0.956521739,0.043478261,0,0.1,0,0,0.9,1,0.211538462,0.019230769,0.057692308,0.692307692,0.019230769
83,0.916666667,0.083333333,0.038461538,0,0,0.076923077,0.884615385,1,0.142857143,0.107142857,0,0.75,0
84,1,0,0,0.02,0,0.08,0.9,1,0.155172414,0.137931034,0,0.706896552,0
85,1,0,0.019607843,0.039215686,0,0.039215686,0.901960784,1,0.274509804,0.019607843,0.039215686,0.666666667,0
86,1,0,0.107142857,0,0,0.035714286,0.857142857,1,0.24,0,0.04,0.72,0
87,1,0,0,0.245283019,0.056603774,0,0.698113208,1,0.018181818,0.072727273,0,0.890909091,0.018181818
88,1,0,0.055555556,0.222222222,0.018518519,0.055555556,0.648148148,1,0.06,0,0,0.94,0
89,1,0,0.103448276,0.051724138,0.034482759,0.017241379,0.793103448,1,0.132075472,0.037735849,0,0.811320755,0.018867925
90,1,0,0.14516129,0.112903226,0.048387097,0,0.693548387,1,0,0.038461538,0.019230769,0.942307692,0
91,0.956521739,0.043478261,0.084745763,0.186440678,0.06779661,0,0.661016949,1,0.02,0,0,0.98,0
