,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.956521739,0.043478261,0,0.26,0,0,0.74,1,0.037037037,0.037037037,0.037037037,0.851851852,0.037037037
1,0.916666667,0.083333333,0.019230769,0.134615385,0.019230769,0.019230769,0.807692308,1,0,0.137931034,0.034482759,0.827586207,0
2,0.88,0.12,0.089285714,0.178571429,0.017857143,0.053571429,0.660714286,1,0,0,0,1,0
3,0.956521739,0.043478261,0.056603774,0.150943396,0,0,0.79245283,1,0.017857143,0.089285714,0.053571429,0.821428571,0.017857143
4,0.956521739,0.043478261,0.120689655,0.017241379,0.017241379,0.051724138,0.793103448,1,0.156862745,0.019607843,0,0.823529412,0
5,1,0,0.038461538,0.096153846,0,0,0.865384615,1,0.087719298,0.105263158,0.052631579,0.736842105,0.01754386
6,1,0,0.019607843,0.039215686,0,0.058823529,0.882352941,1,0.157894737,0.105263158,0,0.719298246,0.01754386
7,0.956521739,0.043478261,0,0.12962963,0.074074074,0,0.796296296,1,0.132075472,0.056603774,0,0.811320755,0
8,1,0,0.019230769,0.25,0.019230769,0.038461538,0.673076923,1,0.038461538,0.038461538,0.019230769,0.903846154,0
9,0.916666667,0.083333333,0.090909091,0.181818182,0,0.018181818,0.709090909,1,0.02,0,0.06,0.92,0
10,1,0,0.037735849,0.150943396,0.018867925,0,0.79245283,1,0.134615385,0.019230769,0.038461538,0.788461538,0.019230769
11,0.956521739,0.043478261,0.019607843,0.196078431,0,0.039215686,0.745098039,1,0.117647059,0,0.019607843,0.843137255,0.019607843
12,0.956521739,0.043478261,0.19047619,0.015873016,0.015873016,0.031746032,0.746031746,1,0.018518519,0.055555556,0,0.907407407,0.018518519
13,0.916666667,0.083333333,0,0.12,0,0.04,0.84,1,0.192307692,0,0,0.769230769,0.038461538
14,0.916666667,0.083333333,0.056603774,0.037735849,0,0.018867925,0.886792453,1,0.015873016,0.158730159,0,0.777777778,0.047619048
15,0.956521739,0.043478261,0.019607843,0.098039216,0,0.039215686,0.843137255,1,0.169811321,0.037735849,0.018867925,0.754716981,0.018867925
16,1,0,0.019607843,0.078431373,0,0,0.901960784,1,0.046875,0.15625,0,0.734375,0.0625
17,1,0,0.038461538,0.076923077,0,0.057692308,0.826923077,1,0.087719298,0.122807018,0.01754386,0.771929825,0
18,0.916666667,0.083333333,0.107142857,0.089285714,0,0.035714286,0.767857143,1,0.096153846,0,0,0.865384615,0.038461538
19,0.916666667,0.083333333,0.038461538,0.211538462,0,0.057692308,0.692307692,1,0.039215686,0.019607843,0.019607843,0.921568627,0
20,0.956521739,0.043478261,0.019607843,0.196078431,0,0.039215686,0.745098039,1,0.055555556,0.055555556,0.018518519,0.851851852,0.018518519
21,1,0,0,0.08,0,0,0.92,1,0.274509804,0,0.058823529,0.647058824,0.019607843
22,1,0,0.152542373,0,0,0.033898305,0.813559322,1,0.132075472,0.037735849,0.018867925,0.79245283,0.018867925
23,1,0,0.089285714,0.178571429,0.017857143,0.035714286,0.678571429,1,0.06,0,0.02,0.92,0
24,1,0,0,0.14,0,0.02,0.84,1,0.105263158,0.087719298,0.01754386,0.754385965,0.035087719
25,0.956521739,0.043478261,0,0.26,0,0,0.74,1,0.074074074,0,0,0.851851852,0.074074074
26,0.956521739,0.043478261,0.019607843,0.117647059,0,0.039215686,0.823529412,1,0.090909091,0.090909091,0.036363636,0.781818182,0
27,0.916666667,0.083333333,0,0.188679245,0.056603774,0.018867925,0.735849057,1,0,0.107142857,0,0.892857143,0
28,0.956521739,0.043478261,0,0.08,0,0.02,0.9,1,0.254901961,0,0.039215686,0.68627451,0.019607843
29,1,0,0.072727273,0.127272727,0.018181818,0,0.781818182,1,0.111111111,0.018518519,0,0.814814815,0.055555556
30,0.916666667,0.083333333,0,0.115384615,0.038461538,0,0.846153846,1,0.2,0,0.04,0.76,0
31,1,0,0,0.098039216,0.019607843,0.039215686,0.843137255,1,0.066666667,0.15,0,0.766666667,0.016666667
32,0.88,0.12,0.037735849,0.018867925,0.018867925,0.056603774,0.867924528,1,0.107142857,0.107142857,0,0.785714286,0
33,1,0,0.018867925,0.264150943,0.037735849,0,0.679245283,1,0.057692308,0,0,0.903846154,0.038461538
34,0.956521739,0.043478261,0.055555556,0.185185185,0.018518519,0,0.740740741,1,0,0.074074074,0.055555556,0.87037037,0
35,1,0,0,0.1,0,0.04,0.86,1,0.105263158,0.122807018,0.035087719,0.736842105,0
36,1,0,0.087719298,0.140350877,0.035087719,0.035087719,0.701754386,1,0.057692308,0.038461538,0,0.903846154,0
37,1,0,0.037037037,0.092592593,0.037037037,0.018518519,0.814814815,1,0.22,0,0.02,0.76,0
38,0.956521739,0.043478261,0,0.156862745,0.019607843,0.019607843,0.803921569,1,0.156862745,0.019607843,0.039215686,0.784313725,0
39,1,0,0.089285714,0.035714286,0.017857143,0.017857143,0.839285714,1,0.215686275,0,0.019607843,0.745098039,0.019607843
40,0.956521739,0.043478261,0.056603774,0.037735849,0,0,0.905660377,1,0.203703704,0.018518519,0.018518519,0.703703704,0.055555556
41,0.88,0.12,0.038461538,0.096153846,0,0,0.865384615,1,0.092592593,0.055555556,0.055555556,0.777777778,0.018518519
42,0.956521739,0.043478261,0.018867925,0.075471698,0.037735849,0.037735849,0.830188679,1,0.107142857,0.107142857,0,0.785714286,0
43,0.956521739,0.043478261,0.038461538,0.230769231,0,0,0.730769231,1,0.056603774,0,0.018867925,0.867924528,0.056603774
44,1,0,0.019607843,0.156862745,0,0.058823529,0.764705882,1,0,0.152542373,0.016949153,0.830508475,0
45,0.956521739,0.043478261,0.074074074,0.166666667,0,0,0.759259259,1,0.058823529,0.019607843,0.078431373,0.843137255,0
46,1,0,0.15,0.066666667,0.016666667,0.016666667,0.75,1,0.096153846,0,0,0.865384615,0.038461538
47,1,0,0,0.12,0,0.02,0.86,1,0.215686275,0.019607843,0.058823529,0.705882353,0
48,1,0,0.074074074,0,0,0.037037037,0.888888889,1,0.084745763,0.152542373,0.033898305,0.728813559,0
49,0.916666667,0.083333333,0.038461538,0.076923077,0,0.019230769,0.865384615,1,0.148148148,0.037037037,0.018518519,0.759259259,0.037037037
50,0.956521739,0.043478261,0.105263158,0.087719298,0.01754386,0,0.789473684,1,0.092592593,0.018518519,0,0.833333333,0.055555556
