"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))",
0.730769231,0.192307692,0.076923077,0,0,0,0,0,0,0,0.772727273,0.204545455,0,0.022727273,0.242424242,0.651515152,0,0.106060606,1,0,0,0.847457627,0.152542373,0
0.678571429,0.25,0.071428571,0,0,0,0,0,0,0,0.780487805,0.219512195,0,0,0.253731343,0.611940299,0,0.134328358,1,0.032786885,0,0.819672131,0.147540984,1
0.730769231,0.230769231,0.038461538,0,0,0,0,0,0,0,0.76744186,0.23255814,0,0,0.21875,0.671875,0,0.109375,1,0.048387097,0,0.806451613,0.14516129,2
0.76,0.2,0.04,0,0,0,0,0,0,0,0.772727273,0.227272727,0,0,0.21875,0.6875,0,0.09375,1,0.032786885,0,0.819672131,0.147540984,3
0.730769231,0.230769231,0.038461538,0,0,0,0,0,0,0,0.76744186,0.23255814,0,0,0.253731343,0.641791045,0,0.104477612,1,0,0,0.847457627,0.152542373,4
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,5
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,6
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,7
0.416666667,0.5,0.083333333,0,0,0.76744186,0.23255814,0,0,0.823529412,0,0,0.176470588,0,0,0.237288136,0.152542373,0.610169492,1,0,0.86,0.14,0,8
0.703703704,0.259259259,0.037037037,0,0,0,0,0,0,0,0.761904762,0.238095238,0,0,0.264705882,0.617647059,0,0.117647059,1,0,0,0.847457627,0.152542373,9
