,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
666,0.529411765,0.411764706,0.058823529,0,0.023255814,0.744186047,0.23255814,0,0,0.818181818,0,0,0.181818182,0,0.086206897,0.155172414,0.051724138,0.706896552,1,0.01754386,0.754385965,0.122807018,0.105263158
667,0.571428571,0.357142857,0.071428571,0,0,0.755555556,0.177777778,0.044444444,0.022222222,0.846153846,0,0.153846154,0,0,0.035714286,0.232142857,0.071428571,0.660714286,1,0,0.763636364,0.145454545,0.090909091
668,0.533333333,0.333333333,0.066666667,0.066666667,0,0.708333333,0.208333333,0.0625,0.020833333,0.916666667,0,0,0.083333333,0,0,0.22,0,0.78,1,0,0.75862069,0.103448276,0.137931034
669,0.461538462,0.461538462,0.076923077,0,0.02173913,0.717391304,0.217391304,0.043478261,0,1,0,0,0,0,0.019607843,0.235294118,0,0.745098039,1,0.016666667,0.733333333,0.1,0.15
670,0.5,0.416666667,0.083333333,0,0,0.755555556,0.222222222,0,0.022222222,0.866666667,0,0,0.066666667,0.066666667,0,0.26,0,0.74,1,0,0.745762712,0.101694915,0.152542373
671,0.571428571,0.357142857,0.071428571,0,0.021276596,0.723404255,0.191489362,0.042553191,0.021276596,0.769230769,0,0.076923077,0.153846154,0,0,0.211538462,0.038461538,0.75,1,0,0.771929825,0.105263158,0.122807018
672,0.5,0.428571429,0.071428571,0,0.045454545,0.727272727,0.227272727,0,0,0.833333333,0.083333333,0,0.083333333,0,0,0.186440678,0.152542373,0.661016949,1,0.074074074,0.814814815,0.111111111,0
673,0.708333333,0.25,0.041666667,0,0.035087719,0.578947368,0.175438596,0.210526316,0,0,0,0,0,0,0.050847458,0,0.101694915,0.847457627,1,0,0.849056604,0.094339623,0.056603774
674,0.666666667,0.25,0.041666667,0.041666667,0.037037037,0.611111111,0.185185185,0.166666667,0,1,0,0,0,0,0.081967213,0.016393443,0.098360656,0.803278689,1,0,0.865384615,0.096153846,0.038461538
675,0.695652174,0.260869565,0.043478261,0,0,0.76744186,0.23255814,0,0,0.75,0,0,0,0.25,0.144927536,0.043478261,0.130434783,0.68115942,1,0.056603774,0.811320755,0.132075472,0
676,0.56,0.24,0.16,0.04,0,0.717391304,0.152173913,0.130434783,0,0.833333333,0,0,0,0.166666667,0.109375,0.078125,0.109375,0.703125,1,0.019230769,0.769230769,0.192307692,0.019230769
677,0.555555556,0.277777778,0.111111111,0.055555556,0,0.739130435,0.195652174,0.043478261,0.02173913,0.9,0,0,0,0.1,0.019230769,0.173076923,0.019230769,0.788461538,1,0.033333333,0.716666667,0.116666667,0.133333333
678,0.625,0.3125,0.0625,0,0,0.666666667,0.196078431,0.117647059,0.019607843,1,0,0,0,0,0,0.18,0,0.82,1,0,0.745762712,0.101694915,0.152542373
679,0.727272727,0.227272727,0.045454545,0,0,0.641509434,0.188679245,0.150943396,0.018867925,0.75,0,0,0,0.25,0.035087719,0.052631579,0.087719298,0.824561404,1,0.018181818,0.8,0.109090909,0.072727273
680,0.72,0.2,0.04,0.04,0.018518519,0.62962963,0.185185185,0.148148148,0.018518519,0,0,0,0,0,0.083333333,0,0.083333333,0.833333333,1,0.018518519,0.833333333,0.092592593,0.055555556
681,0.692307692,0.269230769,0.038461538,0,0,0.673913043,0.195652174,0.108695652,0.02173913,0.333333333,0.333333333,0.333333333,0,0,0.153846154,0.046153846,0.076923077,0.723076923,1,0.018181818,0.727272727,0.181818182,0.072727273
682,0.76,0.2,0.04,0,0,0.68,0.2,0.1,0.02,0,0,0,0,0,0.15625,0,0.0625,0.78125,1,0,0.8,0.109090909,0.090909091
683,0.708333333,0.208333333,0.041666667,0.041666667,0.019607843,0.666666667,0.196078431,0.098039216,0.019607843,1,0,0,0,0,0.126984127,0.015873016,0.079365079,0.777777778,1,0,0.849056604,0.094339623,0.056603774
684,0.730769231,0.230769231,0.038461538,0,0,0.6875,0.208333333,0.083333333,0.020833333,0,0,0,0,0,0.131147541,0,0.049180328,0.819672131,1,0.066666667,0.716666667,0.116666667,0.1
