,"('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('VP',))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('NP', 'V'))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
0,0.24528301886792453,0.11320754716981132,0.0,0.5849056603773585,0.05660377358490566,0.0,0.0196078431372549,0.058823529411764705,0.1568627450980392,0.7647058823529411,0.0547945205479452,0.9452054794520548,1.0
1,0.2037037037037037,0.018518518518518517,0.037037037037037035,0.7037037037037037,0.037037037037037035,0.08064516129032258,0.11290322580645161,0.016129032258064516,0.16129032258064516,0.6290322580645161,0.014285714285714285,0.9857142857142858,1.0
2,0.18181818181818182,0.07272727272727272,0.01818181818181818,0.6545454545454545,0.07272727272727272,0.08333333333333333,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.65,0.0,1.0,1.0
3,0.2857142857142857,0.03571428571428571,0.05357142857142857,0.5714285714285714,0.05357142857142857,0.0,0.0196078431372549,0.0196078431372549,0.1568627450980392,0.803921568627451,0.028169014084507043,0.971830985915493,1.0
4,0.26785714285714285,0.0,0.03571428571428571,0.625,0.07142857142857142,0.0,0.10714285714285714,0.0,0.17857142857142858,0.7142857142857143,0.028169014084507043,0.971830985915493,1.0
5,0.19672131147540983,0.0,0.13114754098360656,0.6229508196721312,0.04918032786885246,0.0847457627118644,0.06779661016949153,0.0,0.2542372881355932,0.5932203389830508,0.028169014084507043,0.971830985915493,1.0
6,0.22807017543859648,0.07017543859649122,0.08771929824561403,0.5789473684210527,0.03508771929824561,0.0196078431372549,0.0,0.0784313725490196,0.19607843137254902,0.7058823529411765,0.0547945205479452,0.9452054794520548,1.0
7,0.2033898305084746,0.0,0.06779661016949153,0.6440677966101694,0.0847457627118644,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.1509433962264151,0.7735849056603774,0.041666666666666664,0.9583333333333334,1.0
8,0.21818181818181817,0.09090909090909091,0.01818181818181818,0.6,0.07272727272727272,0.06896551724137931,0.06896551724137931,0.0,0.20689655172413793,0.6551724137931034,0.014285714285714285,0.9857142857142858,1.0
9,0.17307692307692307,0.19230769230769232,0.019230769230769232,0.5961538461538461,0.019230769230769232,0.10526315789473684,0.017543859649122806,0.07017543859649122,0.15789473684210525,0.6491228070175439,0.0,1.0,1.0
10,0.017543859649122806,0.6666666666666666,0.03508771929824561,0.19298245614035087,0.08771929824561403,0.017857142857142856,0.08928571428571429,0.23214285714285715,0.6071428571428571,0.05357142857142857,0.014285714285714285,0.9857142857142858,1.0
11,0.03636363636363636,0.6,0.07272727272727272,0.2727272727272727,0.01818181818181818,0.019230769230769232,0.019230769230769232,0.3076923076923077,0.46153846153846156,0.19230769230769232,0.014285714285714285,0.9857142857142858,1.0
12,0.01639344262295082,0.6229508196721312,0.01639344262295082,0.18032786885245902,0.16393442622950818,0.07142857142857142,0.03571428571428571,0.08928571428571429,0.7321428571428571,0.07142857142857142,0.0547945205479452,0.9452054794520548,1.0
13,0.038461538461538464,0.7692307692307693,0.0,0.15384615384615385,0.038461538461538464,0.13559322033898305,0.01694915254237288,0.11864406779661017,0.6271186440677966,0.1016949152542373,0.041666666666666664,0.9583333333333334,1.0
14,0.03636363636363636,0.6181818181818182,0.03636363636363636,0.2545454545454545,0.05454545454545454,0.09090909090909091,0.0,0.18181818181818182,0.509090909090909,0.21818181818181817,0.014285714285714285,0.9857142857142858,1.0
15,0.03773584905660377,0.6792452830188679,0.05660377358490566,0.22641509433962265,0.0,0.13793103448275862,0.0,0.1724137931034483,0.5344827586206896,0.15517241379310345,0.014285714285714285,0.9857142857142858,1.0
16,0.017241379310344827,0.6551724137931034,0.034482758620689655,0.1896551724137931,0.10344827586206896,0.14754098360655737,0.03278688524590164,0.06557377049180328,0.6721311475409836,0.08196721311475409,0.028169014084507043,0.971830985915493,1.0
17,0.05263157894736842,0.6842105263157895,0.03508771929824561,0.14035087719298245,0.08771929824561403,0.13559322033898305,0.01694915254237288,0.06779661016949153,0.6949152542372882,0.0847457627118644,0.028169014084507043,0.971830985915493,1.0
18,0.03571428571428571,0.6964285714285714,0.0,0.16071428571428573,0.10714285714285714,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.6896551724137931,0.06896551724137931,0.0547945205479452,0.9452054794520548,1.0
19,0.03333333333333333,0.6166666666666667,0.08333333333333333,0.18333333333333332,0.08333333333333333,0.03773584905660377,0.018867924528301886,0.16981132075471697,0.7358490566037735,0.03773584905660377,0.08,0.92,1.0
20,0.057692307692307696,0.7115384615384616,0.038461538461538464,0.19230769230769232,0.0,0.038461538461538464,0.0,0.2692307692307692,0.5576923076923077,0.1346153846153846,0.0547945205479452,0.9452054794520548,1.0
21,0.017857142857142856,0.6785714285714286,0.0,0.19642857142857142,0.10714285714285714,0.09836065573770492,0.08196721311475409,0.11475409836065574,0.6229508196721312,0.08196721311475409,0.014285714285714285,0.9857142857142858,1.0
22,0.03278688524590164,0.5573770491803278,0.0,0.22950819672131148,0.18032786885245902,0.05555555555555555,0.018518518518518517,0.07407407407407407,0.6296296296296297,0.2222222222222222,0.028169014084507043,0.971830985915493,1.0
