sample,"NP,np","NP,NP,NP","S,NP,S","S,NP,VP","S,S,NP","S,VP,NP","S,VP","V,v","VP,NP,V","VP,NP,VP","VP,V,NP","VP,V","VP,VP,NP",lang,run,bias
0,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
1,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
2,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
3,1,0,0,0.2142857142857142,0.2857142857142857,0,0.5,1,0.7,0,0,0.3,0,French,1,Biased
4,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
5,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
6,1,0,0,0.2,0,0,0.8,1,0.5714285714285714,0,0,0.1428571428571428,0.2857142857142857,French,1,Biased
7,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
8,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
9,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
10,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
11,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
12,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
13,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
14,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
15,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
16,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
17,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
18,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
19,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
20,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
21,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
22,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
23,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
24,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
25,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
26,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
27,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
28,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
29,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
30,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
31,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
32,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
33,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
34,1,0,0,0.1785714285714285,0.2857142857142857,0,0.5357142857142857,1,0.75,0,0,0.25,0,French,1,Biased
35,1,0,0,0.1428571428571428,0.2857142857142857,0,0.5714285714285714,1,0.8,0,0,0.2,0,French,1,Biased
36,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
37,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
38,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
39,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
40,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
41,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
42,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
43,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0.15,0,0,0.85,0,French,1,Biased
44,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
45,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
46,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
47,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
48,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
49,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
50,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0.15,0,0,0.85,0,French,1,Biased
51,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
52,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
53,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
54,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
55,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
56,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0.15,0,0,0.85,0,French,1,Biased
57,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
58,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
59,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
60,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
61,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
62,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
63,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
64,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
65,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
66,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
67,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
68,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
69,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
70,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
71,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
72,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
73,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
74,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
75,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
76,1,0,0,0.7,0,0,0.3,1,0.2142857142857142,0,0,0.5,0.2857142857142857,French,1,Biased
77,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
78,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
79,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
80,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
81,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
82,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
83,1,0,0,0.85,0,0,0.15,1,0.1071428571428571,0,0,0.6071428571428571,0.2857142857142857,French,1,Biased
84,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
85,1,0,0,0.85,0,0,0.15,1,0.1071428571428571,0,0,0.6071428571428571,0.2857142857142857,French,1,Biased
86,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
87,1,0,0,0.1428571428571428,0.2857142857142857,0,0.5714285714285714,1,0.8,0,0,0.2,0,French,1,Biased
88,1,0,0,0.4,0,0,0.6,1,0.4285714285714285,0,0,0.2857142857142857,0.2857142857142857,French,1,Biased
89,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
90,1,0,0,0.2,0,0,0.8,1,0.5714285714285714,0,0,0.1428571428571428,0.2857142857142857,French,1,Biased
91,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
92,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
93,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
94,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
95,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
96,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
97,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
98,1,0,0,0.5714285714285714,0.2857142857142857,0,0.1428571428571428,1,0.2,0,0,0.8,0,French,1,Biased
99,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
100,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
101,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
102,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
103,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
104,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
