sample,"NP,np","NP,NP,NP","S,NP,S","S,NP,VP","S,S,NP","S,VP,NP","S,VP","V,v","VP,NP,V","VP,NP,VP","VP,V,NP","VP,V","VP,VP,NP",lang,run,bias
105,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0.15,0,0,0.85,0,French,1,Biased
106,1,0,0,0.5714285714285714,0.2857142857142857,0,0.1428571428571428,1,0.2,0,0,0.8,0,French,1,Biased
107,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0.15,0,0,0.85,0,French,1,Biased
108,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0,0.1304347826086956,0,0.8695652173913043,0,French,1,Biased
109,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
110,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
111,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
112,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
113,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
114,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
115,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
116,1,0,0,0.8,0,0,0.2,1,0,0.125,0,0.625,0.25,French,1,Biased
117,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
118,1,0,0,0.8,0,0,0.2,1,0,0.125,0,0.625,0.25,French,1,Biased
119,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
120,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
121,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
122,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
123,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
124,1,0,0,0.75,0,0,0.25,1,0,0.1515151515151515,0,0.6060606060606061,0.2424242424242424,French,1,Biased
125,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
126,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
127,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
128,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
129,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
130,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
131,1,0,0,0.8,0,0,0.2,1,0,0.125,0,0.625,0.25,French,1,Biased
132,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
133,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
134,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
135,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
136,1,0,0,0.1428571428571428,0.2857142857142857,0,0.5714285714285714,1,0.8,0,0,0.2,0,French,1,Biased
137,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
138,1,0,0,0.1428571428571428,0.2857142857142857,0,0.5714285714285714,1,0.8,0,0,0.2,0,French,1,Biased
139,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
140,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
141,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
142,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
143,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
144,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
145,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
146,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
147,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
148,1,0,0,0.85,0,0,0.15,1,0,0.096774194,0,0.6451612903225806,0.2580645161290322,French,1,Biased
149,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
150,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
151,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
152,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
153,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
154,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
155,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
156,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
157,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
158,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
159,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
160,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
161,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
162,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
163,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
164,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
165,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
166,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
167,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
168,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
169,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
170,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
171,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
172,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
173,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
174,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
175,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
176,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
177,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
178,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
179,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
180,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
181,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
182,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
183,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
184,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
185,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
186,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
187,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
188,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
189,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
190,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
191,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
192,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
193,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
194,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
195,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
196,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
197,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
198,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
199,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
200,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
201,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
202,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
203,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
204,0.875,0.125,0,0,0,0.35,0.65,1,0.85,0,0,0.15,0,French,1,Biased
205,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
206,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
207,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
208,1,0,0,0.2,0,0,0.8,1,0.5714285714285714,0,0,0.1428571428571428,0.2857142857142857,French,1,Biased
209,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
210,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
211,1,0,0,0.2,0,0,0.8,1,0.5714285714285714,0,0,0.1428571428571428,0.2857142857142857,French,1,Biased
212,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
213,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
214,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
215,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
216,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
217,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
218,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
219,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
220,1,0,0,0.7,0,0,0.3,1,0.2142857142857142,0,0,0.5,0.2857142857142857,French,1,Biased
221,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
222,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
223,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
224,1,0,0,0.1428571428571428,0.2857142857142857,0,0.5714285714285714,1,0.8,0,0,0.2,0,French,1,Biased
225,1,0,0,0.35,0,0,0.65,1,0.4642857142857143,0,0,0.25,0.2857142857142857,French,1,Biased
226,1,0,0,0.1785714285714285,0.2857142857142857,0,0.5357142857142857,1,0.75,0,0,0.25,0,French,1,Biased
227,1,0,0,0.2,0,0,0.8,1,0.5714285714285714,0,0,0.1428571428571428,0.2857142857142857,French,1,Biased
228,1,0,0,0.1785714285714285,0.2857142857142857,0,0.5357142857142857,1,0.75,0,0,0.25,0,French,1,Biased
229,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
230,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
231,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
232,1,0,0,0.2,0,0,0.8,1,0.5714285714285714,0,0,0.1428571428571428,0.2857142857142857,French,1,Biased
233,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
234,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
235,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
236,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
237,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
238,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
239,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
240,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
241,1,0,0,0,0,0,1,1,0.5,0.125,0,0.125,0.25,French,1,Biased
242,1,0,0,0,0,0,1,1,0.5483870967741935,0.096774194,0,0.096774194,0.2580645161290322,French,1,Biased
243,1,0,0,0,0,0,1,1,0.5,0.125,0,0.125,0.25,French,1,Biased
244,1,0,0,0.1428571428571428,0.2857142857142857,0,0.5714285714285714,1,0.8,0,0,0.2,0,French,1,Biased
245,1,0,0,0.1071428571428571,0.2857142857142857,0,0.6071428571428571,1,0.85,0,0,0.15,0,French,1,Biased
246,1,0,0,0.2,0,0,0.8,1,0.5714285714285714,0,0,0.1428571428571428,0.2857142857142857,French,1,Biased
247,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
248,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
249,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
250,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
251,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
252,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
253,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
254,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
255,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
256,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
257,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
258,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0.15,0,0,0.85,0,French,1,Biased
259,1,0,0,0.5714285714285714,0.2857142857142857,0,0.1428571428571428,1,0.2,0,0,0.8,0,French,1,Biased
260,1,0,0,0.6071428571428571,0.2857142857142857,0,0.1071428571428571,1,0.15,0,0,0.85,0,French,1,Biased
261,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
262,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
263,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
264,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
265,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
266,0.875,0.125,0,0.85,0,0,0.15,1,0,0,0.35,0.65,0,French,1,Biased
267,1,0,0,0.15,0,0,0.85,1,0.6071428571428571,0,0,0.1071428571428571,0.2857142857142857,French,1,Biased
