model,run,language,OV,OVS,SOV,SV,SVO,VO,VOS,VS,
Bayesian,1,English,0.1064,0.1168,0.1328,0.1624,0.3096,0.0896,0.0352,0.0472,
Bayesian,2,English,0.0984,0.1248,0.1504,0.1424,0.3136,0.0888,0.0344,0.0472,
Bayesian,3,English,0.1184,0.1392,0.132,0.1544,0.2864,0.0792,0.04,0.0504,
Bayesian,4,English,0.0984,0.1176,0.116,0.1736,0.304,0.1032,0.0408,0.0464,
Bayesian,5,English,0.1152,0.1176,0.1384,0.1384,0.3088,0.092,0.0376,0.052,
Bayesian,6,English,0.1224,0.1048,0.1488,0.1488,0.3008,0.0944,0.0336,0.0464,
Bayesian,7,English,0.1128,0.1232,0.1248,0.1696,0.3088,0.0808,0.0392,0.0408,
Bayesian,8,English,0.1064,0.1312,0.1472,0.1704,0.2904,0.0768,0.0336,0.044,
Bayesian,9,English,0.1184,0.1192,0.152,0.1568,0.2992,0.0832,0.0288,0.0424,
Bayesian,10,English,0.116,0.1216,0.1464,0.1536,0.2824,0.0984,0.0328,0.0488,
Bayesian,1,French,0.1128,0.0616,0.2144,0.1784,0.308,0.0712,0.016,0.0376,
Bayesian,2,French,0.1144,0.0728,0.2136,0.1888,0.3024,0.0568,0.02,0.0312,
Bayesian,3,French,0.1256,0.0632,0.2016,0.208,0.2848,0.0728,0.0152,0.0288,
Bayesian,4,French,0.1208,0.0752,0.2064,0.1864,0.2928,0.0688,0.0216,0.028,
Bayesian,5,French,0.0976,0.072,0.2088,0.2088,0.3072,0.0504,0.0272,0.028,
Bayesian,6,French,0.1016,0.0664,0.2104,0.216,0.2824,0.0632,0.0216,0.0384,
Bayesian,7,French,0.1128,0.0712,0.2312,0.1928,0.2888,0.0608,0.0152,0.0272,
Bayesian,8,French,0.1056,0.0752,0.2368,0.1752,0.2888,0.0656,0.0256,0.0272,
Bayesian,9,French,0.1048,0.0784,0.2136,0.1896,0.304,0.064,0.0144,0.0312,
Bayesian,10,French,0.1,0.0792,0.2104,0.2008,0.3008,0.0552,0.0224,0.0312,
Bayesian,1,Japanese,0.2216,0.1352,0.3384,0.0464,0.1168,0.0712,0.048,0.0224, 
Bayesian,2,Japanese,0.2144,0.152,0.3336,0.0568,0.1312,0.0552,0.0448,0.012,
Bayesian,3,Japanese,0.2208,0.1296,0.348,0.0504,0.1208,0.0624,0.0432,0.0248,
Bayesian,4,Japanese,0.2032,0.1264,0.352,0.0568,0.132,0.0568,0.052,0.0208,
Bayesian,5,Japanese,0.2208,0.1464,0.3344,0.0368,0.124,0.0728,0.0432,0.0216,
Bayesian,6,Japanese,0.224,0.1408,0.3256,0.056,0.1336,0.0688,0.0336,0.0176,
Bayesian,7,Japanese,0.2088,0.1472,0.3456,0.044,0.1224,0.0728,0.0408,0.0184,
Bayesian,8,Japanese,0.2064,0.1344,0.3288,0.056,0.1328,0.0696,0.0496,0.0224,
Bayesian,9,Japanese,0.216,0.1488,0.3264,0.0528,0.1176,0.0672,0.0456,0.0256,
Bayesian,10,Japanese,0.2144,0.16,0.3352,0.0416,0.1336,0.0504,0.0432,0.0216,
