model,run,language,OV,OVS,SOV,SV,SVO,VO,VOS,VS,
Bayesian,1,English,0.1432,0.1112,0.1152,0.1872,0.236,0.116,0.0392,0.052,
Bayesian,2,English,0.1416,0.108,0.148,0.1672,0.2288,0.1088,0.04,0.0576,
Bayesian,3,English,0.1512,0.116,0.1352,0.1704,0.2352,0.1048,0.0472,0.04,
Bayesian,4,English,0.148,0.112,0.1336,0.1672,0.2416,0.1032,0.0376,0.0568,
Bayesian,5,English,0.1464,0.1168,0.1312,0.1688,0.2264,0.1216,0.0256,0.0632,
Bayesian,6,English,0.1584,0.1032,0.148,0.1536,0.228,0.1056,0.0496,0.0536,
Bayesian,7,English,0.1432,0.1136,0.1304,0.18,0.2288,0.1064,0.0352,0.0624,
Bayesian,8,English,0.1496,0.116,0.1424,0.1544,0.24,0.1032,0.0352,0.0592,
Bayesian,9,English,0.148,0.12,0.136,0.1584,0.228,0.1192,0.036,0.0544,
Bayesian,10,English,0.1448,0.1024,0.1408,0.1648,0.244,0.1024,0.0424,0.0584,
Bayesian,1,French,0.1344,0.0832,0.2168,0.1632,0.2608,0.0768,0.024,0.0408,
Bayesian,2,French,0.1608,0.092,0.1904,0.1688,0.2344,0.0952,0.0216,0.0368,
Bayesian,3,French,0.172,0.096,0.2056,0.172,0.1936,0.0912,0.0232,0.0464,
Bayesian,4,French,0.1176,0.0976,0.2024,0.1688,0.2528,0.0992,0.0264,0.0352,
Bayesian,5,French,0.1584,0.0928,0.2096,0.1584,0.2112,0.0888,0.0392,0.0416,
Bayesian,6,French,0.1488,0.096,0.1976,0.1704,0.2352,0.0936,0.0184,0.04,
Bayesian,7,French,0.1744,0.096,0.184,0.1552,0.2368,0.0872,0.02,0.0464,
Bayesian,8,French,0.1544,0.0976,0.2064,0.1856,0.2104,0.096,0.028,0.0216,
Bayesian,9,French,0.1784,0.0976,0.188,0.1576,0.2288,0.0832,0.0152,0.0512,
Bayesian,10,French,0.1512,0.0888,0.2144,0.1712,0.24,0.0672,0.0256,0.0416,
Bayesian,1,Japanese,0.2176,0.1408,0.2712,0.0616,0.132,0.0896,0.0512,0.036, 
Bayesian,2,Japanese,0.2016,0.1456,0.2608,0.068,0.1368,0.096,0.0568,0.0344,
Bayesian,3,Japanese,0.2256,0.1424,0.256,0.068,0.1288,0.0832,0.0592,0.0368,
Bayesian,4,Japanese,0.2184,0.1392,0.2512,0.0632,0.14,0.1008,0.0576,0.0296,
Bayesian,5,Japanese,0.2152,0.1384,0.2592,0.0752,0.1464,0.0792,0.056,0.0304,
Bayesian,6,Japanese,0.224,0.14,0.252,0.0784,0.136,0.0776,0.0592,0.0328,
Bayesian,7,Japanese,0.212,0.1512,0.2432,0.0672,0.1304,0.0976,0.0624,0.036,
Bayesian,8,Japanese,0.22,0.1344,0.2536,0.056,0.132,0.1064,0.0664,0.0312,
Bayesian,9,Japanese,0.2224,0.14,0.2408,0.0632,0.1472,0.1056,0.0472,0.0336,
Bayesian,10,Japanese,0.2048,0.1192,0.2856,0.0696,0.1304,0.0984,0.0544,0.0376,
