model,run,language,OV,OVS,SOV,SV,SVO,VO,VOS,VS,
Bayesian,1,English,0.0792,0.144,0.1112,0.1536,0.3072,0.0888,0.0544,0.0616,
Bayesian,2,English,0.0808,0.1216,0.1048,0.1512,0.32,0.0976,0.0568,0.0672,
Bayesian,3,English,0.0888,0.132,0.132,0.1472,0.2976,0.0872,0.0528,0.0624,
Bayesian,4,English,0.0776,0.112,0.124,0.1224,0.3464,0.0904,0.0576,0.0696,
Bayesian,5,English,0.0976,0.1312,0.1192,0.1248,0.316,0.1008,0.0544,0.056,
Bayesian,6,English,0.084,0.1184,0.116,0.1576,0.3064,0.0992,0.0496,0.0688,
Bayesian,7,English,0.1056,0.108,0.1224,0.1368,0.2952,0.088,0.0688,0.0752,
Bayesian,8,English,0.0872,0.124,0.1216,0.1352,0.3056,0.0976,0.0632,0.0656,
Bayesian,9,English,0.0912,0.1256,0.1192,0.1536,0.3064,0.0904,0.06,0.0536,
Bayesian,10,English,0.0984,0.1224,0.1264,0.128,0.308,0.1064,0.0464,0.064,
Bayesian,1,French,0.0888,0.072,0.256,0.2136,0.284,0.0448,0.016,0.0248,
Bayesian,2,French,0.0768,0.0784,0.2456,0.2368,0.28,0.0456,0.0144,0.0224,
Bayesian,3,French,0.0872,0.0744,0.2456,0.2376,0.2792,0.0408,0.0112,0.024,
Bayesian,4,French,0.0744,0.0672,0.2608,0.232,0.2888,0.0304,0.0144,0.032,
Bayesian,5,French,0.0928,0.088,0.26,0.2024,0.2688,0.0376,0.0184,0.032,
Bayesian,6,French,0.0808,0.068,0.272,0.2232,0.26,0.0496,0.0176,0.0288,
Bayesian,7,French,0.1032,0.0704,0.2568,0.2336,0.244,0.0432,0.0184,0.0304,
Bayesian,8,French,0.1024,0.0536,0.2464,0.2272,0.2824,0.0368,0.02,0.0312,
Bayesian,9,French,0.0824,0.0808,0.2488,0.2264,0.288,0.0328,0.02,0.0208,
Bayesian,10,French,0.0936,0.0544,0.2344,0.2312,0.3072,0.0392,0.0128,0.0272,
Bayesian,1,Japanese,0.1944,0.1632,0.2456,0.048,0.1712,0.0816,0.064,0.032, 
Bayesian,2,Japanese,0.1776,0.1712,0.2536,0.0616,0.1608,0.0744,0.0712,0.0296,
Bayesian,3,Japanese,0.1912,0.2024,0.248,0.052,0.148,0.0792,0.052,0.0272,
Bayesian,4,Japanese,0.1856,0.1832,0.264,0.0488,0.1448,0.08,0.0648,0.0288,
Bayesian,5,Japanese,0.1816,0.176,0.2752,0.0576,0.14,0.0672,0.0768,0.0256,
Bayesian,6,Japanese,0.176,0.1992,0.256,0.0472,0.1424,0.0896,0.0568,0.0328,
Bayesian,7,Japanese,0.2032,0.1824,0.2528,0.0528,0.148,0.0656,0.0696,0.0256,
Bayesian,8,Japanese,0.1976,0.1528,0.2584,0.0584,0.1648,0.0696,0.0704,0.028,
Bayesian,9,Japanese,0.1832,0.192,0.256,0.0552,0.1424,0.0744,0.0672,0.0296,
Bayesian,10,Japanese,0.1752,0.1864,0.2592,0.0592,0.1424,0.076,0.0664,0.0352,
